Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Liverpool,1,15,9,5,1,37,20,17,32,30.9,19.0,12.0,0.8,W D W W D,571.0,Mohamed Salah - 13,Alisson,,2.06,1.2666666666666666,0.28176928909495835
Everton,2,15,9,2,4,26,19,7,29,20.7,19.0,1.7,0.12,D W W W W,333.0,Dominic Calvert-Lewin - 11,Jordan Pickford,,1.38,1.2666666666666666,0.28176928909495835
Leicester City,3,15,9,1,5,28,19,9,28,22.5,19.3,3.1,0.21,W W L W D,,Jamie Vardy - 11,Kasper Schmeichel,,1.5,1.2866666666666666,0.27618988334946576
Manchester Utd,4,14,8,3,3,30,23,7,27,24.2,19.4,4.8,0.34,W D W W D,,Bruno Fernandes - 10,David de Gea,,1.7285714285714284,1.3857142857142857,0.2501450609204698
Tottenham,5,15,7,5,3,26,15,11,26,20.0,16.7,3.4,0.22,W D L L D,286.0,Son Heung-min - 11,Hugo Lloris,,1.3333333333333333,1.1133333333333333,0.3284622600554351
Manchester City,6,14,7,5,2,21,12,9,26,23.3,12.4,10.9,0.78,W D D W W,,Riyad Mahrez Raheem Sterling - 4,Ederson,,1.6642857142857144,0.8857142857142858,0.4124194827001578
Aston Villa,7,13,8,1,4,27,13,14,25,24.9,14.3,10.6,0.82,L W D W W,,Ollie Watkins - 6,Emiliano Martínez,,1.9153846153846152,1.1,0.33287108369807955
Chelsea,8,15,7,4,4,30,17,13,25,26.2,15.5,10.6,0.71,W L L W L,286.0,Tammy Abraham - 6,Edouard Mendy,,1.7466666666666666,1.0333333333333334,0.3558189185373419
Southampton,9,15,7,4,4,25,19,6,25,15.5,17.8,-2.4,-0.16,W W D L D,333.0,Danny Ings - 6,Alex McCarthy,,1.0333333333333334,1.1866666666666668,0.3052370269445351
West Ham,10,15,6,4,5,23,21,2,22,19.5,20.9,-1.3,-0.09,L W D L D,,Tomáš Souček Jarrod Bowen - 4,Łukasz Fabiański,,1.3,1.3933333333333333,0.24824643583170022
Wolves,11,15,6,3,6,15,20,-5,21,14.7,17.3,-2.6,-0.18,L L W L D,,Pedro Neto Raúl Jiménez - 4,Rui Patrício,,0.98,1.1533333333333333,0.315583070621366
Leeds United,12,15,6,2,7,25,30,-5,20,27.5,28.2,-0.7,-0.05,L L W L W,,Patrick Bamford - 10,Illan Meslier,,1.8333333333333333,1.88,0.1525901057568839
Newcastle Utd,13,14,5,3,6,17,24,-7,18,14.4,19.8,-5.4,-0.39,W W L D L,,Callum Wilson - 8,Karl Darlow,,1.0285714285714287,1.4142857142857144,0.2430991937296403
Crystal Palace,14,15,5,3,7,19,28,-9,18,15.2,21.7,-6.5,-0.44,W D D L L,286.0,Wilfried Zaha - 7,Vicente Guaita,,1.0133333333333332,1.4466666666666665,0.2353534936715497
Arsenal,15,15,5,2,8,15,19,-4,17,17.8,19.4,-1.7,-0.11,L L D L W,,Alexandre Lacazette - 4,Bernd Leno,,1.1866666666666668,1.2933333333333332,0.2743547413971275
Brighton,16,15,2,7,6,18,24,-6,13,21.2,15.4,5.8,0.39,L L D D D,,Neal Maupay - 5,Mathew Ryan,,1.4133333333333333,1.0266666666666666,0.35819896934863205
Burnley,17,14,3,4,7,8,20,-12,13,12.2,20.9,-8.7,-0.62,D W D W L,,Chris Wood - 3,Nick Pope,,0.8714285714285713,1.4928571428571427,0.22472965267940015
Fulham,18,15,2,5,8,13,23,-10,11,16.6,21.8,-5.2,-0.35,L D D D D,,Bobby Reid - 4,Alphonse Areola,,1.1066666666666667,1.4533333333333334,0.23378968885499327
West Brom,19,15,1,5,9,11,30,-19,8,8.9,27.9,-19.0,-1.27,L L D L D,,Conor Gallagher Callum Robinson - 2,Sam Johnstone,,0.5933333333333334,1.8599999999999999,0.15567263036799733
Sheffield Utd,20,15,0,2,13,8,26,-18,2,15.0,24.2,-9.2,-0.62,L L L D L,,David McGoldrick - 4,Aaron Ramsdale,,1.0,1.6133333333333333,0.1992224312821256
