Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Liverpool,1,14,9,4,1,36,19,17,31,29.2,18.6,10.6,0.75,D W D W W,333.0,Mohamed Salah - 13,Alisson,,2.085714285714286,1.3285714285714287,0.2648553559621378
Leicester City,2,14,9,0,5,26,17,9,27,21.5,17.5,3.9,0.28,L W W L W,,Jamie Vardy - 11,Kasper Schmeichel,,1.5357142857142858,1.25,0.2865047968601901
Manchester Utd,3,13,8,2,3,28,21,7,26,22.0,18.2,3.8,0.29,W W D W W,,Bruno Fernandes - 9,David de Gea,,1.6923076923076923,1.4,0.2465969639416065
Everton,4,14,8,2,4,25,19,6,26,20.4,17.9,2.5,0.18,L D W W W,333.0,Dominic Calvert-Lewin - 11,Jordan Pickford,,1.457142857142857,1.2785714285714285,0.27843478044337877
Chelsea,5,14,7,4,3,29,14,15,25,23.9,13.4,10.5,0.75,D W L L W,286.0,Tammy Abraham - 5,Edouard Mendy,,1.707142857142857,0.9571428571428572,0.38398842996690413
Tottenham,6,14,7,4,3,25,14,11,25,19.7,15.8,4.0,0.28,D W D L L,286.0,Son Heung-min - 11,Hugo Lloris,,1.407142857142857,1.1285714285714286,0.3234950622856487
Southampton,7,14,7,3,4,25,19,6,24,15.3,17.0,-1.6,-0.12,L W W D L,333.0,Danny Ings - 6,Alex McCarthy,,1.092857142857143,1.2142857142857142,0.2969220257278962
Manchester City,8,13,6,5,2,19,12,7,23,21.3,12.1,9.1,0.7,W W D D W,,Riyad Mahrez Raheem Sterling - 4,Ederson,,1.6384615384615384,0.9307692307692308,0.3942503242194106
Aston Villa,9,12,7,1,4,24,13,11,22,21.3,13.3,8.0,0.67,L L W D W,,Ollie Watkins - 6,Emiliano Martínez,,1.7750000000000001,1.1083333333333334,0.3301086839854889
West Ham,10,14,6,3,5,21,19,2,21,18.3,19.7,-1.4,-0.1,W L W D L,,Jarrod Bowen - 4,Łukasz Fabiański,,1.3071428571428572,1.407142857142857,0.24484183284394384
Wolves,11,14,6,2,6,14,19,-5,20,13.8,17.0,-3.2,-0.23,W L L W L,,Pedro Neto Raúl Jiménez - 4,Rui Patrício,,0.9857142857142858,1.2142857142857142,0.2969220257278962
Newcastle Utd,12,13,5,3,5,17,22,-5,18,14.1,17.8,-3.7,-0.28,L W W L D,,Callum Wilson - 8,Karl Darlow,,1.0846153846153845,1.3692307692307693,0.25430250164361834
Crystal Palace,13,14,5,3,6,19,25,-6,18,14.1,18.2,-4.1,-0.29,L W D D L,286.0,Wilfried Zaha - 7,Vicente Guaita,,1.0071428571428571,1.3,0.2725317930340126
Leeds United,14,14,5,2,7,24,30,-6,17,25.6,27.1,-1.5,-0.11,W L L W L,,Patrick Bamford - 9,Illan Meslier,,1.8285714285714287,1.9357142857142857,0.1443211454656803
Arsenal,15,14,4,2,8,12,18,-6,14,15.7,17.2,-1.5,-0.11,L L L D L,,Pierre-Emerick Aubameyang Alexandre Lacazette - 3,Bernd Leno,,1.1214285714285714,1.2285714285714284,0.29271043690592835
Burnley,16,13,3,4,6,8,19,-11,13,11.1,19.1,-7.9,-0.61,L D W D W,,Chris Wood - 3,Nick Pope,,0.8538461538461538,1.4692307692307693,0.23010241898729697
Brighton,17,14,2,6,6,16,22,-6,12,20.0,14.1,5.8,0.42,D L L D D,,Neal Maupay - 4,Mathew Ryan,,1.4285714285714286,1.0071428571428571,0.36526109325235095
Fulham,18,14,2,4,8,13,23,-10,10,15.8,21.6,-5.7,-0.41,W L D D D,,Bobby Reid - 4,Alphonse Areola,,1.1285714285714286,1.542857142857143,0.21376945818647108
West Brom,19,14,1,4,9,10,29,-19,7,8.4,26.2,-17.8,-1.27,W L L D L,,Conor Gallagher Callum Robinson - 2,Sam Johnstone,,0.6,1.8714285714285714,0.1539036423495749
Sheffield Utd,20,14,0,2,12,8,25,-17,2,13.7,23.5,-9.8,-0.7,L L L L D,,David McGoldrick - 4,Aaron Ramsdale,,0.9785714285714285,1.6785714285714286,0.18664041484472876
