,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-107,1990,7,6,559,0,1,0,0,1,0,0.00,0.16,0.16,0.00,0.16,0.7,0.7,0.5,0.11,0.08,0.19,0.11,0.19,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-073,1997,11,6,582,3,1,0,0,0,0,0.46,0.15,0.62,0.46,0.62,3.5,3.5,0.9,0.54,0.13,0.68,0.54,0.68,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-154,1996,12,12,1028,4,3,0,0,1,0,0.35,0.26,0.61,0.35,0.61,2.7,2.7,3.5,0.24,0.31,0.54,0.24,0.54,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-081,1997,8,8,720,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.05,0.02,0.07,0.05,0.07,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-346,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-195,1988,2,2,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.14,0.46,0.60,0.14,0.60,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-067,1996,9,9,810,1,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,0.3,0.3,0.3,0.03,0.03,0.06,0.03,0.06,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-191,2001,4,3,275,1,0,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.3,0.06,0.11,0.17,0.06,0.17,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-035,1993,11,11,990,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-300,1995,4,3,290,1,0,0,0,2,0,0.31,0.00,0.31,0.31,0.31,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFMF,Leicester City,31-026,1989,8,4,443,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.0,0.08,0.20,0.27,0.08,0.27,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-247,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-287,1989,8,8,710,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-068,1998,10,9,780,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.7,0.7,1.3,0.08,0.15,0.23,0.08,0.23,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-306,1992,10,7,550,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.1,0.05,0.19,0.24,0.05,0.24,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-073,1992,9,9,810,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Allan\Allan,br BRA,MF,Everton,29-341,1991,11,11,988,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
18,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-247,1996,3,1,73,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.23,0.00,0.23,0.23,0.23,Matches
19,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-308,1994,10,6,570,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,0.9,0.9,0.8,0.14,0.12,0.26,0.14,0.26,Matches
20,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29-352,1990,3,3,225,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,Matches
21,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-097,1998,6,4,387,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.06,0.08,0.14,0.06,0.14,Matches
22,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,25-359,1994,2,2,144,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,MFDF,Sheffield Utd,20-091,2000,6,5,455,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-197,1996,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
25,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-243,1993,2,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-261,1990,7,7,526,3,0,0,0,1,0,0.51,0.00,0.51,0.51,0.51,2.8,2.8,0.4,0.47,0.07,0.54,0.47,0.54,Matches
27,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-291,1993,11,11,990,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-259,1992,10,10,870,2,2,0,0,0,0,0.21,0.21,0.41,0.21,0.41,1.0,1.0,0.9,0.11,0.09,0.20,0.11,0.20,Matches
29,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-072,1994,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-179,1989,12,12,1076,2,1,1,1,2,0,0.17,0.08,0.25,0.08,0.17,2.8,2.0,1.4,0.23,0.12,0.35,0.17,0.29,Matches
31,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,27-356,1992,6,6,540,1,1,0,0,0,0,0.17,0.17,0.33,0.17,0.33,0.7,0.7,0.4,0.11,0.06,0.17,0.11,0.17,Matches
32,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-162,1989,1,0,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.14,0.00,0.14,0.14,0.14,Matches
33,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,29-094,1991,9,7,602,1,0,0,0,0,0,0.15,0.00,0.15,0.15,0.15,1.1,1.1,0.1,0.17,0.01,0.18,0.17,0.18,Matches
34,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-111,1991,12,12,1059,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.5,0.03,0.13,0.16,0.03,0.16,Matches
35,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-108,1989,5,3,321,0,1,0,0,1,0,0.00,0.28,0.28,0.00,0.28,0.1,0.1,0.0,0.01,0.01,0.03,0.01,0.03,Matches
36,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-246,1994,2,1,98,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
37,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-113,1991,10,10,900,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.6,0.6,0.0,0.06,0.00,0.06,0.06,0.06,Matches
38,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-280,1993,12,12,1080,0,1,0,0,1,0,0.00,0.08,0.08,0.00,0.08,1.0,1.0,1.2,0.08,0.10,0.18,0.08,0.18,Matches
39,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-151,1989,3,1,117,1,0,0,0,0,0,0.77,0.00,0.77,0.77,0.77,0.6,0.6,0.1,0.48,0.11,0.59,0.48,0.59,Matches
40,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-100,1993,12,12,1012,8,1,0,0,1,0,0.71,0.09,0.80,0.71,0.80,8.3,8.3,0.6,0.74,0.06,0.80,0.74,0.80,Matches
41,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-169,1985,3,3,270,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
42,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-009,1993,6,6,454,2,1,0,0,0,0,0.40,0.20,0.59,0.40,0.59,1.5,1.5,1.7,0.30,0.34,0.64,0.30,0.64,Matches
43,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-009,1993,2,0,42,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
44,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-045,1989,8,6,509,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.4,0.16,0.06,0.22,0.16,0.22,Matches
45,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,23-005,1997,11,8,747,3,1,0,0,0,0,0.36,0.12,0.48,0.36,0.48,2.7,2.7,0.2,0.32,0.03,0.35,0.32,0.35,Matches
46,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-206,1991,8,8,720,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.1,1.1,0.0,0.14,0.00,0.14,0.14,0.14,Matches
47,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,32-147,1988,12,12,976,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.02,0.04,0.06,0.02,0.06,Matches
48,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-073,1993,8,4,390,0,1,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.6,0.6,0.9,0.14,0.20,0.34,0.14,0.34,Matches
49,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-246,1996,12,12,990,1,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,0.6,0.6,0.2,0.06,0.01,0.07,0.06,0.07,Matches
50,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-240,1997,8,2,226,1,0,0,0,0,0,0.40,0.00,0.40,0.40,0.40,0.3,0.3,0.0,0.10,0.02,0.12,0.10,0.12,Matches
51,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-270,1995,12,12,1047,0,2,0,0,5,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,1.7,0.01,0.14,0.15,0.01,0.15,Matches
52,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-126,1995,5,1,165,0,2,0,0,0,0,0.00,1.09,1.09,0.00,1.09,0.4,0.4,0.5,0.23,0.25,0.48,0.23,0.48,Matches
