,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
19,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-333,1994,15,9,844,9.4,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,1.0,1.0,0.9,0.10,0.10,0.20,0.10,0.20,Matches
20,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-011,1990,3,3,225,2.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,Matches
21,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-122,1998,8,5,522,5.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.04,0.06,0.10,0.04,0.10,Matches
22,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-018,1994,4,3,265,2.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,MFDF,Sheffield Utd,20-116,2000,11,10,881,9.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.01,0.05,0.06,0.01,0.06,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-222,1996,9,9,781,8.7,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,Matches
25,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-268,1993,2,0,3,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-286,1990,9,7,572,6.4,3,0,0,0,1,0,0.47,0.00,0.47,0.47,0.47,2.8,2.8,0.4,0.44,0.07,0.51,0.44,0.51,Matches
27,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-316,1993,14,14,1260,14.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-284,1992,14,13,1124,12.5,2,2,0,0,0,0,0.16,0.16,0.32,0.16,0.32,1.0,1.0,1.0,0.08,0.08,0.16,0.08,0.16,Matches
29,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-097,1994,3,3,270,3.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-204,1989,15,15,1346,15.0,3,1,1,1,2,0,0.20,0.07,0.27,0.13,0.20,4.5,3.7,1.5,0.30,0.10,0.40,0.25,0.35,Matches
31,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-015,1992,8,8,693,7.7,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.7,0.7,0.4,0.09,0.05,0.14,0.09,0.14,Matches
32,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-187,1989,5,0,138,1.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.13,0.00,0.13,0.13,0.13,Matches
33,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-119,1991,13,8,757,8.4,1,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,1.2,1.2,0.1,0.15,0.01,0.15,0.15,0.15,Matches
34,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-136,1991,17,17,1509,16.8,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.5,0.04,0.09,0.13,0.04,0.13,Matches
35,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-133,1989,8,6,591,6.6,0,1,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.2,0.2,0.2,0.04,0.03,0.07,0.04,0.07,Matches
36,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-271,1994,5,4,368,4.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
37,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-138,1991,12,12,1080,12.0,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.05,0.00,0.05,0.05,0.05,Matches
