Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Leicester City,1,2,2,0,0,7,2,5,6,3.6,2.3,1.2,0.61,W W,,Jamie Vardy - 2,Kasper Schmeichel,,1.8,1.15,0.3166367693790533
Everton,2,2,2,0,0,6,2,4,6,5.0,1.3,3.8,1.9,W W,,Dominic Calvert-Lewin - 4,Jordan Pickford,,2.5,0.65,0.522045776761016
Arsenal,3,2,2,0,0,5,1,4,6,3.2,2.1,1.1,0.53,W W,,Alexandre Lacazette - 2,Bernd Leno,,1.6,1.05,0.3499377491111553
Liverpool,4,2,2,0,0,6,3,3,6,5.9,1.6,4.3,2.15,W W,,Mohamed Salah - 3,Alisson,,2.95,0.8,0.44932896411722156
Crystal Palace,5,2,2,0,0,4,1,3,6,2.2,1.9,0.3,0.17,W W,,Wilfried Zaha - 3,Vicente Guaita,,1.1,0.95,0.38674102345450123
Tottenham,6,2,1,0,1,5,3,2,3,3.5,3.0,0.5,0.24,L W,,Son Heung-min - 4,Hugo Lloris,,1.75,1.5,0.22313016014842982
Manchester City,7,1,1,0,0,3,1,2,3,1.9,1.0,0.9,0.94,W,,Kevin De Bruyne Phil Foden... - 1,Ederson,,1.9,1.0,0.36787944117144233
Brighton,8,2,1,0,1,4,3,1,3,3.1,1.7,1.4,0.71,L W,,Neal Maupay - 2,Mathew Ryan,,1.55,0.85,0.4274149319487267
Aston Villa,9,1,1,0,0,1,0,1,3,1.0,0.9,0.1,0.14,W,,Ezri Konsa - 1,Emiliano Martínez,,1.0,0.9,0.4065696597405991
Leeds United,10,2,1,0,1,7,7,0,3,2.3,5.1,-2.8,-1.42,L W,,Patrick Bamford Mateusz Klich... - 2,Illan Meslier,,1.15,2.55,0.07808166600115317
Wolves,11,2,1,0,1,3,3,0,3,2.1,2.6,-0.4,-0.22,W L,,Raúl Jiménez - 2,Rui Patrício,,1.05,1.3,0.2725317930340126
Chelsea,12,2,1,0,1,3,3,0,3,2.2,4.0,-1.8,-0.91,W L,,Kurt Zouma Reece James... - 1,Kepa Arrizabalaga,,1.1,2.0,0.1353352832366127
Newcastle Utd,13,2,1,0,1,2,3,-1,3,2.0,2.8,-0.8,-0.4,W L,,Callum Wilson Jeff Hendrick - 1,Karl Darlow,,1.0,1.4,0.2465969639416065
Burnley,14,1,0,0,1,2,4,-2,0,1.9,1.4,0.5,0.53,L,,Chris Wood Jimmy Dunne - 1,Nick Pope,,1.9,1.4,0.2465969639416065
Manchester Utd,15,1,0,0,1,1,3,-2,0,1.1,1.6,-0.5,-0.49,L,,Donny van de Beek - 1,David de Gea,,1.1,1.6,0.20189651799465538
West Ham,16,2,0,0,2,1,4,-3,0,3.1,2.8,0.2,0.1,L L,,Michail Antonio - 1,Łukasz Fabiański,,1.55,1.4,0.2465969639416065
Sheffield Utd,17,2,0,0,2,0,3,-3,0,1.5,2.1,-0.6,-0.32,L L,,,Aaron Ramsdale,,0.75,1.05,0.3499377491111553
Fulham,18,2,0,0,2,3,7,-4,0,2.0,3.5,-1.5,-0.76,L L,,Aleksandar Mitrović - 2,Alphonse Areola Marek Rodák,,1.0,1.75,0.17377394345044514
Southampton,19,2,0,0,2,2,6,-4,0,2.3,3.2,-0.8,-0.41,L L,,Danny Ings - 2,Alex McCarthy,,1.15,1.6,0.20189651799465538
West Brom,20,2,0,0,2,2,8,-6,0,0.7,5.8,-5.1,-2.53,L L,,Grady Diangana Matheus Pereira - 1,Sam Johnstone,,0.35,2.9,0.05502322005640723
