Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Everton,1,6,4,1,1,14,9,5,13,10.3,5.9,4.4,0.73,W W W D L,,Dominic Calvert-Lewin - 7,Jordan Pickford,,1.7166666666666668,0.9833333333333334,0.3740621446020826
Liverpool,2,6,4,1,1,15,14,1,13,15.3,9.5,5.9,0.98,W W L D W,,Mohamed Salah - 6,Alisson,,2.5500000000000003,1.5833333333333333,0.20528965757990927
Aston Villa,3,5,4,0,1,12,5,7,12,8.4,7.2,1.2,0.24,W W W W L,,Jack Grealish Ollie Watkins - 3,Emiliano Martínez,,1.6800000000000002,1.44,0.23692775868212176
Leicester City,4,6,4,0,2,13,8,5,12,8.3,6.5,1.8,0.3,W W L L W,,Jamie Vardy - 6,Kasper Schmeichel,,1.3833333333333335,1.0833333333333333,0.3384654251067422
Tottenham,5,6,3,2,1,16,8,8,11,11.4,7.5,3.9,0.65,W D W D W,,Son Heung-min - 8,Hugo Lloris,,1.9000000000000001,1.25,0.2865047968601901
Leeds United,6,6,3,1,2,12,9,3,10,10.4,9.9,0.5,0.08,W W D L W,,Patrick Bamford - 6,Illan Meslier,,1.7333333333333334,1.6500000000000001,0.19204990862075408
Southampton,7,6,3,1,2,10,9,1,10,7.1,6.2,0.9,0.15,L W W D W,,Danny Ings - 4,Alex McCarthy,,1.1833333333333333,1.0333333333333334,0.3558189185373419
Crystal Palace,8,6,3,1,2,8,9,-1,10,6.1,9.0,-2.9,-0.48,W L L D W,,Wilfried Zaha - 5,Vicente Guaita,,1.0166666666666666,1.5,0.22313016014842982
Wolves,9,6,3,1,2,6,8,-2,10,5.1,6.7,-1.5,-0.26,L L W W D,,Raúl Jiménez - 4,Rui Patrício,,0.85,1.1166666666666667,0.3273692086197276
Chelsea,10,6,2,3,1,13,9,4,9,9.1,8.0,1.1,0.18,L D W D D,,Jorginho - 3,Kepa Arrizabalaga,,1.5166666666666666,1.3333333333333333,0.26359713811572677
Arsenal,11,6,3,0,3,8,7,1,9,6.5,7.9,-1.3,-0.22,W L W L L,,Alexandre Lacazette - 3,Bernd Leno,,1.0833333333333333,1.3166666666666667,0.26802723870777256
West Ham,12,6,2,2,2,12,8,4,8,8.9,6.1,2.8,0.46,L W W D D,,Michail Antonio Jarrod Bowen - 3,Łukasz Fabiański,,1.4833333333333334,1.0166666666666666,0.3617989288399626
Manchester City,13,5,2,2,1,8,8,0,8,6.9,6.6,0.2,0.05,W L D W D,,Raheem Sterling Phil Foden - 2,Ederson,,1.3800000000000001,1.3199999999999998,0.2671353019658504
Newcastle Utd,14,6,2,2,2,8,10,-2,8,5.7,9.0,-3.3,-0.55,L D W L D,,Callum Wilson - 4,Karl Darlow,,0.9500000000000001,1.5,0.22313016014842982
Manchester Utd,15,5,2,1,2,9,12,-3,7,6.5,8.5,-2.0,-0.39,L W L W D,,Bruno Fernandes - 3,David de Gea,,1.3,1.7,0.18268352405273466
Brighton,16,6,1,2,3,10,12,-2,5,8.8,5.9,2.9,0.48,W L L D D,,Neal Maupay - 4,Mathew Ryan,,1.4666666666666668,0.9833333333333334,0.3740621446020826
West Brom,17,6,0,3,3,6,14,-8,3,3.4,10.8,-7.3,-1.22,L D L D D,,Callum Robinson - 2,Sam Johnstone,,0.5666666666666667,1.8,0.16529888822158653
Burnley,18,5,0,1,4,3,9,-6,1,4.6,5.6,-1.0,-0.19,L L L D L,,Jimmy Dunne Chris Wood... - 1,Nick Pope,,0.9199999999999999,1.1199999999999999,0.3262797946230395
Sheffield Utd,19,6,0,1,5,3,9,-6,1,6.1,8.4,-2.3,-0.38,L L L D L,,Billy Sharp Sander Berge... - 1,Aaron Ramsdale,,1.0166666666666666,1.4000000000000001,0.24659696394160643
Fulham,20,6,0,1,5,5,14,-9,1,6.4,10.3,-3.9,-0.66,L L L D L,,Aleksandar Mitrović - 2,Alphonse Areola,,1.0666666666666667,1.7166666666666668,0.17966403098939934
