Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,22,15,5,2,43,14,29,50,42.4,16.0,26.3,1.2,W W W W W,,İlkay Gündoğan - 9,Ederson,,1.9272727272727272,0.7272727272727273,0.48322508118982543
Manchester Utd,2,23,13,6,4,49,30,19,45,38.8,28.6,10.3,0.45,W L D W D,,Bruno Fernandes - 13,David de Gea,,1.6869565217391302,1.2434782608695654,0.2883794126380395
Leicester City,3,23,13,4,6,39,25,14,43,33.2,26.5,6.7,0.29,W D L W D,,Jamie Vardy - 11,Kasper Schmeichel,,1.4434782608695653,1.1521739130434783,0.3159491762307034
Liverpool,4,23,11,7,5,44,29,15,40,43.1,27.9,15.2,0.66,L W W L L,500.0,Mohamed Salah - 16,Alisson,,1.873913043478261,1.2130434782608694,0.2972911021573819
Chelsea,5,23,11,6,6,38,24,14,39,36.2,21.8,14.4,0.62,L D W W W,182.0,Tammy Abraham - 6,Edouard Mendy,,1.5739130434782609,0.9478260869565218,0.38758267932170604
West Ham,6,23,11,6,6,34,28,6,39,30.8,26.8,4.0,0.17,W W L W D,182.0,Tomáš Souček - 8,Łukasz Fabiański,,1.3391304347826087,1.1652173913043478,0.3118548601283311
Everton,7,21,11,4,6,34,28,6,37,26.0,26.6,-0.5,-0.03,W D L W D,200.0,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.2380952380952381,1.2666666666666668,0.2817692890949583
Tottenham,8,22,10,6,6,36,22,14,36,28.8,26.0,2.8,0.13,W L L L W,167.0,Harry Kane Son Heung-min - 13,Hugo Lloris,,1.309090909090909,1.1818181818181819,0.30672055757655675
Aston Villa,9,21,11,2,8,36,24,12,35,34.3,27.1,7.2,0.34,W L W L W,,Ollie Watkins - 10,Emiliano Martínez,,1.6333333333333333,1.2904761904761906,0.2751397329693575
Leeds United,10,22,10,2,10,38,38,0,32,36.0,38.3,-2.3,-0.1,L W W L W,,Patrick Bamford - 12,Illan Meslier,,1.6363636363636365,1.7409090909090907,0.17536090912355365
Arsenal,11,23,9,4,10,27,23,4,31,30.4,27.2,3.2,0.14,W W D L L,182.0,Alexandre Lacazette - 8,Bernd Leno,,1.3217391304347825,1.182608695652174,0.3064781865440715
Southampton,12,22,8,5,9,29,37,-8,29,22.2,29.0,-6.8,-0.31,L L L L L,182.0,Danny Ings - 7,Alex McCarthy,,1.009090909090909,1.3181818181818181,0.26762144432855817
Crystal Palace,13,23,8,5,10,27,39,-12,29,19.9,33.4,-13.5,-0.59,L L W W L,182.0,Wilfried Zaha - 9,Vicente Guaita,,0.8652173913043477,1.452173913043478,0.23406090656108425
Wolves,14,23,7,6,10,23,31,-8,27,24.2,26.2,-2.0,-0.09,L D L W D,,Pedro Neto Raúl Jiménez - 4,Rui Patrício,,1.0521739130434782,1.1391304347826086,0.32009724626315483
Brighton,15,23,5,10,8,25,30,-5,25,30.7,25.3,5.4,0.23,W D W W D,182.0,Neal Maupay - 7,Robert Sánchez,,1.3347826086956522,1.1,0.33287108369807955
Newcastle Utd,16,23,7,4,12,25,38,-13,25,22.2,32.2,-10.0,-0.43,L L W L W,,Callum Wilson - 10,Karl Darlow,,0.9652173913043478,1.4000000000000001,0.24659696394160643
Burnley,17,22,6,5,11,14,29,-15,23,18.8,33.2,-14.4,-0.65,W W L L D,,Chris Wood - 4,Nick Pope,,0.8545454545454546,1.5090909090909093,0.2211108965248518
Fulham,18,22,2,9,11,17,31,-14,15,24.0,31.3,-7.3,-0.33,L D D L D,167.0,Bobby Reid - 5,Alphonse Areola,,1.0909090909090908,1.4227272727272728,0.24105569497072202
West Brom,19,23,2,6,15,18,54,-36,12,15.4,42.0,-26.5,-1.15,L L D L L,,Matheus Pereira - 5,Sam Johnstone,,0.6695652173913044,1.826086956521739,0.16104250276283977
Sheffield Utd,20,23,3,2,18,15,37,-22,11,21.0,33.1,-12.1,-0.53,L W L W L,,David McGoldrick - 5,Aaron Ramsdale,,0.9130434782608695,1.4391304347826088,0.23713387242178796
