,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-153,1990,10,9,829,9.2,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,0.7,0.08,0.08,0.16,0.08,0.16,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-119,1997,17,9,912,10.1,6,1,0,0,0,0,0.59,0.10,0.69,0.59,0.69,5.5,5.5,0.9,0.54,0.09,0.63,0.54,0.63,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-200,1996,18,18,1507,16.7,4,4,0,0,1,0,0.24,0.24,0.48,0.24,0.48,3.8,3.8,4.0,0.23,0.24,0.47,0.23,0.47,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-127,1997,15,15,1350,15.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-026,1987,2,2,180,2.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-241,1988,5,2,143,1.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.40,0.35,0.76,0.40,0.76,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-113,1996,16,16,1424,15.8,1,0,0,0,1,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,0.3,0.03,0.02,0.05,0.03,0.05,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-237,2001,11,8,692,7.7,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,0.04,0.10,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-081,1993,19,19,1710,19.0,2,0,0,0,3,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,0.1,0.03,0.00,0.03,0.03,0.03,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-346,1995,6,5,470,5.2,1,0,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-072,1989,14,10,936,10.4,0,2,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.6,0.6,2.3,0.06,0.22,0.28,0.06,0.28,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-293,1991,7,5,500,5.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.05,0.09,0.14,0.05,0.14,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-333,1989,11,11,980,10.9,1,0,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.2,0.03,0.02,0.05,0.03,0.05,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-114,1998,18,17,1486,16.5,1,3,0,0,1,0,0.06,0.18,0.24,0.06,0.24,1.4,1.4,2.2,0.09,0.13,0.22,0.09,0.22,Matches
