,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-148,1990,10,9,829,9.2,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,0.7,0.08,0.08,0.16,0.08,0.16,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-114,1997,16,9,898,10.0,6,1,0,0,0,0,0.60,0.10,0.70,0.60,0.70,5.5,5.5,0.9,0.55,0.09,0.64,0.55,0.64,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-195,1996,17,17,1417,15.7,4,4,0,0,1,0,0.25,0.25,0.51,0.25,0.51,3.7,3.7,3.9,0.23,0.25,0.48,0.23,0.48,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-122,1997,14,14,1260,14.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-021,1987,2,2,180,2.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-236,1988,5,2,143,1.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.40,0.35,0.76,0.40,0.76,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-108,1996,15,15,1334,14.8,1,0,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.3,0.03,0.02,0.05,0.03,0.05,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-232,2001,10,7,647,7.2,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,0.3,0.3,0.7,0.05,0.09,0.14,0.05,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-076,1993,18,18,1620,18.0,2,0,0,0,3,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.1,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-341,1995,6,5,470,5.2,1,0,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,31-067,1989,13,9,869,9.7,0,2,0,0,2,0,0.00,0.21,0.21,0.00,0.21,0.5,0.5,2.3,0.05,0.24,0.30,0.05,0.30,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-288,1991,6,4,423,4.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.05,0.10,0.15,0.05,0.15,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-328,1989,11,11,980,10.9,1,0,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.2,0.03,0.02,0.05,0.03,0.05,Matches
