Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,21,14,5,2,39,13,26,47,39.0,14.7,24.3,1.16,W W W W W,,İlkay Gündoğan Raheem Sterling - 7,Ederson,,1.8571428571428572,0.7,0.4965853037914095
Manchester Utd,2,22,13,5,4,46,27,19,44,37.4,27.5,9.9,0.45,D W L D W,,Bruno Fernandes - 12,David de Gea,,1.7,1.25,0.2865047968601901
Leicester City,3,22,13,3,6,39,25,14,42,32.5,24.6,7.9,0.36,W W D L W,,Jamie Vardy - 11,Kasper Schmeichel,,1.4772727272727273,1.1181818181818182,0.32687357024570923
Liverpool,4,22,11,7,4,43,25,18,40,41.8,24.6,17.2,0.78,D L W W L,545.0,Mohamed Salah - 15,Alisson,,1.9,1.1181818181818182,0.32687357024570923
West Ham,5,22,11,5,6,34,28,6,38,30.0,25.5,4.5,0.21,W W W L W,182.0,Tomáš Souček - 8,Łukasz Fabiański,,1.3636363636363635,1.1590909090909092,0.31377129789877883
Chelsea,6,22,10,6,6,36,23,13,36,34.8,21.5,13.3,0.6,W L D W W,182.0,Tammy Abraham - 6,Edouard Mendy,,1.5818181818181818,0.9772727272727273,0.37633607163037924
Everton,7,20,11,3,6,31,25,6,36,24.9,25.1,-0.2,-0.01,L W D L W,200.0,Dominic Calvert-Lewin - 12,Jordan Pickford,,1.2449999999999999,1.2550000000000001,0.28507584822445353
Tottenham,8,21,9,6,6,34,22,12,33,27.4,25.7,1.7,0.08,D W L L L,182.0,Harry Kane Son Heung-min - 12,Hugo Lloris,,1.3047619047619048,1.2238095238095237,0.2941076201158012
Aston Villa,9,20,10,2,8,35,24,11,32,33.2,25.9,7.3,0.36,L W L W L,,Ollie Watkins - 9,Emiliano Martínez,,1.6600000000000001,1.295,0.2738978643314456
Arsenal,10,22,9,4,9,27,22,5,31,29.3,25.9,3.4,0.15,D W W D L,182.0,Alexandre Lacazette - 8,Bernd Leno,,1.3318181818181818,1.1772727272727272,0.30811791533634975
Leeds United,11,21,9,2,10,36,38,-2,29,33.2,37.7,-4.5,-0.21,L L W W L,,Patrick Bamford - 11,Illan Meslier,,1.580952380952381,1.7952380952380953,0.1660879028999667
Southampton,12,21,8,5,8,27,34,-7,29,20.8,28.2,-7.4,-0.35,W L L L L,182.0,Danny Ings - 7,Alex McCarthy,,0.9904761904761905,1.3428571428571427,0.2610986058393609
Crystal Palace,13,22,8,5,9,27,37,-10,29,19.4,30.6,-11.3,-0.51,D L L W W,182.0,Wilfried Zaha - 9,Vicente Guaita,,0.8818181818181817,1.3909090909090909,0.2488489754290462
Wolves,14,22,7,5,10,23,31,-8,26,22.2,25.5,-3.3,-0.15,L L D L W,,Pedro Neto Raúl Jiménez - 4,Rui Patrício,,1.009090909090909,1.1590909090909092,0.31377129789877883
Brighton,15,22,5,9,8,24,29,-5,24,30.1,23.2,6.9,0.31,L W D W W,182.0,Neal Maupay - 7,Robert Sánchez Mathew Ryan,,1.3681818181818182,1.0545454545454545,0.3483507325670795
Newcastle Utd,16,22,6,4,12,22,36,-14,22,21.3,30.8,-9.5,-0.43,L L L W L,,Callum Wilson - 10,Karl Darlow,,0.9681818181818183,1.4000000000000001,0.24659696394160643
Burnley,17,21,6,4,11,13,28,-15,22,16.7,32.6,-15.9,-0.76,L W W L L,,Chris Wood - 4,Nick Pope,,0.7952380952380952,1.5523809523809524,0.21174322264082698
Fulham,18,21,2,8,11,17,31,-14,14,22.6,30.5,-7.9,-0.38,L L D D L,182.0,Bobby Reid - 5,Alphonse Areola,,1.0761904761904764,1.4523809523809523,0.23401245176225902
West Brom,19,22,2,6,14,18,52,-34,12,15.1,40.5,-25.5,-1.16,W L L D L,,Matheus Pereira - 5,Sam Johnstone,,0.6863636363636364,1.8409090909090908,0.1586731122357948
Sheffield Utd,20,22,3,2,17,14,35,-21,11,20.6,31.6,-11.0,-0.5,W L W L W,,David McGoldrick - 5,Aaron Ramsdale,,0.9363636363636364,1.4363636363636365,0.237790882533231
