Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,34,25,5,4,71,24,47,80,66.2,25.7,40.5,1.19,W W L W W,,İlkay Gündoğan - 12,Ederson,,1.947058823529412,0.7558823529411764,0.4695960823910552
Manchester Utd,2,33,19,10,4,64,35,29,67,53.2,36.8,16.4,0.5,W W W W D,,Bruno Fernandes - 16,David de Gea,,1.6121212121212123,1.115151515151515,0.3278655985301814
Leicester City,3,34,19,6,9,61,39,22,63,50.3,40.0,10.3,0.3,L L W W D,,Jamie Vardy - 13,Kasper Schmeichel,,1.4794117647058822,1.1764705882352942,0.3083651678965814
Chelsea,4,34,17,10,7,53,31,22,61,55.9,27.9,28.0,0.82,L W D W W,118.0,Timo Werner Tammy Abraham... - 6,Edouard Mendy,,1.6441176470588235,0.8205882352941176,0.4401726532464816
West Ham,5,34,17,7,10,55,44,11,58,46.4,43.1,3.3,0.1,W W L L W,118.0,Tomáš Souček Michail Antonio... - 9,Łukasz Fabiański,,1.3647058823529412,1.2676470588235293,0.2814931800635649
Tottenham,6,34,16,8,10,60,38,22,56,47.5,41.9,5.6,0.17,D L D W W,118.0,Harry Kane - 21,Hugo Lloris,,1.3970588235294117,1.2323529411764707,0.2916056389194328
Liverpool,7,33,15,9,9,55,39,16,54,60.8,39.8,21.0,0.63,W W W D D,353.0,Mohamed Salah - 20,Alisson,,1.8424242424242423,1.206060606060606,0.29937431286222127
Everton,8,33,15,7,11,45,42,3,52,41.0,44.8,-3.8,-0.11,D D D W L,118.0,Dominic Calvert-Lewin - 15,Jordan Pickford,,1.2424242424242424,1.3575757575757574,0.25728373969895035
Arsenal,9,34,14,7,13,46,37,9,49,49.3,39.6,9.7,0.29,L W D L W,118.0,Alexandre Lacazette - 13,Bernd Leno,,1.45,1.1647058823529413,0.31201441748485553
Aston Villa,10,33,14,6,13,48,38,10,48,47.4,44.9,2.4,0.07,W L L D W,,Ollie Watkins - 13,Emiliano Martínez,,1.4363636363636363,1.3606060606060606,0.2565052720949677
Leeds United,11,34,14,5,15,50,52,-2,47,49.3,57.6,-8.3,-0.25,W W D D L,,Patrick Bamford - 14,Illan Meslier,,1.45,1.6941176470588235,0.18376129983876166
Wolves,12,34,11,9,14,33,46,-13,42,36.1,40.0,-3.9,-0.11,L W W L D,,Rúben Neves Pedro Neto - 5,Rui Patrício,,1.061764705882353,1.1764705882352942,0.3083651678965814
Crystal Palace,13,33,10,8,15,34,56,-22,38,25.6,51.0,-25.4,-0.77,W D L L L,118.0,Wilfried Zaha - 10,Vicente Guaita,,0.7757575757575758,1.5454545454545454,0.21321493331446215
Brighton,14,34,8,13,13,35,39,-4,37,48.5,33.2,15.3,0.45,L D D L W,118.0,Neal Maupay - 8,Robert Sánchez,,1.4264705882352942,0.9764705882352942,0.3766380665894084
Southampton,15,33,10,7,16,41,59,-18,37,35.3,46.6,-11.3,-0.34,L W L L D,125.0,Danny Ings - 10,Alex McCarthy,,1.0696969696969696,1.412121212121212,0.24362595234007473
Burnley,16,34,9,9,16,31,47,-16,36,34.8,50.9,-16.1,-0.47,L L L W L,,Chris Wood - 11,Nick Pope,,1.0235294117647058,1.4970588235294118,0.2237873913680539
Newcastle Utd,17,34,9,9,16,36,56,-20,36,33.6,48.7,-15.1,-0.44,D W W D L,,Callum Wilson - 10,Karl Darlow,,0.9882352941176471,1.4323529411764706,0.23874650435429332
Fulham,18,34,5,12,17,25,45,-20,27,36.8,46.7,-9.9,-0.29,L L L D L,118.0,Bobby Reid - 5,Alphonse Areola,,1.0823529411764705,1.3735294117647059,0.25321169227303886
West Brom,19,34,5,11,18,31,65,-34,26,28.8,58.7,-29.9,-0.88,W W L D D,,Matheus Pereira - 9,Sam Johnstone,,0.8470588235294118,1.7264705882352942,0.1779112251458796
Sheffield Utd,20,34,5,2,27,18,60,-42,17,27.7,56.5,-28.8,-0.85,L L L W L,,David McGoldrick - 7,Aaron Ramsdale,,0.8147058823529412,1.661764705882353,0.18980373661494807
