,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,17,13,1177,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.8,1.8,0.0,0.14,0.00,0.14,0.14,0.14,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38,38,3420,2,3,0,0,7,0,0.05,0.08,0.13,0.05,0.13,0.9,0.9,2.5,0.02,0.07,0.09,0.02,0.09,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21,21,1890,0,1,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,0.7,0.01,0.03,0.05,0.01,0.05,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,21,13,1103,1,4,0,0,0,0,0.08,0.33,0.41,0.08,0.41,2.1,2.1,2.7,0.17,0.22,0.40,0.17,0.40,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,19,17,1352,6,0,1,1,4,0,0.40,0.00,0.40,0.33,0.33,5.6,4.8,0.5,0.37,0.03,0.41,0.32,0.36,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,36,24,2083,6,8,0,0,0,0,0.26,0.35,0.60,0.26,0.60,8.6,8.6,3.5,0.37,0.15,0.52,0.37,0.52,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,38,38,3242,0,1,0,0,4,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,1.0,0.01,0.03,0.04,0.01,0.04,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,2,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,1,1,0,0,0,0,0.38,0.38,0.75,0.38,0.75,2.2,2.2,0.2,0.83,0.07,0.90,0.83,0.90,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34,34,3057,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,0.9,0.9,0.1,0.03,0.00,0.03,0.03,0.03,Matches
