,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-087,1994,10,6,587,6.5,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,0.3,0.3,0.0,0.3,0.05,0.00,0.05,0.05,0.05,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-185,2000,22,21,1871,20.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.3,0.02,0.04,0.06,0.02,0.06,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-291,1996,23,23,2041,22.7,0,1,0,0,0,4,1,0.00,0.04,0.04,0.00,0.04,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-132,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-337,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-355,1990,19,17,1421,15.8,7,3,7,0,0,2,0,0.44,0.19,0.63,0.44,0.63,8.1,8.1,1.5,9.7,0.52,0.10,0.61,0.52,0.61,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-019,1993,28,28,2520,28.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-353,1992,24,23,1979,22.0,3,4,3,0,0,3,0,0.14,0.18,0.32,0.14,0.32,2.0,2.0,2.0,4.0,0.09,0.09,0.18,0.09,0.18,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-166,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-273,1989,23,20,1853,20.6,9,1,7,2,2,2,0,0.44,0.05,0.49,0.34,0.39,9.0,7.4,1.6,9.1,0.43,0.08,0.51,0.36,0.44,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-084,1992,14,14,1155,12.8,2,1,2,0,0,0,0,0.16,0.08,0.23,0.16,0.23,1.0,1.0,1.5,2.6,0.08,0.12,0.20,0.08,0.20,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-256,1989,5,0,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-188,1991,25,18,1663,18.5,1,3,1,0,0,2,0,0.05,0.16,0.22,0.05,0.22,1.8,1.8,0.6,2.3,0.10,0.03,0.13,0.10,0.13,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-205,1991,28,28,2499,27.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,2.2,3.2,0.04,0.08,0.11,0.04,0.11,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-202,1989,19,17,1581,17.6,1,1,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,0.8,0.8,1.8,2.5,0.04,0.10,0.14,0.04,0.14,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-340,1994,8,7,638,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-207,1991,12,12,1080,12.0,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-009,1993,24,24,2113,23.5,0,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,1.1,1.1,1.3,2.3,0.05,0.05,0.10,0.05,0.10,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-245,1989,12,6,556,6.2,5,2,5,0,0,1,0,0.81,0.32,1.13,0.81,1.13,3.0,3.0,0.9,3.9,0.48,0.14,0.63,0.48,0.63,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-194,1993,28,28,2358,26.2,13,5,12,1,1,1,0,0.50,0.19,0.69,0.46,0.65,13.8,13.0,2.8,15.8,0.53,0.11,0.63,0.50,0.60,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-263,1985,4,3,274,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-103,1993,2,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.06,0.16,0.22,0.06,0.22,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-103,1993,17,14,1142,12.7,3,1,3,0,0,0,0,0.24,0.08,0.32,0.24,0.32,2.9,2.9,3.0,5.9,0.23,0.24,0.46,0.23,0.46,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-139,1989,18,15,1293,14.4,3,0,2,1,1,4,0,0.21,0.00,0.21,0.14,0.14,4.9,4.1,0.7,4.8,0.34,0.05,0.39,0.29,0.33,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-099,1997,25,22,1945,21.6,9,4,9,0,0,0,0,0.42,0.19,0.60,0.42,0.60,6.2,6.2,1.5,7.7,0.29,0.07,0.35,0.29,0.35,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-300,1991,21,19,1780,19.8,3,1,3,0,0,3,0,0.15,0.05,0.20,0.15,0.20,1.8,1.8,0.4,2.2,0.09,0.02,0.11,0.09,0.11,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-241,1988,26,26,2126,23.6,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-167,1993,16,7,702,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,1.1,1.1,1.4,2.5,0.14,0.18,0.33,0.14,0.33,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-340,1996,29,29,2515,27.9,1,1,1,0,0,3,1,0.04,0.04,0.07,0.04,0.07,0.9,0.9,0.3,1.2,0.03,0.01,0.04,0.03,0.04,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-334,1997,13,2,322,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.3,0.3,0.1,0.4,0.07,0.03,0.11,0.07,0.11,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-364,1995,22,22,1910,21.2,1,2,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,0.6,0.6,2.3,2.9,0.03,0.11,0.14,0.03,0.14,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-220,1995,20,10,986,11.0,0,4,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,1.7,1.7,1.9,3.6,0.15,0.17,0.32,0.15,0.32,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-103,1999,6,2,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-105,1990,22,13,1159,12.9,5,1,5,0,0,2,1,0.39,0.08,0.47,0.39,0.47,4.9,4.9,0.9,5.8,0.38,0.07,0.45,0.38,0.45,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-142,1990,15,11,883,9.8,2,0,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,1.5,1.5,0.3,1.8,0.15,0.03,0.18,0.15,0.18,Matches
