Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Liverpool,1,7,5,1,1,17,15,2,16,17.2,9.9,7.2,1.03,W L D W W,,Mohamed Salah - 7,Alisson,,2.457142857142857,1.4142857142857144,0.2430991937296403
Leicester City,2,7,5,0,2,17,9,8,15,11.8,7.5,4.3,0.61,W L L W W,,Jamie Vardy - 7,Kasper Schmeichel,,1.6857142857142857,1.0714285714285714,0.34251885509304564
Tottenham,3,7,4,2,1,18,9,9,14,13.3,8.0,5.4,0.76,D W D W W,,Son Heung-min - 8,Hugo Lloris,,1.9000000000000001,1.1428571428571428,0.31890655732397044
Everton,4,7,4,1,2,15,11,4,13,11.4,8.3,3.1,0.44,W W D L L,,Dominic Calvert-Lewin - 8,Jordan Pickford,,1.6285714285714286,1.1857142857142857,0.3055278673484055
Southampton,5,7,4,1,2,14,12,2,13,7.8,8.0,-0.2,-0.02,W W D W W,,Danny Ings - 5,Alex McCarthy,,1.1142857142857143,1.1428571428571428,0.31890655732397044
Wolves,6,7,4,1,2,8,8,0,13,6.4,7.3,-0.9,-0.12,L W W D W,,Raúl Jiménez - 4,Rui Patrício,,0.9142857142857144,1.042857142857143,0.3524462527380765
Chelsea,7,7,3,3,1,16,9,7,12,10.0,8.4,1.6,0.23,D W D D W,,Kurt Zouma Timo Werner... - 3,Edouard Mendy Kepa Arrizabalaga,,1.4285714285714286,1.2,0.30119421191220214
Aston Villa,8,6,4,0,2,15,9,6,12,10.1,8.1,2.0,0.33,W W W L L,,Jack Grealish Ollie Watkins - 4,Emiliano Martínez,,1.6833333333333333,1.3499999999999999,0.25924026064589156
Arsenal,9,7,4,0,3,9,7,2,12,7.6,8.2,-0.6,-0.09,L W L L W,,Alexandre Lacazette - 3,Bernd Leno,,1.0857142857142856,1.1714285714285713,0.30992387647102443
Manchester City,10,6,3,2,1,9,8,1,11,8.4,7.1,1.3,0.22,L D W D W,,Raheem Sterling Phil Foden - 2,Ederson,,1.4000000000000001,1.1833333333333333,0.30625618134802807
Newcastle Utd,11,7,3,2,2,10,11,-1,11,8.2,10.2,-2.0,-0.29,D W L D W,,Callum Wilson - 6,Karl Darlow,,1.1714285714285713,1.457142857142857,0.2329007557498447
Leeds United,12,7,3,1,3,13,13,0,10,11.7,13.4,-1.7,-0.25,W D L W L,,Patrick Bamford - 6,Illan Meslier,,1.6714285714285713,1.9142857142857144,0.147447114348448
Crystal Palace,13,7,3,1,3,8,11,-3,10,6.8,10.1,-3.3,-0.47,L L D W L,,Wilfried Zaha - 5,Vicente Guaita,,0.9714285714285714,1.4428571428571428,0.23625178836047603
West Ham,14,7,2,2,3,13,10,3,8,9.3,7.9,1.4,0.2,W W D D L,,Michail Antonio Jarrod Bowen - 3,Łukasz Fabiański,,1.3285714285714287,1.1285714285714286,0.3234950622856487
Manchester Utd,15,6,2,1,3,9,13,-4,7,6.9,9.6,-2.7,-0.45,W L W D L,,Bruno Fernandes - 3,David de Gea,,1.1500000000000001,1.5999999999999999,0.20189651799465544
Brighton,16,7,1,2,4,11,14,-3,5,8.9,7.6,1.2,0.17,L L D D L,,Neal Maupay - 4,Mathew Ryan,,1.2714285714285716,1.0857142857142856,0.337660513655132
Fulham,17,7,1,1,5,7,14,-7,4,7.8,10.9,-3.0,-0.43,L L D L W,,Bobby Reid Aleksandar Mitrović - 2,Alphonse Areola,,1.1142857142857143,1.5571428571428572,0.21073731849131314
West Brom,18,7,0,3,4,6,16,-10,3,3.9,12.4,-8.4,-1.21,D L D D L,,Callum Robinson - 2,Sam Johnstone,,0.5571428571428572,1.7714285714285716,0.1700898297106658
Sheffield Utd,19,7,0,1,6,3,10,-7,1,6.6,9.8,-3.1,-0.45,L L D L L,,Billy Sharp Sander Berge... - 1,Aaron Ramsdale,,0.9428571428571428,1.4000000000000001,0.24659696394160643
Burnley,20,6,0,1,5,3,12,-9,1,5.1,6.6,-1.6,-0.26,L L D L L,,Jimmy Dunne Chris Wood... - 1,Nick Pope,,0.85,1.0999999999999999,0.3328710836980796
