Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Liverpool,1,13,8,4,1,29,19,10,28,27.1,18.4,8.7,0.67,W D W D W,333.0,Mohamed Salah - 11,Alisson,,2.0846153846153848,1.4153846153846152,0.24283219848606044
Tottenham,2,13,7,4,2,25,12,13,25,18.7,14.2,4.5,0.35,W D W D L,333.0,Son Heung-min - 11,Hugo Lloris,,1.4384615384615385,1.0923076923076922,0.3354415040532483
Southampton,3,13,7,3,3,25,18,7,24,14.4,15.9,-1.5,-0.12,D L W W D,333.0,Danny Ings - 6,Alex McCarthy,,1.1076923076923078,1.2230769230769232,0.2943231625173819
Leicester City,4,13,8,0,5,24,17,7,24,19.9,16.4,3.5,0.27,L L W W L,,Jamie Vardy - 10,Kasper Schmeichel,,1.5307692307692307,1.2615384615384615,0.28321797120292913
Everton,5,13,7,2,4,23,18,5,23,19.7,16.6,3.0,0.23,W L D W W,333.0,Dominic Calvert-Lewin - 11,Jordan Pickford,,1.5153846153846153,1.276923076923077,0.2788941173430449
Manchester Utd,6,12,7,2,3,22,19,3,23,16.2,14.6,1.6,0.15,W W W D W,,Bruno Fernandes - 7,David de Gea,,1.3499999999999999,1.2166666666666666,0.29621590947194976
Chelsea,7,13,6,4,3,26,14,12,22,21.8,12.9,9.0,0.69,W D W L L,333.0,Timo Werner Kurt Zouma - 4,Edouard Mendy,,1.676923076923077,0.9923076923076923,0.3707201949952045
West Ham,8,13,6,3,4,21,16,5,21,17.7,17.7,0.0,0.0,W W L W D,,Jarrod Bowen - 4,Łukasz Fabiański,,1.3615384615384616,1.3615384615384616,0.2562662178046411
Manchester City,9,12,5,5,2,18,12,6,20,20.2,11.2,9.0,0.75,L W W D D,,Riyad Mahrez - 4,Ederson,,1.6833333333333333,0.9333333333333332,0.3932407208685983
Wolves,10,13,6,2,5,13,17,-4,20,12.5,15.5,-2.9,-0.23,D W L L W,,Raúl Jiménez Pedro Neto - 4,Rui Patrício,,0.9615384615384616,1.1923076923076923,0.30352002442964005
Aston Villa,11,11,6,1,4,21,13,8,19,19.1,13.3,5.8,0.52,W L L W D,,Ollie Watkins - 6,Emiliano Martínez,,1.7363636363636366,1.2090909090909092,0.2984684911250975
Crystal Palace,12,13,5,3,5,19,18,1,18,14.0,16.1,-2.0,-0.15,L L W D D,333.0,Wilfried Zaha - 7,Vicente Guaita,,1.0769230769230769,1.2384615384615385,0.28982976707040914
Leeds United,13,13,5,2,6,22,24,-2,17,23.7,23.3,0.4,0.03,D W L L W,,Patrick Bamford - 9,Illan Meslier,,1.823076923076923,1.7923076923076924,0.1665753211945296
Newcastle Utd,14,12,5,2,5,16,21,-5,17,12.8,17.1,-4.3,-0.36,L L W W L,,Callum Wilson - 7,Karl Darlow,,1.0666666666666667,1.425,0.24050846320834213
Arsenal,15,13,4,2,7,11,16,-5,14,14.3,16.4,-2.2,-0.17,D L L L D,,Alexandre Lacazette Pierre-Emerick Aubameyang - 3,Bernd Leno,,1.1,1.2615384615384615,0.28321797120292913
Brighton,16,13,2,5,6,15,21,-6,11,17.4,13.5,3.9,0.3,W D L L D,,Neal Maupay - 4,Mathew Ryan,,1.3384615384615384,1.0384615384615385,0.35399887689671733
Burnley,17,12,2,4,6,6,18,-12,10,9.5,17.8,-8.2,-0.68,W L D W D,,Chris Wood - 2,Nick Pope,,0.7916666666666666,1.4833333333333334,0.22688015933902364
Fulham,18,13,2,3,8,12,22,-10,9,15.1,20.2,-5.1,-0.39,L W L D D,,Bobby Reid - 4,Alphonse Areola,,1.1615384615384614,1.5538461538461539,0.2114332033365994
West Brom,19,13,1,4,8,10,26,-16,7,8.4,23.9,-15.6,-1.2,L W L L D,,Conor Gallagher Callum Robinson - 2,Sam Johnstone,,0.6461538461538462,1.8384615384615384,0.15906194865466186
Sheffield Utd,20,13,0,1,12,7,24,-17,1,11.5,19.0,-7.5,-0.63,L L L L L,,David McGoldrick - 4,Aaron Ramsdale,,0.8846153846153846,1.4615384615384615,0.23187926284819235
