Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,27,20,5,2,56,17,39,65,51.6,19.9,31.7,1.17,W W W W W,,İlkay Gündoğan - 11,Ederson,,1.9111111111111112,0.7370370370370369,0.4785296827790431
Manchester Utd,2,27,14,9,4,53,32,21,51,42.4,32.1,10.3,0.38,D D W D D,,Bruno Fernandes - 15,David de Gea,,1.5703703703703704,1.1888888888888889,0.3045594755539201
Leicester City,3,27,15,5,7,46,31,15,50,38.9,33.4,5.5,0.2,D W W L D,,Jamie Vardy - 12,Kasper Schmeichel,,1.4407407407407407,1.237037037037037,0.2902429241880502
Chelsea,4,27,13,8,6,42,25,17,47,41.7,23.7,18.0,0.67,W W D D W,154.0,Tammy Abraham - 6,Edouard Mendy,,1.5444444444444445,0.8777777777777778,0.41570567639971095
Everton,5,26,14,4,8,39,33,6,46,31.6,34.5,-2.9,-0.11,L L W W W,154.0,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.2153846153846155,1.3269230769230769,0.2652922907368593
West Ham,6,26,13,6,7,40,31,9,45,35.5,29.2,6.2,0.24,W D W W L,154.0,Tomáš Souček - 8,Łukasz Fabiański,,1.3653846153846154,1.123076923076923,0.325277399730263
Liverpool,7,27,12,7,8,47,35,12,43,49.5,33.5,16.0,0.59,L L L W L,429.0,Mohamed Salah - 17,Alisson,,1.8333333333333333,1.2407407407407407,0.2891699386316001
Tottenham,8,26,12,6,8,42,27,15,42,34.2,31.3,2.9,0.11,W L L W W,154.0,Harry Kane - 14,Hugo Lloris,,1.3153846153846156,1.2038461538461538,0.30003799755008786
Aston Villa,9,25,12,3,10,38,27,11,39,38.2,31.7,6.5,0.26,W D L W L,,Ollie Watkins - 10,Emiliano Martínez,,1.528,1.268,0.2813938470598095
Arsenal,10,26,11,4,11,34,27,7,37,35.3,30.4,4.9,0.19,L L W L W,154.0,Alexandre Lacazette - 9,Bernd Leno,,1.3576923076923075,1.169230769230769,0.3106057769145466
Leeds United,11,26,11,2,13,43,44,-1,35,40.0,43.0,-2.9,-0.11,W L L W L,,Patrick Bamford - 13,Illan Meslier,,1.5384615384615385,1.6538461538461537,0.19131267379416067
Wolves,12,27,9,7,11,28,37,-9,34,27.4,32.1,-4.6,-0.17,D W W D L,,Rúben Neves Pedro Neto - 5,Rui Patrício,,1.0148148148148148,1.1888888888888889,0.3045594755539201
Crystal Palace,13,27,9,7,11,29,43,-14,34,21.7,39.3,-17.6,-0.65,L L W D D,143.0,Wilfried Zaha - 9,Vicente Guaita,,0.8037037037037037,1.4555555555555555,0.23327073304422288
Southampton,14,26,8,6,12,31,44,-13,30,25.1,34.1,-9.1,-0.35,L L D L L,154.0,Danny Ings - 8,Alex McCarthy,,0.9653846153846154,1.3115384615384615,0.26940526775562207
Burnley,15,27,7,8,12,19,35,-16,29,24.0,38.9,-14.9,-0.55,W D D L D,,Chris Wood - 4,Nick Pope,,0.8888888888888888,1.4407407407407407,0.2367523216233638
Brighton,16,26,5,11,10,26,33,-7,26,37.7,26.3,11.4,0.44,W D D L L,154.0,Neal Maupay - 7,Robert Sánchez,,1.4500000000000002,1.0115384615384615,0.3636590734872978
Newcastle Utd,17,26,7,5,14,27,44,-17,26,24.9,37.0,-12.1,-0.46,L W L L D,,Callum Wilson - 10,Karl Darlow,,0.9576923076923076,1.4230769230769231,0.2409714244961493
Fulham,18,27,4,11,12,21,33,-12,23,29.9,35.4,-5.5,-0.2,W D W D L,143.0,Bobby Reid - 5,Alphonse Areola,,1.1074074074074074,1.3111111111111111,0.26952042281595745
West Brom,19,27,3,8,16,20,56,-36,17,19.1,46.5,-27.4,-1.02,L D D W L,,Matheus Pereira - 5,Sam Johnstone,,0.7074074074074075,1.7222222222222223,0.17866866494966513
Sheffield Utd,20,27,4,2,21,16,43,-27,14,24.0,40.3,-16.3,-0.6,L L L L W,,David McGoldrick - 6,Aaron Ramsdale,,0.8888888888888888,1.4925925925925925,0.22478911283322167
