Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Leicester City,1,8,6,0,2,18,9,9,18,13.7,8.0,5.7,0.71,L L W W W,,Jamie Vardy - 8,Kasper Schmeichel,,1.7125,1.0,0.36787944117144233
Tottenham,2,8,5,2,1,19,9,10,17,15.0,8.8,6.2,0.77,W D W W W,,Son Heung-min - 8,Hugo Lloris,,1.875,1.1,0.33287108369807955
Liverpool,3,8,5,2,1,18,16,2,17,18.6,11.5,7.0,0.88,L D W W D,,Mohamed Salah - 8,Alisson,,2.325,1.4375,0.23752081909545814
Southampton,4,8,5,1,2,16,12,4,16,8.8,8.5,0.3,0.04,W D W W W,,Danny Ings - 5,Alex McCarthy,,1.1,1.0625,0.3455907525769745
Chelsea,5,8,4,3,1,20,10,10,15,12.7,9.0,3.7,0.47,W D D W W,,Timo Werner - 4,Edouard Mendy,,1.5875,1.125,0.32465246735834974
Aston Villa,6,7,5,0,2,18,9,9,15,11.9,9.8,2.1,0.3,W W L L W,,Ollie Watkins - 6,Emiliano Martínez,,1.7,1.4000000000000001,0.24659696394160643
Everton,7,8,4,1,3,16,14,2,13,12.0,9.9,2.1,0.26,W D L L L,,Dominic Calvert-Lewin - 8,Jordan Pickford,,1.5,1.2375,0.29010858356365526
Crystal Palace,8,8,4,1,3,12,12,0,13,7.7,10.8,-3.2,-0.4,L D W L W,,Wilfried Zaha - 5,Vicente Guaita,,0.9625,1.35,0.2592402606458915
Wolves,9,8,4,1,3,8,9,-1,13,6.9,9.2,-2.3,-0.29,W W D W L,,Raúl Jiménez - 4,Rui Patrício,,0.8625,1.15,0.3166367693790533
Manchester City,10,7,3,3,1,10,9,1,12,10.0,8.5,1.5,0.21,D W D W D,,Raheem Sterling Phil Foden... - 2,Ederson,,1.4285714285714286,1.2142857142857142,0.2969220257278962
Arsenal,11,8,4,0,4,9,10,-1,12,9.3,10.0,-0.7,-0.08,W L L W L,,Alexandre Lacazette - 3,Bernd Leno,,1.1625,1.25,0.2865047968601901
West Ham,12,8,3,2,3,14,10,4,11,10.5,9.6,0.9,0.11,W D D L W,,Michail Antonio Jarrod Bowen - 3,Łukasz Fabiański,,1.3125,1.2,0.30119421191220214
Newcastle Utd,13,8,3,2,3,10,13,-3,11,8.7,11.2,-2.5,-0.31,W L D W L,,Callum Wilson - 6,Karl Darlow,,1.0875,1.4,0.2465969639416065
Manchester Utd,14,7,3,1,3,12,14,-2,10,8.5,10.2,-1.7,-0.24,L W D L W,,Bruno Fernandes - 5,David de Gea,,1.2142857142857142,1.457142857142857,0.2329007557498447
Leeds United,15,8,3,1,4,14,17,-3,10,12.5,14.3,-1.8,-0.23,D L W L L,,Patrick Bamford - 7,Illan Meslier,,1.5625,1.7875,0.16737809227680248
Brighton,16,8,1,3,4,11,14,-3,6,10.1,7.9,2.2,0.28,L D D L D,,Neal Maupay - 4,Mathew Ryan,,1.2625,0.9875,0.3725067948950129
Fulham,17,8,1,1,6,7,15,-8,4,9.5,12.0,-2.5,-0.31,L D L W L,,Bobby Reid Aleksandar Mitrović - 2,Alphonse Areola,,1.1875,1.5,0.22313016014842982
West Brom,18,8,0,3,5,6,17,-11,3,4.7,14.0,-9.3,-1.16,L D D L L,,Callum Robinson - 2,Sam Johnstone,,0.5875,1.75,0.17377394345044514
Burnley,19,7,0,2,5,3,12,-9,2,5.4,7.9,-2.6,-0.37,L D L L D,,Jimmy Dunne Chris Wood... - 1,Nick Pope,,0.7714285714285715,1.1285714285714286,0.3234950622856487
Sheffield Utd,20,8,0,1,7,4,14,-10,1,7.2,12.5,-5.3,-0.66,L D L L L,,David McGoldrick - 2,Aaron Ramsdale,,0.9,1.5625,0.2096113871510978
