Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,30,22,5,3,64,21,43,71,58.2,23.7,34.5,1.15,W W L W W,,İlkay Gündoğan - 12,Ederson,,1.9400000000000002,0.7899999999999999,0.4538447952823559
Manchester Utd,2,29,16,9,4,56,32,24,57,45.6,34.1,11.5,0.4,W D D W W,,Bruno Fernandes - 16,David de Gea,,1.5724137931034483,1.1758620689655173,0.30855287114810515
Leicester City,3,29,17,5,7,53,32,21,56,44.1,34.5,9.5,0.33,W L D W W,,Jamie Vardy - 12,Kasper Schmeichel,,1.5206896551724138,1.1896551724137931,0.3043261860398207
Chelsea,4,29,14,9,6,44,25,19,51,46.1,24.5,21.6,0.75,D D W W D,143.0,Tammy Abraham Jorginho - 6,Edouard Mendy,,1.589655172413793,0.8448275862068966,0.4296314262092126
West Ham,5,28,14,6,8,42,32,10,48,38.1,32.1,6.0,0.21,W W L W L,143.0,Tomáš Souček - 8,Łukasz Fabiański,,1.3607142857142858,1.1464285714285716,0.3177696367572865
Liverpool,6,29,13,7,9,48,36,12,46,51.8,35.6,16.2,0.56,L W L L W,400.0,Mohamed Salah - 17,Alisson,,1.786206896551724,1.2275862068965517,0.2929989636809085
Everton,7,28,14,4,10,40,37,3,46,33.5,38.8,-5.3,-0.19,W W W L L,143.0,Dominic Calvert-Lewin - 14,Jordan Pickford,,1.1964285714285714,1.3857142857142857,0.2501450609204698
Tottenham,8,28,13,6,9,47,30,17,45,37.5,33.2,4.3,0.15,L W W W L,143.0,Harry Kane - 16,Hugo Lloris,,1.3392857142857142,1.1857142857142857,0.3055278673484055
Aston Villa,9,27,12,5,10,39,28,11,41,39.5,34.4,5.1,0.19,L W L D D,,Ollie Watkins - 10,Emiliano Martínez,,1.462962962962963,1.274074074074074,0.2796898204198773
Arsenal,10,28,12,5,11,37,29,8,41,39.3,32.7,6.6,0.24,W L W D W,143.0,Alexandre Lacazette - 10,Bernd Leno,,1.4035714285714285,1.167857142857143,0.3110327263689
Crystal Palace,11,29,10,7,12,31,47,-16,37,23.3,42.8,-19.5,-0.67,W D D L W,133.0,Wilfried Zaha - 9,Vicente Guaita,,0.803448275862069,1.475862068965517,0.22858158899017464
Leeds United,12,28,11,3,14,43,46,-3,36,41.9,46.5,-4.6,-0.16,L W L L D,,Patrick Bamford - 13,Illan Meslier,,1.4964285714285714,1.6607142857142858,0.1900032150376003
Wolves,13,29,9,8,12,28,38,-10,35,30.0,33.9,-3.9,-0.14,W D L D L,,Rúben Neves Pedro Neto - 5,Rui Patrício,,1.0344827586206897,1.1689655172413793,0.3106881766426519
Southampton,14,29,9,6,14,36,51,-15,33,29.4,38.4,-9.0,-0.31,L L W L L,143.0,Danny Ings - 8,Alex McCarthy,,1.013793103448276,1.3241379310344827,0.2660321983667365
Burnley,15,29,8,9,12,22,37,-15,33,27.0,42.8,-15.8,-0.55,D L D D W,,Chris Wood - 6,Nick Pope,,0.9310344827586207,1.475862068965517,0.22858158899017464
Brighton,16,28,6,11,11,29,36,-7,29,39.5,28.4,11.2,0.4,D L L L W,143.0,Neal Maupay - 7,Robert Sánchez,,1.4107142857142858,1.0142857142857142,0.3626613811825573
Newcastle Utd,17,28,7,7,14,28,45,-17,28,26.3,38.7,-12.4,-0.44,L L D D D,,Callum Wilson - 10,Karl Darlow,,0.9392857142857143,1.3821428571428573,0.25104003335181024
Fulham,18,29,5,11,13,22,36,-14,26,31.5,38.5,-7.0,-0.24,W D L W L,133.0,Bobby Reid - 5,Alphonse Areola,,1.0862068965517242,1.3275862068965518,0.2651164257842451
West Brom,19,29,3,9,17,20,57,-37,18,21.0,48.2,-27.2,-0.94,D W L D L,,Matheus Pereira - 5,Sam Johnstone,,0.7241379310344828,1.6620689655172414,0.18974599578389267
Sheffield Utd,20,29,4,2,23,16,50,-34,14,24.5,46.2,-21.7,-0.75,L L W L L,,David McGoldrick - 6,Aaron Ramsdale,,0.8448275862068966,1.5931034482758621,0.2032937201746245
