,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-072,1990,3,2,199,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.20,0.03,0.22,0.20,0.22,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-038,1997,7,4,379,2,1,0,0,0,0,0.47,0.24,0.71,0.47,0.71,2.4,2.4,0.3,0.57,0.07,0.64,0.57,0.64,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-119,1996,8,8,675,3,2,0,0,1,0,0.40,0.27,0.67,0.40,0.67,2.4,2.4,1.5,0.32,0.20,0.52,0.32,0.52,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-046,1997,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-311,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-160,1988,2,2,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.14,0.46,0.60,0.14,0.60,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-032,1996,5,5,450,1,0,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.1,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-156,2001,2,2,165,1,0,0,0,0,0,0.55,0.00,0.55,0.55,0.55,0.1,0.1,0.0,0.03,0.00,0.03,0.03,0.03,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-000,1993,7,7,630,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-265,1995,4,3,290,1,0,0,0,2,0,0.31,0.00,0.31,0.31,0.31,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFMF,Leicester City,30-357,1989,5,1,173,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.28,0.28,0.00,0.28,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-212,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-252,1989,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-033,1998,8,8,690,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.2,0.09,0.15,0.24,0.09,0.24,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-271,1992,6,3,257,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.11,0.15,0.26,0.11,0.26,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-038,1992,6,6,540,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
