,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-181,1990,14,13,1144,12.7,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,0.8,1.6,0.06,0.06,0.12,0.06,0.12,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-147,1997,20,12,1021,11.3,6,1,6,0,0,0,0,0.53,0.09,0.62,0.53,0.62,5.6,5.6,0.9,6.5,0.49,0.08,0.57,0.49,0.57,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-228,1996,24,21,1831,20.3,4,4,4,0,0,1,0,0.20,0.20,0.39,0.20,0.39,5.3,5.3,4.3,9.6,0.26,0.21,0.47,0.26,0.47,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-155,1997,21,21,1890,21.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.04,0.01,0.04,0.04,0.04,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-054,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-269,1988,5,2,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.40,0.35,0.76,0.40,0.76,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-141,1996,21,21,1864,20.7,2,1,2,0,0,2,0,0.10,0.05,0.14,0.10,0.14,0.9,0.9,1.3,2.2,0.04,0.06,0.11,0.04,0.11,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-265,2001,12,8,701,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,1.1,0.04,0.09,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-109,1993,24,24,2099,23.3,2,0,2,0,0,3,1,0.09,0.00,0.09,0.09,0.09,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-008,1995,6,5,470,5.2,1,0,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-100,1989,18,12,1114,12.4,0,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.9,0.9,2.6,3.5,0.07,0.21,0.28,0.07,0.28,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-321,1991,12,9,907,10.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.9,1.3,0.04,0.09,0.13,0.04,0.13,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-361,1989,14,14,1250,13.9,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.2,0.7,0.03,0.02,0.05,0.03,0.05,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-008,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-142,1998,23,22,1936,21.5,1,3,1,0,0,1,0,0.05,0.14,0.19,0.05,0.19,1.7,1.7,3.2,4.9,0.08,0.15,0.23,0.08,0.23,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-014,1992,23,18,1445,16.1,2,0,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,1.0,1.0,1.6,2.6,0.06,0.10,0.16,0.06,0.16,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-147,1992,21,21,1890,21.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Allan\Allan,br BRA,MF,Everton,30-049,1991,12,12,1028,11.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches
19,Dele Alli\Dele-Alli,eng ENG,MFDF,Tottenham,24-321,1996,6,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.02,0.17,0.14,0.17,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-016,1994,23,17,1538,17.1,4,1,4,0,0,1,0,0.23,0.06,0.29,0.23,0.29,2.1,2.1,2.0,4.1,0.12,0.12,0.24,0.12,0.24,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-060,1990,8,7,614,6.8,1,0,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,0.7,0.7,0.5,1.2,0.11,0.07,0.18,0.11,0.18,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-171,1998,11,8,718,8.0,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-067,1994,7,4,385,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
