Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Tottenham,1,9,6,2,1,21,9,12,20,15.6,10.0,5.6,0.62,D W W W W,,Son Heung-min - 9,Hugo Lloris,,1.7333333333333334,1.1111111111111112,0.32919298780790557
Liverpool,2,9,6,2,1,21,16,5,20,22.3,12.8,9.4,1.05,D W W D W,,Mohamed Salah - 8,Alisson,,2.477777777777778,1.4222222222222223,0.2411774710201514
Chelsea,3,9,5,3,1,22,10,12,18,14.8,9.7,5.1,0.57,D D W W W,,Timo Werner - 4,Edouard Mendy,,1.6444444444444446,1.0777777777777777,0.34035102149752716
Leicester City,4,9,6,0,3,18,12,6,18,15.0,11.7,3.3,0.36,L W W W L,,Jamie Vardy - 8,Kasper Schmeichel,,1.6666666666666667,1.2999999999999998,0.27253179303401265
Southampton,5,9,5,2,2,17,13,4,17,10.2,10.4,-0.2,-0.03,D W W W D,,Danny Ings - 5,Alex McCarthy,,1.1333333333333333,1.1555555555555557,0.31488255354945477
Everton,6,9,5,1,3,19,16,3,16,13.7,11.2,2.5,0.28,D L L L W,,Dominic Calvert-Lewin - 10,Jordan Pickford,,1.5222222222222221,1.2444444444444445,0.2881009197455093
Aston Villa,7,8,5,0,3,19,11,8,15,13.3,11.0,2.3,0.29,W L L W L,,Ollie Watkins - 6,Emiliano Martínez,,1.6625,1.375,0.25283959580474646
West Ham,8,9,4,2,3,15,10,5,14,12.8,10.2,2.6,0.28,D D L W W,,Michail Antonio Jarrod Bowen - 3,Łukasz Fabiański,,1.4222222222222223,1.1333333333333333,0.3219582715376759
Wolves,9,9,4,2,3,9,10,-1,14,8.8,10.7,-1.9,-0.21,W D W L D,,Raúl Jiménez - 4,Rui Patrício,,0.9777777777777779,1.1888888888888889,0.3045594755539201
Manchester Utd,10,8,4,1,3,13,14,-1,13,11.0,10.8,0.2,0.03,W D L W W,,Bruno Fernandes - 6,David de Gea,,1.375,1.35,0.2592402606458915
Crystal Palace,11,9,4,1,4,12,13,-1,13,9.1,12.5,-3.4,-0.38,D W L W L,,Wilfried Zaha - 5,Vicente Guaita,,1.011111111111111,1.3888888888888888,0.24935220877729622
Arsenal,12,9,4,1,4,9,10,-1,13,10.1,12.5,-2.4,-0.26,L L W L D,,Alexandre Lacazette - 3,Bernd Leno,,1.1222222222222222,1.3888888888888888,0.24935220877729622
Manchester City,13,8,3,3,2,10,11,-1,12,11.3,9.2,2.1,0.26,W D W D L,,Raheem Sterling Phil Foden... - 2,Ederson,,1.4125,1.15,0.3166367693790533
Leeds United,14,9,3,2,4,14,17,-3,11,15.0,15.2,-0.2,-0.02,L W L L D,,Patrick Bamford - 7,Illan Meslier,,1.6666666666666667,1.6888888888888889,0.1847246596294528
Newcastle Utd,15,9,3,2,4,10,15,-5,11,9.4,12.7,-3.3,-0.37,L D W L L,,Callum Wilson - 6,Karl Darlow,,1.0444444444444445,1.411111111111111,0.2438721634887511
Brighton,16,9,2,3,4,13,15,-2,9,11.5,9.4,2.1,0.23,D D L D W,,Neal Maupay - 4,Mathew Ryan,,1.2777777777777777,1.0444444444444445,0.35188725800564674
Burnley,17,8,1,2,5,4,12,-8,5,7.0,9.7,-2.7,-0.34,D L L D W,,Chris Wood - 2,Nick Pope,,0.875,1.2125,0.2974527173217406
Fulham,18,9,1,1,7,9,18,-9,4,10.6,13.8,-3.2,-0.36,D L W L L,,Bobby Reid - 3,Alphonse Areola,,1.1777777777777778,1.5333333333333334,0.21581508339868974
West Brom,19,9,0,3,6,6,18,-12,3,5.4,16.4,-11.1,-1.23,D D L L L,,Callum Robinson - 2,Sam Johnstone,,0.6000000000000001,1.822222222222222,0.16166609347698702
Sheffield Utd,20,9,0,1,8,4,15,-11,1,8.0,14.7,-6.7,-0.75,D L L L L,,David McGoldrick - 2,Aaron Ramsdale,,0.8888888888888888,1.6333333333333333,0.19527756283568573
