,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-188,1990,16,15,1324,14.7,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,1.2,1.2,0.8,2.0,0.08,0.05,0.13,0.08,0.13,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-154,1997,20,12,1021,11.3,6,1,6,0,0,0,0,0.53,0.09,0.62,0.53,0.62,5.6,5.6,0.9,6.5,0.49,0.08,0.57,0.49,0.57,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-235,1996,25,22,1907,21.2,4,4,4,0,0,1,0,0.19,0.19,0.38,0.19,0.38,5.3,5.3,4.3,9.6,0.25,0.20,0.45,0.25,0.45,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-162,1997,23,23,2070,23.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.1,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-061,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-276,1988,6,3,203,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.28,0.25,0.53,0.28,0.53,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-148,1996,23,23,1999,22.2,2,1,2,0,0,2,0,0.09,0.05,0.14,0.09,0.14,0.9,0.9,1.3,2.2,0.04,0.06,0.10,0.04,0.10,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-272,2001,13,8,702,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,1.1,0.04,0.09,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-116,1993,24,24,2099,23.3,2,0,2,0,0,3,1,0.09,0.00,0.09,0.09,0.09,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-015,1995,6,5,470,5.2,1,0,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-107,1989,20,12,1183,13.1,0,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,1.0,1.0,2.9,3.9,0.08,0.22,0.30,0.08,0.30,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-328,1991,14,11,1061,11.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.1,1.5,0.03,0.09,0.13,0.03,0.13,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-003,1989,16,16,1430,15.9,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-015,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-149,1998,25,24,2116,23.5,1,3,1,0,0,1,0,0.04,0.13,0.17,0.04,0.17,1.9,1.9,3.8,5.7,0.08,0.16,0.24,0.08,0.24,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-021,1992,24,18,1483,16.5,2,0,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,1.0,1.0,1.6,2.6,0.06,0.10,0.16,0.06,0.16,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-154,1992,22,22,1980,22.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Allan\Allan,br BRA,MF,Everton,30-056,1991,14,13,1151,12.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-328,1996,8,2,209,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.21,0.07,0.29,0.21,0.29,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-023,1994,24,18,1583,17.6,4,1,4,0,0,1,0,0.23,0.06,0.28,0.23,0.28,2.4,2.4,2.1,4.5,0.14,0.12,0.26,0.14,0.26,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-067,1990,8,7,614,6.8,1,0,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,0.7,0.7,0.5,1.2,0.11,0.07,0.18,0.11,0.18,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-178,1998,11,8,718,8.0,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-074,1994,9,5,497,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-172,2000,20,19,1691,18.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-278,1996,21,21,1861,20.7,0,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.4,0.8,0.02,0.02,0.04,0.02,0.04,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-119,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-324,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-342,1990,17,15,1241,13.8,7,3,7,0,0,2,0,0.51,0.22,0.73,0.51,0.73,8.1,8.1,1.3,9.5,0.59,0.10,0.69,0.59,0.69,Matches
