Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,33,24,5,4,69,24,45,77,64.1,24.9,39.2,1.19,W W W L W,,İlkay Gündoğan - 12,Ederson,,1.9424242424242422,0.7545454545454545,0.47022430448122504
Manchester Utd,2,33,19,10,4,64,35,29,67,53.1,36.8,16.3,0.49,W W W W D,,Bruno Fernandes - 16,David de Gea,,1.6090909090909091,1.115151515151515,0.3278655985301814
Leicester City,3,33,19,5,9,60,38,22,62,48.6,38.9,9.7,0.29,W L L W W,,Jamie Vardy - 13,Kasper Schmeichel,,1.4727272727272727,1.1787878787878787,0.30765142350223035
Chelsea,4,33,16,10,7,51,31,20,58,54.0,27.6,26.4,0.8,D L W D W,125.0,Timo Werner Tammy Abraham... - 6,Edouard Mendy,,1.6363636363636365,0.8363636363636364,0.43328323762525134
West Ham,5,33,16,7,10,53,43,10,55,44.6,41.4,3.3,0.1,D W W L L,118.0,Tomáš Souček Jesse Lingard - 9,Łukasz Fabiański,,1.3515151515151516,1.2545454545454544,0.2852054576099117
Liverpool,6,33,15,9,9,55,39,16,54,60.8,39.8,21.0,0.63,W W W D D,353.0,Mohamed Salah - 20,Alisson,,1.8424242424242423,1.206060606060606,0.29937431286222127
Tottenham,7,33,15,8,10,56,38,18,53,45.5,41.4,4.1,0.12,W D L D W,125.0,Harry Kane - 21,Hugo Lloris,,1.378787878787879,1.2545454545454544,0.2852054576099117
Everton,8,32,15,7,10,44,40,4,52,39.8,42.9,-3.1,-0.1,L D D D W,125.0,Dominic Calvert-Lewin - 14,Jordan Pickford,,1.24375,1.340625,0.26168206616854256
Leeds United,9,33,14,5,14,50,50,0,47,48.5,54.9,-6.5,-0.2,W W W D D,,Patrick Bamford - 14,Illan Meslier,,1.4696969696969697,1.6636363636363636,0.1894488212232537
Arsenal,10,33,13,7,13,44,37,7,46,47.4,39.3,8.0,0.24,D L W D L,118.0,Alexandre Lacazette - 13,Bernd Leno,,1.4363636363636363,1.190909090909091,0.30394482495436936
Aston Villa,11,32,13,6,13,46,37,9,45,45.5,43.7,1.7,0.05,L W L L D,,Ollie Watkins - 12,Emiliano Martínez,,1.421875,1.365625,0.25522111293423355
Wolves,12,33,11,8,14,32,45,-13,41,34.7,38.6,-3.9,-0.12,L L W W L,,Rúben Neves Pedro Neto - 5,Rui Patrício,,1.0515151515151515,1.1696969696969697,0.31046100610527594
Crystal Palace,13,32,10,8,14,34,54,-20,38,24.8,48.9,-24.1,-0.75,L W D L L,125.0,Wilfried Zaha - 10,Vicente Guaita,,0.775,1.528125,0.21694205255933202
Burnley,14,33,9,9,15,30,45,-15,36,33.0,49.1,-16.1,-0.49,W L L L W,,Chris Wood - 10,Nick Pope,,1.0,1.487878787878788,0.22585122614359626
Southampton,15,32,10,6,16,40,58,-18,36,34.2,44.9,-10.7,-0.33,L L W L L,133.0,Danny Ings - 10,Alex McCarthy,,1.06875,1.403125,0.24582755126274922
Newcastle Utd,16,33,9,9,15,36,54,-18,36,33.4,46.7,-13.3,-0.4,L D W W D,,Callum Wilson - 10,Karl Darlow,,1.012121212121212,1.4151515151515153,0.24288880932587537
Brighton,17,33,7,13,13,33,39,-6,34,45.9,32.4,13.5,0.41,W L D D L,125.0,Neal Maupay - 8,Robert Sánchez,,1.3909090909090909,0.9818181818181818,0.3746293350084316
Fulham,18,33,5,12,16,25,43,-18,27,36.5,44.8,-8.3,-0.25,L L L L D,118.0,Bobby Reid - 5,Alphonse Areola,,1.106060606060606,1.3575757575757574,0.25728373969895035
West Brom,19,33,5,10,18,30,64,-34,25,27.4,57.3,-29.9,-0.9,L W W L D,,Matheus Pereira - 9,Sam Johnstone,,0.8303030303030302,1.7363636363636363,0.1761598184926036
Sheffield Utd,20,33,5,2,26,18,56,-38,17,27.2,54.5,-27.3,-0.83,L L L L W,,David McGoldrick - 7,Aaron Ramsdale,,0.8242424242424242,1.6515151515151516,0.19175914424239213
