Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,30,22,5,3,64,21,43,71,58.1,23.6,34.5,1.15,W W L W W,,İlkay Gündoğan - 12,Ederson,,1.9366666666666668,0.7866666666666667,0.45536013543045134
Manchester Utd,2,29,16,9,4,56,32,24,57,45.5,34.1,11.4,0.39,W D D W W,,Bruno Fernandes - 16,David de Gea,,1.5689655172413792,1.1758620689655173,0.30855287114810515
Leicester City,3,29,17,5,7,53,32,21,56,44.0,34.5,9.5,0.33,W L D W W,,Jamie Vardy - 12,Kasper Schmeichel,,1.5172413793103448,1.1896551724137931,0.3043261860398207
Chelsea,4,29,14,9,6,44,25,19,51,46.0,24.5,21.5,0.74,D D W W D,143.0,Tammy Abraham Jorginho - 6,Edouard Mendy,,1.5862068965517242,0.8448275862068966,0.4296314262092126
West Ham,5,29,14,7,8,45,35,10,49,40.3,33.8,6.5,0.23,W L W L D,133.0,Tomáš Souček - 9,Łukasz Fabiański,,1.389655172413793,1.1655172413793102,0.3117613644431888
Tottenham,6,29,14,6,9,49,30,19,48,39.7,33.7,6.1,0.21,W W W L W,143.0,Harry Kane - 17,Hugo Lloris,,1.3689655172413795,1.1620689655172414,0.3128382592790807
Liverpool,7,29,13,7,9,48,36,12,46,51.8,35.4,16.4,0.57,L W L L W,400.0,Mohamed Salah - 17,Alisson,,1.786206896551724,1.2206896551724138,0.29502663010551955
Everton,8,28,14,4,10,40,37,3,46,33.5,38.7,-5.2,-0.19,W W W L L,143.0,Dominic Calvert-Lewin - 14,Jordan Pickford,,1.1964285714285714,1.3821428571428573,0.25104003335181024
Arsenal,9,29,12,6,11,40,32,8,42,41.0,35.0,6.0,0.21,L W D W D,143.0,Alexandre Lacazette - 11,Bernd Leno,,1.4137931034482758,1.206896551724138,0.29912415677662624
Aston Villa,10,28,12,5,11,39,30,9,41,39.9,36.7,3.3,0.12,W L D D L,,Ollie Watkins - 10,Emiliano Martínez,,1.425,1.3107142857142857,0.26962739658824497
Leeds United,11,29,12,3,14,45,47,-2,39,43.4,48.0,-4.6,-0.16,W L L D W,,Patrick Bamford - 14,Illan Meslier,,1.496551724137931,1.6551724137931034,0.19105911163939585
Crystal Palace,12,29,10,7,12,31,47,-16,37,23.3,42.7,-19.4,-0.67,W D D L W,133.0,Wilfried Zaha - 9,Vicente Guaita,,0.803448275862069,1.4724137931034484,0.22937116191625903
Wolves,13,29,9,8,12,28,38,-10,35,30.0,33.9,-3.9,-0.13,W D L D L,,Rúben Neves Pedro Neto - 5,Rui Patrício,,1.0344827586206897,1.1689655172413793,0.3106881766426519
Southampton,14,29,9,6,14,36,51,-15,33,29.4,38.4,-9.1,-0.31,L L W L L,143.0,Danny Ings - 8,Alex McCarthy,,1.013793103448276,1.3241379310344827,0.2660321983667365
Burnley,15,29,8,9,12,22,37,-15,33,26.9,42.8,-15.9,-0.55,D L D D W,,Chris Wood - 6,Nick Pope,,0.9275862068965517,1.475862068965517,0.22858158899017464
Brighton,16,29,7,11,11,32,36,-4,32,40.7,28.5,12.2,0.42,L L L W W,133.0,Neal Maupay - 8,Robert Sánchez,,1.403448275862069,0.9827586206896551,0.3742771846333004
Newcastle Utd,17,29,7,7,15,28,48,-20,28,26.5,39.8,-13.4,-0.46,L D D D L,,Callum Wilson - 10,Karl Darlow,,0.9137931034482759,1.3724137931034481,0.25349433759507006
Fulham,18,30,5,11,14,23,38,-15,26,32.9,39.9,-7.0,-0.23,D L W L L,125.0,Bobby Reid - 5,Alphonse Areola,,1.0966666666666667,1.3299999999999998,0.264477261299824
West Brom,19,29,3,9,17,20,57,-37,18,20.8,48.2,-27.3,-0.94,D W L D L,,Matheus Pereira - 5,Sam Johnstone,,0.7172413793103448,1.6620689655172414,0.18974599578389267
Sheffield Utd,20,29,4,2,23,16,50,-34,14,24.5,46.0,-21.5,-0.74,L L W L L,,David McGoldrick - 6,Aaron Ramsdale,,0.8448275862068966,1.5862068965517242,0.2047005915353754
