,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
26,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-250,1990,7,7,526,3,0,0,0,1,0,0.51,0.00,0.51,0.51,0.51,2.8,2.8,0.4,0.47,0.07,0.54,0.47,0.54,Matches
27,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-280,1993,9,9,810,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-248,1992,8,8,690,1,2,0,0,0,0,0.13,0.26,0.39,0.13,0.39,0.8,0.8,0.8,0.10,0.10,0.20,0.10,0.20,Matches
29,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-061,1994,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-168,1989,10,10,896,2,1,1,1,2,0,0.20,0.10,0.30,0.10,0.20,2.4,1.6,1.3,0.24,0.14,0.37,0.16,0.30,Matches
31,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,27-345,1992,4,4,360,1,1,0,0,0,0,0.25,0.25,0.50,0.25,0.50,0.7,0.7,0.4,0.17,0.09,0.26,0.17,0.26,Matches
32,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,29-083,1991,8,7,585,1,0,0,0,0,0,0.15,0.00,0.15,0.15,0.15,1.3,1.3,0.1,0.20,0.01,0.21,0.20,0.21,Matches
33,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-100,1991,10,10,879,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.3,0.04,0.14,0.17,0.04,0.17,Matches
34,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-097,1989,5,3,321,0,1,0,0,1,0,0.00,0.28,0.28,0.00,0.28,0.1,0.1,0.0,0.01,0.01,0.03,0.01,0.03,Matches
35,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-235,1994,2,1,98,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
36,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-102,1991,8,8,720,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.0,0.04,0.00,0.04,0.04,0.04,Matches
