,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-160,1990,12,11,1009,11.2,0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.7,0.7,0.8,0.07,0.07,0.14,0.07,0.14,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-126,1997,18,10,957,10.6,6,1,0,0,0,0,0.56,0.09,0.66,0.56,0.66,5.5,5.5,0.9,0.51,0.08,0.60,0.51,0.60,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-207,1996,20,19,1623,18.0,4,4,0,0,1,0,0.22,0.22,0.44,0.22,0.44,4.8,4.8,4.0,0.27,0.22,0.49,0.27,0.49,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-134,1997,17,17,1530,17.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.04,0.01,0.04,0.04,0.04,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-033,1987,2,2,180,2.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-248,1988,5,2,143,1.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.40,0.35,0.76,0.40,0.76,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-120,1996,18,18,1594,17.7,1,0,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.3,0.03,0.02,0.04,0.03,0.04,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-244,2001,11,8,692,7.7,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,0.04,0.10,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-088,1993,21,21,1890,21.0,2,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.5,0.5,0.1,0.02,0.00,0.03,0.02,0.03,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-353,1995,6,5,470,5.2,1,0,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-079,1989,16,11,1011,11.2,0,2,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.8,0.8,2.5,0.08,0.23,0.30,0.08,0.30,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-300,1991,9,7,680,7.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,0.04,0.10,0.15,0.04,0.15,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-340,1989,13,13,1160,12.9,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.2,0.03,0.02,0.04,0.03,0.04,Matches
