,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-068,1990,2,1,109,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.07,0.05,0.12,0.07,0.12,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-034,1997,6,3,289,1,1,0,0,0,0,0.31,0.31,0.62,0.31,0.62,1.9,1.9,0.1,0.58,0.03,0.60,0.58,0.60,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-115,1996,7,7,585,2,2,0,0,1,0,0.31,0.31,0.62,0.31,0.62,2.3,2.3,1.5,0.35,0.23,0.58,0.35,0.58,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-042,1997,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-307,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-156,1988,2,2,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.10,0.51,0.61,0.10,0.61,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-028,1996,4,4,360,1,0,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-152,2001,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.1,0.1,0.0,0.06,0.00,0.06,0.06,0.06,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,26-362,1993,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-261,1995,4,3,290,1,0,0,0,2,0,0.31,0.00,0.31,0.31,0.31,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFMF,Leicester City,30-353,1989,4,1,128,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.35,0.35,0.00,0.35,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-208,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
