,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-194,1990,17,16,1414,15.7,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,0.8,2.0,0.08,0.05,0.13,0.08,0.13,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-160,1997,20,12,1021,11.3,6,1,6,0,0,0,0,0.53,0.09,0.62,0.53,0.62,5.6,5.6,0.9,6.5,0.49,0.08,0.57,0.49,0.57,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-241,1996,27,23,2075,23.1,6,4,6,0,0,1,0,0.26,0.17,0.43,0.26,0.43,6.1,6.1,4.6,10.7,0.26,0.20,0.46,0.26,0.46,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-168,1997,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-067,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-282,1988,7,3,222,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,1.3,0.28,0.23,0.51,0.28,0.51,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-154,1996,24,24,2089,23.2,2,1,2,0,0,2,0,0.09,0.04,0.13,0.09,0.13,0.9,0.9,1.3,2.2,0.04,0.06,0.10,0.04,0.10,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-278,2001,13,8,702,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,1.1,0.04,0.09,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-122,1993,24,24,2099,23.3,2,0,2,0,0,3,1,0.09,0.00,0.09,0.09,0.09,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-021,1995,6,5,470,5.2,1,0,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-113,1989,21,12,1202,13.4,0,3,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,1.0,1.0,3.0,4.1,0.08,0.23,0.30,0.08,0.30,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-334,1991,14,11,1061,11.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.1,1.5,0.03,0.09,0.13,0.03,0.13,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-009,1989,17,17,1520,16.9,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches
