,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-243,1990,21,20,1774,19.7,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.10,0.06,0.10,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-209,1997,21,12,1025,11.4,6,1,6,0,0,0,0,0.53,0.09,0.61,0.53,0.61,6.4,6.4,0.9,7.3,0.56,0.08,0.64,0.56,0.64,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-290,1996,31,25,2275,25.3,7,4,7,0,0,1,0,0.28,0.16,0.44,0.28,0.44,7.3,7.3,4.6,11.9,0.29,0.18,0.47,0.29,0.47,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-217,1997,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-116,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-331,1988,9,5,374,4.2,1,0,0,1,1,0,0,0.24,0.00,0.24,0.00,0.00,1.7,0.9,0.6,1.5,0.41,0.13,0.55,0.23,0.36,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-203,1996,29,29,2513,27.9,2,1,2,0,0,2,0,0.07,0.04,0.11,0.07,0.11,0.9,0.9,1.4,2.3,0.03,0.05,0.08,0.03,0.08,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-327,2001,17,12,1061,11.8,1,1,1,0,0,0,0,0.08,0.08,0.17,0.08,0.17,0.4,0.4,0.8,1.2,0.04,0.06,0.10,0.04,0.10,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-171,1993,28,26,2330,25.9,2,0,2,0,0,3,1,0.08,0.00,0.08,0.08,0.08,0.7,0.7,0.1,0.7,0.03,0.00,0.03,0.03,0.03,Matches
