Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Liverpool,1,17,9,6,2,37,21,16,33,33.1,20.0,13.1,0.77,W W D D L,750.0,Mohamed Salah - 13,Alisson,,1.947058823529412,1.1764705882352942,0.3083651678965814
Manchester Utd,2,16,10,3,3,33,24,9,33,27.2,21.4,5.8,0.36,W W D W W,,Bruno Fernandes - 11,David de Gea,,1.7,1.3375,0.2625011017018073
Leicester City,3,17,10,2,5,31,21,10,32,25.2,20.0,5.2,0.3,L W D D W,,Jamie Vardy - 11,Kasper Schmeichel,,1.4823529411764707,1.1764705882352942,0.3083651678965814
Tottenham,4,16,8,5,3,29,15,14,29,22.8,17.7,5.1,0.32,D L L D W,250.0,Son Heung-min - 12,Hugo Lloris,,1.425,1.10625,0.3307971272898979
Manchester City,5,15,8,5,2,24,13,11,29,25.5,13.1,12.3,0.82,D D W W W,,Riyad Mahrez Raheem Sterling - 4,Ederson,,1.7,0.8733333333333333,0.4175573690081201
Southampton,6,17,8,5,4,26,19,7,29,16.5,19.8,-3.4,-0.2,D L D D W,222.0,Danny Ings - 7,Alex McCarthy,,0.9705882352941176,1.1647058823529413,0.31201441748485553
Everton,7,16,9,2,5,26,20,6,29,21.0,20.2,0.8,0.05,W W W W L,250.0,Dominic Calvert-Lewin - 11,Jordan Pickford,,1.3125,1.2625,0.2829457771141329
Aston Villa,8,15,8,2,5,29,16,13,26,27.3,17.6,9.7,0.64,D W W D L,,Ollie Watkins - 6,Emiliano Martínez,,1.82,1.1733333333333333,0.309334107141135
Chelsea,9,17,7,5,5,32,21,11,26,28.3,18.7,9.6,0.57,L W L D L,222.0,Tammy Abraham - 6,Edouard Mendy,,1.6647058823529413,1.0999999999999999,0.3328710836980796
West Ham,10,17,7,5,5,24,21,3,26,21.6,21.5,0.1,0.0,D L D D W,250.0,Tomáš Souček - 5,Łukasz Fabiański,,1.2705882352941178,1.2647058823529411,0.28232231990699064
Arsenal,11,17,7,2,8,20,19,1,23,22.2,20.6,1.6,0.09,D L W W W,250.0,Alexandre Lacazette - 7,Bernd Leno,,1.3058823529411765,1.211764705882353,0.29767151298478955
Leeds United,12,17,7,2,8,30,33,-3,23,29.3,31.3,-2.0,-0.12,W L W W L,,Patrick Bamford - 10,Illan Meslier,,1.723529411764706,1.8411764705882354,0.15863069194137142
Wolves,13,17,6,4,7,18,24,-6,22,16.7,20.6,-3.9,-0.23,W L D L D,,Raúl Jiménez Pedro Neto - 4,Rui Patrício,,0.9823529411764705,1.211764705882353,0.29767151298478955
Crystal Palace,14,17,6,4,7,22,29,-7,22,16.2,23.9,-7.7,-0.45,D L L D W,222.0,Wilfried Zaha - 8,Vicente Guaita,,0.9529411764705882,1.4058823529411764,0.24515065159576852
Newcastle Utd,15,16,5,4,7,18,26,-8,19,15.0,21.5,-6.5,-0.41,L D L D L,,Callum Wilson - 8,Karl Darlow,,0.9375,1.34375,0.26086558612628497
Burnley,16,15,4,4,7,9,20,-11,16,13.2,21.3,-8.1,-0.54,W D W L W,,Chris Wood - 3,Nick Pope,,0.88,1.4200000000000002,0.24171401689703642
Brighton,17,17,2,8,7,21,28,-7,14,23.6,18.2,5.4,0.32,D D D L D,222.0,Neal Maupay - 6,Mathew Ryan,,1.3882352941176472,1.0705882352941176,0.3428068070349778
Fulham,18,15,2,5,8,13,23,-10,11,16.6,21.8,-5.2,-0.35,L D D D D,250.0,Bobby Reid - 4,Alphonse Areola,,1.1066666666666667,1.4533333333333334,0.23378968885499327
West Brom,19,17,1,5,11,11,39,-28,8,9.9,32.0,-22.1,-1.3,D L D L L,,Conor Gallagher Callum Robinson - 2,Sam Johnstone,,0.5823529411764706,1.8823529411764706,0.1522314922775877
Sheffield Utd,20,17,0,2,15,8,29,-21,2,15.8,25.5,-9.7,-0.57,L D L L L,,David McGoldrick - 4,Aaron Ramsdale,,0.9294117647058824,1.5,0.22313016014842982
