,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
440,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,23-277,1997,17,17,1529,17.0,0,1,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches
441,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,23-050,1997,15,15,1350,15.0,1,1,0,0,0,0,0.07,0.07,0.13,0.07,0.13,0.3,0.3,0.5,0.02,0.03,0.05,0.02,0.05,Matches
442,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,31-078,1989,9,9,810,9.0,0,1,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,0.3,0.00,0.04,0.04,0.00,0.04,Matches
443,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,26-075,1994,17,17,1530,17.0,4,4,0,0,3,0,0.24,0.24,0.47,0.24,0.47,0.9,0.9,1.6,0.05,0.09,0.15,0.05,0.15,Matches
444,Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,25-016,1995,15,15,1350,15.0,6,2,1,2,1,0,0.40,0.13,0.53,0.33,0.47,8.9,7.5,1.6,0.60,0.11,0.70,0.50,0.61,Matches
445,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,26-011,1995,17,17,1530,17.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,0.05,0.01,0.05,0.05,0.05,Matches
446,Danny Welbeck\Danny-Welbeck,eng ENG,FW,Brighton,30-050,1990,9,7,621,6.9,2,0,0,0,0,0,0.29,0.00,0.29,0.29,0.29,2.5,2.5,0.6,0.37,0.08,0.45,0.37,0.45,Matches
447,Timo Werner\Timo-Werner,de GER,FW,Chelsea,24-315,1996,17,16,1357,15.1,4,4,0,0,0,0,0.27,0.27,0.53,0.27,0.53,6.6,6.6,2.3,0.43,0.15,0.59,0.43,0.59,Matches
448,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,30-289,1990,16,16,1440,16.0,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,0.3,0.3,2.5,0.02,0.15,0.17,0.02,0.17,Matches
449,Ben White\Ben-White,eng ENG,DFMF,Brighton,23-099,1997,17,17,1489,16.5,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
450,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,30-065,1990,17,15,1352,15.0,1,0,0,0,0,0,0.07,0.00,0.07,0.07,0.07,2.0,2.0,1.0,0.13,0.07,0.20,0.13,0.20,Matches
451,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,20-134,2000,1,0,7,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
452,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,19-277,2001,4,2,173,1.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.08,0.11,0.03,0.11,Matches
453,Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,19-347,2001,2,1,121,1.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
454,Willian\Willian,br BRA,FWMF,Arsenal,32-159,1988,13,12,902,10.0,0,3,0,0,0,0,0.00,0.30,0.30,0.00,0.30,1.2,1.2,1.3,0.12,0.13,0.25,0.12,0.25,Matches
455,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,21-148,1999,6,2,237,2.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.17,0.02,0.18,0.17,0.18,Matches
456,Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,28-323,1992,15,15,1327,14.7,8,3,4,4,2,0,0.54,0.20,0.75,0.27,0.47,7.5,4.4,1.2,0.51,0.08,0.59,0.30,0.38,Matches
457,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,24-348,1996,8,6,523,5.8,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.01,0.05,0.05,0.01,0.05,Matches
458,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,29-039,1991,16,16,1367,15.2,3,0,0,0,0,0,0.20,0.00,0.20,0.20,0.20,6.0,6.0,0.9,0.39,0.06,0.45,0.39,0.45,Matches
459,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,28-110,1992,14,13,1086,12.1,1,0,0,0,2,1,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.1,0.05,0.01,0.06,0.05,0.06,Matches
460,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,31-084,1989,9,1,247,2.7,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.07,0.25,0.32,0.07,0.32,Matches
461,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,27-190,1993,6,5,436,4.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches
462,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,28-066,1992,16,16,1430,15.9,8,2,2,2,3,0,0.50,0.13,0.63,0.38,0.50,5.5,4.0,2.0,0.35,0.12,0.47,0.25,0.37,Matches
463,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,25-060,1995,16,14,1284,14.3,0,2,0,0,3,0,0.00,0.14,0.14,0.00,0.14,1.0,1.0,1.2,0.07,0.08,0.16,0.07,0.16,Matches
464,Andi Zeqiri\Andi-Zeqiri,ch SUI,FWDF,Brighton,21-207,1999,2,0,64,0.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.44,0.00,0.44,0.44,0.44,Matches
465,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,24-031,1996,3,2,193,2.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.11,0.00,0.11,0.11,0.11,Matches
466,Hakim Ziyech\Hakim-Ziyech,ma MAR,FW,Chelsea,27-302,1993,8,6,451,5.0,1,3,0,0,1,0,0.20,0.60,0.80,0.20,0.80,0.5,0.5,2.1,0.09,0.41,0.50,0.09,0.50,Matches
467,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,26-080,1994,15,15,1350,15.0,4,0,0,0,1,0,0.27,0.00,0.27,0.27,0.27,0.9,0.9,0.0,0.06,0.00,0.07,0.06,0.07,Matches
