Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,29,27,1,1,66,21,45,82,56.2,29.1,27.1,0.93,W W W L W,53143,Mohamed Salah - 16,Alisson,,1.003448275862069,0.3666130760173167
2,Manchester City,28,18,3,7,68,31,37,57,65.3,26.2,39.1,1.4,W L W W L,54219,Sergio Agüero - 16,Ederson,,0.9357142857142857,0.39230554718175337
3,Leicester City,29,16,5,8,58,28,30,53,47.2,35.3,11.8,0.41,D D L L W,32061,Jamie Vardy - 19,Kasper Schmeichel,,1.2172413793103447,0.2960457193534085
4,Chelsea,29,14,6,9,51,39,12,48,48.7,27.2,21.5,0.74,D L W D W,40563,Tammy Abraham - 13,Kepa Arrizabalaga,,0.9379310344827586,0.3914368675211795
5,Manchester Utd,29,12,9,8,44,30,14,45,44.2,29.5,14.8,0.51,D W W D W,72726,Marcus Rashford - 14,David de Gea,,1.0172413793103448,0.3615910581597647
6,Wolves,29,10,13,6,41,34,7,43,39.0,27.9,11.0,0.38,D D W W D,31360,Raúl Jiménez - 13,Rui Patrício,,0.9620689655172413,0.3821015127414955
7,Sheffield Utd,28,11,10,7,30,25,5,43,33.9,34.0,-0.1,0.0,L W W D W,30869,John Fleck Lys Mousset - 5,Dean Henderson,,1.2142857142857142,0.2969220257278962
8,Tottenham,29,11,8,10,47,40,7,41,38.4,42.7,-4.3,-0.15,W W L L D,59384,Harry Kane - 11,Paulo Gazzaniga,,1.4724137931034484,0.22937116191625903
9,Arsenal,28,9,13,6,40,36,4,40,36.4,40.8,-4.3,-0.15,D D W W W,60279,Pierre-Emerick Aubameyang - 17,Bernd Leno,,1.457142857142857,0.2329007557498447
10,Burnley,29,11,6,12,34,40,-6,39,33.3,36.0,-2.7,-0.09,D W W D D,20260,Chris Wood - 11,Nick Pope,,1.2413793103448276,0.28898534244340446
11,Crystal Palace,29,10,9,10,26,32,-6,39,28.2,37.8,-9.6,-0.33,L L W W W,25060,Jordan Ayew - 8,Vicente Guaita,,1.303448275862069,0.2715936466538
12,Everton,29,10,7,12,37,46,-9,37,41.5,37.0,4.6,0.16,W W L D L,39150,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.2758620689655173,0.27919018325723355
13,Newcastle Utd,29,9,8,12,25,41,-16,35,25.3,45.7,-20.4,-0.7,D L L D W,48248,Jonjo Shelvey - 5,Martin Dúbravka,,1.5758620689655174,0.2068291747924265
14,Southampton,29,10,4,15,35,52,-17,34,39.8,40.7,-1.0,-0.03,L L W L L,29675,Danny Ings - 15,Alex McCarthy,,1.403448275862069,0.24574809399319508
15,Brighton,29,6,11,12,32,40,-8,29,33.2,39.0,-5.8,-0.2,D D D L D,30358,Neal Maupay - 8,Mathew Ryan,,1.3448275862068966,0.2605846323719533
16,West Ham,29,7,6,16,35,50,-15,27,33.1,53.5,-20.3,-0.7,D L L W L,59925,Sébastien Haller - 7,Łukasz Fabiański,,1.8448275862068966,0.15805256898353487
17,Watford,29,6,9,14,27,44,-17,27,34.1,43.8,-9.7,-0.33,L D L W L,20837,Troy Deeney - 6,Ben Foster,,1.5103448275862068,0.22083381523716797
18,Bournemouth,29,7,6,16,29,47,-18,27,32.5,45.4,-12.8,-0.44,W L L D L,10510,Callum Wilson - 8,Aaron Ramsdale,,1.5655172413793104,0.20897989216569202
19,Aston Villa,28,7,4,17,34,56,-22,25,31.1,57.0,-25.9,-0.93,W L L L L,41661,Jack Grealish - 7,Tom Heaton,,2.0357142857142856,0.13058717263115835
20,Norwich City,29,5,6,18,25,52,-27,21,33.8,46.8,-13.0,-0.45,D L L W L,27025,Teemu Pukki - 11,Tim Krul,,1.6137931034482758,0.1991308558154405
