,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-059,1990,1,0,19,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.29,0.00,0.29,0.29,0.29,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-025,1997,5,2,213,1,0,0,0,0,0,0.42,0.00,0.42,0.42,0.42,1.7,1.7,0.0,0.71,0.01,0.71,0.71,0.71,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-106,1996,6,6,495,2,2,0,0,1,0,0.36,0.36,0.73,0.36,0.73,2.3,2.3,1.4,0.41,0.26,0.67,0.41,0.67,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-033,1997,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.08,0.00,0.08,0.08,0.08,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-298,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-147,1988,2,2,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.10,0.51,0.61,0.10,0.61,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-019,1996,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.03,0.03,0.00,0.03,Matches
8,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,26-353,1993,5,5,450,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-252,1995,4,3,290,1,0,0,0,2,0,0.31,0.00,0.31,0.31,0.31,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,30-344,1989,3,0,38,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.77,0.77,0.00,0.77,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-199,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
12,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-239,1989,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
13,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-020,1998,6,6,538,0,1,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.1,0.07,0.18,0.26,0.07,0.26,Matches
14,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-258,1992,4,2,157,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.15,0.21,0.36,0.15,0.36,Matches
15,Alisson\Alisson,br BRA,GK,Liverpool,28-025,1992,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
16,Allan\Allan,br BRA,MF,Everton,29-293,1991,5,5,450,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
17,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-199,1996,2,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.25,0.00,0.25,0.25,0.25,Matches
18,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,26-260,1994,5,2,220,0,1,0,0,1,0,0.00,0.41,0.41,0.00,0.41,0.1,0.1,0.7,0.06,0.30,0.36,0.06,0.36,Matches
19,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29-304,1990,3,3,225,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,Matches
20,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-049,1998,5,4,351,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.06,0.08,0.15,0.06,0.15,Matches
21,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,25-311,1994,2,2,144,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
22,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-043,2000,3,2,240,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.04,0.06,0.10,0.04,0.10,Matches
23,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-195,1993,2,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
24,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-213,1990,6,6,481,3,0,0,0,1,0,0.56,0.00,0.56,0.56,0.56,2.8,2.8,0.4,0.52,0.08,0.59,0.52,0.59,Matches
25,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-243,1993,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-211,1992,4,4,332,0,1,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.3,0.3,0.5,0.08,0.14,0.22,0.08,0.22,Matches
27,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-024,1994,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-131,1989,6,6,540,1,1,0,0,1,0,0.17,0.17,0.33,0.17,0.33,0.8,0.8,1.1,0.13,0.18,0.32,0.13,0.32,Matches
29,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,27-308,1992,2,2,180,1,1,0,0,0,0,0.50,0.50,1.00,0.50,1.00,0.6,0.6,0.4,0.31,0.18,0.49,0.31,0.49,Matches
30,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,29-046,1991,4,4,341,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.12,0.00,0.12,0.12,0.12,Matches
31,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-063,1991,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,0.04,0.13,0.17,0.04,0.17,Matches
32,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-060,1989,5,3,321,0,1,0,0,1,0,0.00,0.28,0.28,0.00,0.28,0.1,0.1,0.0,0.01,0.01,0.03,0.01,0.03,Matches
33,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-198,1994,2,1,98,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
34,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-065,1991,4,4,360,1,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.3,0.3,0.0,0.07,0.00,0.07,0.07,0.07,Matches
