Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,36,30,3,3,77,29,48,93,68.6,38.5,30.1,0.84,L W W D L,53143,Mohamed Salah - 19,Alisson,,1.0694444444444444,0.3431991306493785
2,Manchester City,36,24,3,9,93,35,58,75,86.5,33.9,52.6,1.46,W L W W W,54219,Raheem Sterling - 17,Ederson,,0.9416666666666667,0.3899773312036323
3,Chelsea,36,19,6,11,64,49,15,63,64.6,36.5,28.1,0.78,L W W L W,40563,Tammy Abraham - 14,Kepa Arrizabalaga,,1.0138888888888888,0.3628053229870513
4,Leicester City,36,18,8,10,67,36,31,62,57.8,42.9,14.9,0.41,L W D L W,32061,Jamie Vardy - 23,Kasper Schmeichel,,1.1916666666666667,0.3037146509214855
5,Manchester Utd,36,17,11,8,63,35,28,62,57.1,34.3,22.8,0.63,W W W D W,72726,Marcus Rashford Anthony Martial - 17,David de Gea,,0.9527777777777777,0.3856682335096371
6,Wolves,36,14,14,8,49,38,11,56,46.0,32.8,13.2,0.37,W L L W D,31360,Raúl Jiménez - 17,Rui Patrício,,0.911111111111111,0.4020772232755631
7,Tottenham,36,15,10,11,57,46,11,55,45.4,50.3,-4.9,-0.14,L W D W W,59384,Harry Kane - 15,Hugo Lloris,,1.3972222222222221,0.24728290776680353
8,Sheffield Utd,36,14,12,10,38,35,3,54,40.6,45.4,-4.7,-0.13,W D W W L,30869,Oliver McBurnie Lys Mousset - 6,Dean Henderson,,1.261111111111111,0.2833390303894612
9,Arsenal,36,13,14,9,53,45,8,53,46.9,52.8,-5.9,-0.16,W W D L W,60279,Pierre-Emerick Aubameyang - 20,Bernd Leno,,1.4666666666666666,0.23069318225496285
10,Burnley,36,14,9,13,40,48,-8,51,40.3,46.9,-6.6,-0.18,W D W D D,20260,Chris Wood - 12,Nick Pope,,1.3027777777777778,0.27177581073709683
11,Everton,36,12,10,14,42,53,-11,46,47.3,46.8,0.5,0.01,W L D L D,39150,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.2999999999999998,0.27253179303401265
12,Southampton,36,13,7,16,46,59,-13,46,50.2,50.9,-0.6,-0.02,W W D D D,29675,Danny Ings - 20,Alex McCarthy,,1.4138888888888888,0.24319568080665524
13,Newcastle Utd,36,11,10,15,37,55,-18,43,32.8,57.3,-24.5,-0.68,W D L L L,48248,Jonjo Shelvey - 6,Martin Dúbravka,,1.5916666666666666,0.20358601878738827
14,Crystal Palace,36,11,9,16,30,47,-17,42,34.1,49.9,-15.8,-0.44,L L L L L,25060,Jordan Ayew - 9,Vicente Guaita,,1.386111111111111,0.250045816700022
15,West Ham,36,10,7,19,47,60,-13,37,43.8,61.7,-17.9,-0.5,W D L W W,59925,Michail Antonio - 9,Łukasz Fabiański,,1.713888888888889,0.1801637915326653
16,Brighton,36,8,13,15,37,53,-16,37,40.7,52.5,-11.8,-0.33,L W L L D,30358,Neal Maupay - 10,Mathew Ryan,,1.4583333333333333,0.2326236579172927
17,Watford,36,8,10,18,34,57,-23,34,42.4,53.4,-11.0,-0.31,L L W W L,20837,Troy Deeney - 9,Ben Foster,,1.4833333333333334,0.22688015933902364
18,Bournemouth,36,8,7,21,37,62,-25,31,40.8,53.5,-12.7,-0.35,L L D W L,10510,Callum Wilson - 8,Aaron Ramsdale,,1.4861111111111112,0.22625081117354073
19,Aston Villa,36,8,7,21,39,66,-27,31,39.4,65.6,-26.2,-0.73,L L L W D,41661,Jack Grealish - 7,Tom Heaton,,1.822222222222222,0.16166609347698702
20,Norwich City,36,5,6,25,26,68,-42,21,38.1,57.6,-19.5,-0.54,L L L L L,27025,Teemu Pukki - 11,Tim Krul,,1.6,0.20189651799465538
