Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,35,25,5,5,72,26,46,80,68.4,26.5,41.9,1.2,W L W W L,,İlkay Gündoğan - 12,Ederson,,1.9542857142857144,0.7571428571428571,0.4690045274631699
Manchester Utd,2,36,20,10,6,70,42,28,70,55.4,38.0,17.3,0.5,W D W L L,,Bruno Fernandes - 18,David de Gea,,1.5388888888888888,1.0555555555555556,0.34799904079225524
Leicester City,3,36,20,6,10,65,44,21,66,53.3,43.0,10.3,0.29,W W D L W,,Jamie Vardy - 13,Kasper Schmeichel,,1.4805555555555554,1.1944444444444444,0.30287216976780246
Chelsea,4,36,18,10,8,55,33,22,64,58.8,31.0,27.8,0.77,D W W W L,111.0,Timo Werner Mason Mount... - 6,Edouard Mendy,,1.6333333333333333,0.8611111111111112,0.42269216334072857
Liverpool,5,35,17,9,9,61,41,20,60,62.9,41.1,21.8,0.64,W D D W W,333.0,Mohamed Salah - 21,Alisson,,1.7971428571428572,1.1742857142857144,0.3090396434726238
West Ham,6,35,17,7,11,55,45,10,58,47.5,44.8,2.7,0.08,W L L W L,111.0,Tomáš Souček Michail Antonio... - 9,Łukasz Fabiański,,1.3571428571428572,1.28,0.27803730045319414
Tottenham,7,35,16,8,11,61,41,20,56,48.5,44.5,4.0,0.11,L D W W L,118.0,Harry Kane - 21,Hugo Lloris,,1.3857142857142857,1.2714285714285714,0.2804307201737374
Everton,8,35,16,8,11,46,42,4,56,42.7,45.9,-3.1,-0.09,D W L W D,118.0,Dominic Calvert-Lewin - 16,Jordan Pickford,,1.22,1.3114285714285714,0.26943487435680724
Arsenal,9,36,16,7,13,50,38,12,55,51.1,42.9,8.2,0.23,D L W W W,111.0,Alexandre Lacazette - 13,Bernd Leno,,1.4194444444444445,1.1916666666666667,0.3037146509214855
Leeds United,10,35,15,5,15,53,53,0,50,51.9,58.6,-6.7,-0.19,W D D L W,,Patrick Bamford - 15,Illan Meslier,,1.4828571428571429,1.6742857142857144,0.18744201883280753
Aston Villa,11,35,14,7,14,49,41,8,49,47.9,46.7,1.2,0.03,L D W L D,,Ollie Watkins - 13,Emiliano Martínez,,1.3685714285714285,1.3342857142857143,0.26334621272952874
Wolves,12,35,12,9,14,35,47,-12,45,37.4,40.4,-3.0,-0.09,W W L D W,,Rúben Neves Pedro Neto - 5,Rui Patrício,,1.0685714285714285,1.1542857142857141,0.31528265839216174
Crystal Palace,13,35,11,8,16,37,59,-22,41,29.1,53.0,-23.9,-0.68,L L L W L,118.0,Wilfried Zaha - 10,Vicente Guaita,,0.8314285714285715,1.5142857142857142,0.2199652467809513
Southampton,14,35,11,7,17,44,62,-18,40,37.9,50.2,-12.3,-0.35,L L D L W,118.0,Danny Ings - 12,Alex McCarthy,,1.0828571428571427,1.4342857142857144,0.23828550717573532
Burnley,15,35,10,9,16,33,47,-14,39,36.8,51.8,-15.0,-0.43,L L W L W,,Chris Wood - 12,Nick Pope,,1.0514285714285714,1.48,0.22763768838381274
Newcastle Utd,16,35,10,9,16,40,58,-18,39,36.2,51.0,-14.8,-0.42,W W D L W,,Callum Wilson - 12,Karl Darlow,,1.0342857142857145,1.457142857142857,0.2329007557498447
Brighton,17,35,8,13,14,36,41,-5,37,48.9,34.4,14.5,0.41,D D L W L,118.0,Neal Maupay - 8,Robert Sánchez,,1.397142857142857,0.9828571428571428,0.3742403118502522
Fulham,18,35,5,12,18,25,47,-22,27,37.7,48.7,-11.0,-0.31,L L D L L,111.0,Bobby Reid - 5,Alphonse Areola,,1.0771428571428572,1.3914285714285715,0.24871973680539813
West Brom,19,35,5,11,19,32,68,-36,26,30.1,59.7,-29.6,-0.85,W L D D L,,Matheus Pereira - 10,Sam Johnstone,,0.86,1.7057142857142857,0.18164259511613887
Sheffield Utd,20,35,5,2,28,18,62,-44,17,28.4,58.6,-30.2,-0.86,L L W L L,,David McGoldrick - 7,Aaron Ramsdale,,0.8114285714285714,1.6742857142857144,0.18744201883280753
