,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-111,1990,8,7,649,0,1,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,0.6,0.09,0.08,0.18,0.09,0.18,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-077,1997,12,6,602,3,1,0,0,0,0,0.45,0.15,0.60,0.45,0.60,3.5,3.5,0.9,0.52,0.13,0.65,0.52,0.65,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-158,1996,13,13,1118,4,4,0,0,1,0,0.32,0.32,0.64,0.32,0.64,2.7,2.7,3.9,0.22,0.31,0.53,0.22,0.53,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-085,1997,9,9,810,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.05,0.02,0.07,0.05,0.07,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-350,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-199,1988,3,2,124,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.25,0.41,0.66,0.25,0.66,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-071,1996,10,10,900,1,0,0,0,0,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.3,0.03,0.03,0.06,0.03,0.06,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-195,2001,4,3,275,1,0,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.3,0.06,0.11,0.17,0.06,0.17,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-039,1993,12,12,1080,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.01,0.00,0.01,0.01,0.01,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-304,1995,5,4,380,1,0,0,0,3,0,0.24,0.00,0.24,0.24,0.24,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFMF,Leicester City,31-030,1989,8,4,443,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.0,0.08,0.20,0.27,0.08,0.27,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-251,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-291,1989,9,9,800,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.03,0.03,0.01,0.03,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-072,1998,11,10,870,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,1.4,0.08,0.14,0.22,0.08,0.22,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-310,1992,11,8,640,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.8,0.8,1.3,0.11,0.18,0.29,0.11,0.29,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-077,1992,10,10,900,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Allan\Allan,br BRA,MF,Everton,29-345,1991,12,12,1028,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
18,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,24-251,1996,4,1,77,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches
