,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-258,1990,21,20,1774,19.7,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.10,0.06,0.10,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-224,1997,22,12,1040,11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-305,1996,34,28,2532,28.1,8,5,8,0,0,1,0,0.28,0.18,0.46,0.28,0.46,8.2,8.2,5.4,13.5,0.29,0.19,0.48,0.29,0.48,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-232,1997,30,30,2683,29.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,1.4,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-131,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,32-346,1988,11,7,533,5.9,2,1,1,1,2,0,0,0.34,0.17,0.51,0.17,0.34,2.9,1.3,1.3,2.6,0.48,0.22,0.70,0.23,0.45,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-218,1996,30,30,2603,28.9,2,1,2,0,0,3,0,0.07,0.03,0.10,0.07,0.10,1.0,1.0,1.4,2.3,0.03,0.05,0.08,0.03,0.08,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-342,2001,19,14,1232,13.7,1,1,1,0,0,0,0,0.07,0.07,0.15,0.07,0.15,0.5,0.5,1.0,1.5,0.04,0.07,0.11,0.04,0.11,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-186,1993,30,28,2510,27.9,2,0,2,0,0,3,1,0.07,0.00,0.07,0.07,0.07,0.8,0.8,0.1,0.9,0.03,0.00,0.03,0.03,0.03,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-085,1995,9,8,707,7.9,1,0,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,31-177,1989,29,15,1601,17.8,1,5,1,0,0,2,0,0.06,0.28,0.34,0.06,0.34,1.3,1.3,4.3,5.6,0.07,0.24,0.31,0.07,0.31,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,30-033,1991,21,17,1584,17.6,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,1.6,2.2,0.04,0.09,0.14,0.04,0.14,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-073,1989,22,22,1970,21.9,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.8,0.8,0.3,1.1,0.04,0.01,0.05,0.04,0.05,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-085,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-219,1998,33,31,2761,30.7,2,6,2,0,0,1,0,0.07,0.20,0.26,0.07,0.26,2.1,2.1,6.5,8.7,0.07,0.22,0.29,0.07,0.29,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,29-091,1992,33,26,2191,24.3,2,2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.3,1.3,2.8,4.1,0.05,0.11,0.17,0.05,0.17,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-224,1992,30,30,2700,30.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Allan\Allan,br BRA,MF,Everton,30-126,1991,21,20,1781,19.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.03,0.04,0.01,0.04,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,25-033,1996,12,4,382,4.2,0,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.6,0.6,0.5,1.2,0.15,0.12,0.28,0.15,0.28,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-093,1994,31,25,2170,24.1,4,1,4,0,0,3,0,0.17,0.04,0.21,0.17,0.21,3.1,3.1,2.7,5.8,0.13,0.11,0.24,0.13,0.24,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-137,1990,13,11,960,10.7,2,0,2,0,0,2,0,0.19,0.00,0.19,0.19,0.19,1.7,1.7,1.1,2.8,0.16,0.11,0.27,0.16,0.27,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-248,1998,12,8,741,8.2,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-144,1994,12,8,722,8.0,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.00,0.05,0.05,0.05,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-242,2000,25,23,2089,23.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-348,1996,29,29,2581,28.7,1,1,1,0,0,6,1,0.03,0.03,0.07,0.03,0.07,0.8,0.8,0.5,1.3,0.03,0.02,0.04,0.03,0.04,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-189,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,28-029,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-047,1990,23,21,1726,19.2,9,5,9,0,0,3,0,0.47,0.26,0.73,0.47,0.73,10.4,10.4,2.2,12.6,0.54,0.11,0.65,0.54,0.65,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-076,1993,34,34,3060,34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-045,1992,30,29,2507,27.9,4,5,4,0,0,3,0,0.14,0.18,0.32,0.14,0.32,2.7,2.7,2.3,5.0,0.10,0.08,0.18,0.10,0.18,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-223,1994,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-330,1989,27,24,2164,24.0,10,3,8,2,2,2,0,0.42,0.12,0.54,0.33,0.46,10.2,8.6,2.6,11.3,0.42,0.11,0.53,0.36,0.47,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-141,1992,19,19,1605,17.8,2,3,2,0,0,0,0,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.9,3.2,0.08,0.11,0.18,0.08,0.18,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-313,1989,5,0,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-245,1991,31,22,1994,22.2,1,3,1,0,0,3,0,0.05,0.14,0.18,0.05,0.18,2.3,2.3,0.7,2.9,0.10,0.03,0.13,0.10,0.13,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-262,1991,35,35,3129,34.8,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,2.6,3.7,0.03,0.07,0.11,0.03,0.11,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-259,1989,24,22,2013,22.4,1,2,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,0.8,0.8,1.9,2.7,0.03,0.09,0.12,0.03,0.12,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,27-032,1994,11,9,826,9.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-264,1991,14,13,1198,13.3,1,0,1,0,0,1,1,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-066,1993,30,30,2607,29.0,0,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,1.1,1.1,1.5,2.6,0.04,0.05,0.09,0.04,0.09,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-302,1989,17,9,790,8.8,9,2,9,0,0,1,0,1.03,0.23,1.25,1.03,1.25,4.0,4.0,1.2,5.1,0.45,0.13,0.58,0.45,0.58,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-251,1993,35,35,2858,31.8,15,7,14,1,1,3,0,0.47,0.22,0.69,0.44,0.66,15.8,15.0,3.8,18.9,0.50,0.12,0.62,0.47,0.59,Matches
