,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,22,1997,1,0,12,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.75,0.00,0.75,0.75,0.75,Matches
2,Che Adams\Che-Adams,eng ENG,FW,Southampton,24,1996,2,2,163,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.38,0.11,0.49,0.38,0.49,Matches
3,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,26,1993,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
4,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25,1995,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
5,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,30,1989,2,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29,1991,1,0,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches
7,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31,1989,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
8,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,2,2,178,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.06,0.11,0.17,0.06,0.17,Matches
9,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,MFFW,Leeds United,28,1992,1,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.34,0.00,0.34,0.34,0.34,Matches
10,Alisson\Alisson,br BRA,GK,Liverpool,27,1992,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
11,Allan\Allan,br BRA,MF,Everton,29,1991,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
12,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24,1996,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.18,0.00,0.18,0.18,0.18,Matches
13,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,26,1994,2,0,51,0,1,0,0,0,0,0.00,1.76,1.76,0.00,1.76,0.1,0.1,0.6,0.09,1.01,1.10,0.09,1.10,Matches
14,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29,1990,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
15,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,21,1998,2,2,168,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.08,0.11,0.19,0.08,0.19,Matches
16,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Sheffield Utd,19,2000,1,0,60,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.08,0.00,0.08,0.08,0.08,Matches
17,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27,1993,2,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,30,1990,2,2,180,1,0,0,0,0,0,0.50,0.00,0.50,0.50,0.50,1.5,1.5,0.0,0.77,0.02,0.79,0.77,0.79,Matches
19,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27,1993,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
20,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28,1992,1,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.04,0.17,0.21,0.04,0.21,Matches
21,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,25,1994,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
22,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31,1989,2,2,180,1,1,0,0,1,0,0.50,0.50,1.00,0.50,1.00,0.5,0.5,0.5,0.24,0.27,0.51,0.24,0.51,Matches
23,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,28,1991,2,2,170,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.25,0.00,0.25,0.25,0.25,Matches
24,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,28,1991,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
25,César Azpilicueta\Cesar-Azpilicueta,es ESP,DFMF,Chelsea,30,1989,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27,1993,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.03,0.11,0.14,0.03,0.14,Matches
27,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,26,1993,2,2,130,2,1,0,0,0,0,1.38,0.69,2.08,1.38,2.08,0.3,0.3,0.3,0.23,0.18,0.41,0.23,0.41,Matches
28,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35,1985,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.11,0.00,0.11,0.11,0.11,Matches
29,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,26,1993,2,0,42,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
