Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,17,16,1,0,42,14,28,49,31.4,16.8,14.7,0.86,W W W W W,53073,Mohamed Salah Sadio ManÃ© - 9,AdriÃ¡n,,0.9882352941176471,0.37223299351455136
2,Leicester City,18,12,3,3,41,14,27,39,30.2,20.1,10.2,0.57,W W W D L,32027,Jamie Vardy - 17,Kasper Schmeichel,,1.1166666666666667,0.3273692086197276
3,Manchester City,18,12,2,4,50,20,30,38,45.7,17.2,28.5,1.58,D W L W W,54370,Raheem Sterling Sergio AgÃ¼ero - 9,Ederson,,0.9555555555555555,0.3845984194018215
4,Chelsea,18,10,2,6,33,25,8,32,31.4,18.6,12.8,0.71,L W L L W,40557,Tammy Abraham - 11,Kepa Arrizabalaga,,1.0333333333333334,0.3558189185373419
5,Sheffield Utd,18,7,7,4,22,16,6,28,21.2,19.5,1.7,0.1,D L W W W,30863,Lys Mousset - 5,Dean Henderson,,1.0833333333333333,0.3384654251067422
6,Wolves,18,6,9,3,26,22,4,27,22.9,18.1,4.8,0.26,D W D L W,31237,RaÃºl JimÃ©nez - 7,Rui PatrÃ­cio,,1.0055555555555555,0.3658413331514789
7,Tottenham,18,7,5,6,32,26,6,26,22.3,23.3,-0.9,-0.05,W L W W L,59642,Harry Kane - 9,Paulo Gazzaniga,,1.2944444444444445,0.27405007208764715
8,Manchester Utd,18,6,7,5,26,22,4,25,28.3,17.6,10.6,0.59,D W W D L,72358,Marcus Rashford - 10,David de Gea,,0.9777777777777779,0.37614605089640657
9,Newcastle Utd,18,7,4,7,18,24,-6,25,14.5,28.4,-13.9,-0.77,D W W L W,46049,Jonjo Shelvey - 5,Martin DÃºbravka,,1.5777777777777777,0.20643332960276384
10,Burnley,18,7,3,8,23,29,-6,24,19.5,18.6,0.9,0.05,L L L W W,20317,Chris Wood - 7,Nick Pope,,1.0333333333333334,0.3558189185373419
11,Arsenal,18,5,8,5,24,27,-3,23,23.4,26.4,-3.1,-0.17,D L W L D,60269,Pierre-Emerick Aubameyang - 11,Bernd Leno,,1.4666666666666666,0.23069318225496285
12,Crystal Palace,18,6,5,7,15,20,-5,23,16.0,24.1,-8.0,-0.45,W W D D L,25013,Jordan Ayew - 4,Vicente Guaita,,1.338888888888889,0.2621367699050914
13,Brighton,18,5,5,8,21,26,-5,20,22.1,26.6,-4.6,-0.25,L W D D L,30321,Neal Maupay - 7,Mathew Ryan,,1.4777777777777779,0.22814411239849924
14,Bournemouth,18,5,4,9,19,25,-6,19,19.3,26.4,-7.1,-0.4,L L L W L,10564,Harry Wilson - 6,Aaron Ramsdale,,1.4666666666666666,0.23069318225496285
15,Everton,18,5,4,9,20,29,-9,19,21.0,23.5,-2.5,-0.14,L L W D D,39219,Richarlison - 6,Jordan Pickford,,1.3055555555555556,0.27102192547710613
16,West Ham,17,5,4,8,19,28,-9,19,19.1,30.6,-11.5,-0.67,L W L L W,59915,SÃ©bastien Haller - 5,Roberto,,1.8,0.16529888822158653
17,Southampton,18,5,3,10,21,37,-16,18,25.8,26.8,-1.0,-0.06,W W L L W,29335,Danny Ings - 11,Angus Gunn,,1.488888888888889,0.2256232087716122
18,Aston Villa,18,4,3,11,24,33,-9,15,21.9,35.8,-13.9,-0.77,D L L L L,41749,Jack Grealish - 5,Tom Heaton,,1.9888888888888887,0.13684739366272722
19,Norwich City,18,3,3,12,19,37,-18,12,21.5,29.4,-7.8,-0.44,D L L D L,27039,Teemu Pukki - 9,Tim Krul,,1.6333333333333333,0.19527756283568573
20,Watford,18,2,6,10,11,32,-21,12,20.8,30.6,-9.8,-0.54,L L D L W,20617,Andre Gray Gerard Deulofeu... - 2,Ben Foster,,1.7000000000000002,0.1826835240527346
