,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-229,1990,20,19,1684,18.7,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,0.8,2.0,0.07,0.04,0.11,0.07,0.11,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-195,1997,20,12,1021,11.3,6,1,6,0,0,0,0,0.53,0.09,0.62,0.53,0.62,5.6,5.6,0.9,6.5,0.49,0.08,0.57,0.49,0.57,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-276,1996,30,24,2185,24.3,7,4,7,0,0,1,0,0.29,0.16,0.45,0.29,0.45,6.9,6.9,4.6,11.5,0.28,0.19,0.47,0.28,0.47,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-203,1997,27,27,2430,27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-102,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-317,1988,9,5,374,4.2,1,0,0,1,1,0,0,0.24,0.00,0.24,0.00,0.00,1.7,0.9,0.6,1.5,0.41,0.13,0.55,0.23,0.36,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-189,1996,28,28,2423,26.9,2,1,2,0,0,2,0,0.07,0.04,0.11,0.07,0.11,0.9,0.9,1.4,2.2,0.03,0.05,0.08,0.03,0.08,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-313,2001,15,10,881,9.8,1,1,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,0.4,0.4,0.7,1.1,0.04,0.08,0.11,0.04,0.11,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-157,1993,26,25,2195,24.4,2,0,2,0,0,3,1,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-056,1995,7,6,527,5.9,1,0,1,0,0,4,0,0.17,0.00,0.17,0.17,0.17,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-148,1989,24,13,1349,15.0,0,4,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,1.1,1.1,3.5,4.6,0.08,0.23,0.31,0.08,0.31,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,30-004,1991,17,13,1238,13.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.2,1.7,0.04,0.08,0.12,0.04,0.12,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-044,1989,18,18,1610,17.9,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.2,0.7,0.02,0.01,0.04,0.02,0.04,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-056,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-190,1998,29,27,2401,26.7,2,4,2,0,0,1,0,0.07,0.15,0.22,0.07,0.22,2.0,2.0,5.0,7.0,0.08,0.19,0.26,0.08,0.26,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,29-062,1992,29,22,1888,21.0,2,1,2,0,0,5,0,0.10,0.05,0.14,0.10,0.14,1.3,1.3,2.2,3.5,0.06,0.10,0.17,0.06,0.17,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-195,1992,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Allan\Allan,br BRA,MF,Everton,30-097,1991,16,15,1331,14.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,25-004,1996,9,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.19,0.07,0.26,0.19,0.26,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-064,1994,27,21,1837,20.4,4,1,4,0,0,2,0,0.20,0.05,0.24,0.20,0.24,3.0,3.0,2.2,5.2,0.15,0.11,0.25,0.15,0.25,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-108,1990,10,9,794,8.8,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,1.1,1.1,1.1,2.2,0.13,0.12,0.25,0.13,0.25,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-219,1998,12,8,741,8.2,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-115,1994,12,8,722,8.0,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.00,0.05,0.05,0.05,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-213,2000,24,22,2007,22.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.3,0.02,0.04,0.06,0.02,0.06,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-319,1996,26,26,2311,25.7,1,1,1,0,0,5,1,0.04,0.04,0.08,0.04,0.08,0.7,0.7,0.5,1.2,0.03,0.02,0.05,0.03,0.05,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-160,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,28-000,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-018,1990,21,19,1546,17.2,7,5,7,0,0,3,0,0.41,0.29,0.70,0.41,0.70,9.5,9.5,2.0,11.4,0.55,0.11,0.67,0.55,0.67,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-047,1993,31,31,2790,31.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-016,1992,26,25,2147,23.9,4,4,4,0,0,3,0,0.17,0.17,0.34,0.17,0.34,2.5,2.5,2.2,4.7,0.11,0.09,0.20,0.11,0.20,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-194,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-301,1989,25,22,2009,22.3,9,1,7,2,2,2,0,0.40,0.04,0.45,0.31,0.36,9.0,7.4,1.9,9.4,0.40,0.09,0.49,0.33,0.42,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-112,1992,15,15,1245,13.8,2,1,2,0,0,0,0,0.14,0.07,0.22,0.14,0.22,1.3,1.3,1.5,2.9,0.10,0.11,0.21,0.10,0.21,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-284,1989,5,0,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-216,1991,27,20,1821,20.2,1,3,1,0,0,2,0,0.05,0.15,0.20,0.05,0.20,1.8,1.8,0.6,2.4,0.09,0.03,0.12,0.09,0.12,Matches
