,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-115,1990,9,8,739,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.7,0.7,0.6,0.09,0.07,0.16,0.09,0.16,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-081,1997,13,7,692,5,1,0,0,0,0,0.65,0.13,0.78,0.65,0.78,4.3,4.3,0.9,0.56,0.11,0.67,0.56,0.67,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-162,1996,14,14,1199,4,4,0,0,1,0,0.30,0.30,0.60,0.30,0.60,3.3,3.3,3.9,0.25,0.29,0.54,0.25,0.54,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-089,1997,10,10,900,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.06,0.02,0.08,0.06,0.08,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-354,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-203,1988,3,2,124,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.25,0.41,0.66,0.25,0.66,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-075,1996,11,11,990,1,0,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.3,0.03,0.03,0.06,0.03,0.06,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-199,2001,5,4,334,1,0,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.2,0.2,0.4,0.06,0.10,0.16,0.06,0.16,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-043,1993,13,13,1170,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.01,0.00,0.01,0.01,0.01,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-308,1995,5,4,380,1,0,0,0,3,0,0.24,0.00,0.24,0.24,0.24,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,31-034,1989,9,5,533,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.1,0.07,0.19,0.26,0.07,0.26,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-255,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-295,1989,10,10,890,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.02,0.02,0.04,0.02,0.04,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-076,1998,12,11,960,0,2,0,0,1,0,0.00,0.19,0.19,0.00,0.19,0.8,0.8,1.5,0.08,0.14,0.22,0.08,0.22,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-314,1992,12,9,730,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.8,0.8,1.3,0.10,0.16,0.25,0.10,0.25,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-081,1992,11,11,990,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Allan\Allan,br BRA,MF,Everton,29-349,1991,12,12,1028,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
18,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,24-255,1996,4,1,77,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches
19,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-316,1994,12,7,676,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,0.9,0.9,0.8,0.12,0.11,0.23,0.12,0.23,Matches
20,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29-360,1990,3,3,225,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,Matches
21,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-105,1998,7,5,477,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.05,0.07,0.11,0.05,0.11,Matches
22,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-001,1994,3,2,175,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,MFDF,Sheffield Utd,20-099,2000,8,7,635,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.04,0.06,0.01,0.06,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-205,1996,8,8,691,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
25,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-251,1993,2,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-269,1990,7,7,526,3,0,0,0,1,0,0.51,0.00,0.51,0.51,0.51,2.8,2.8,0.4,0.47,0.07,0.54,0.47,0.54,Matches
27,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-299,1993,13,13,1170,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-267,1992,11,11,932,2,2,0,0,0,0,0.19,0.19,0.39,0.19,0.39,1.1,1.1,0.9,0.11,0.09,0.19,0.11,0.19,Matches
29,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-080,1994,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-187,1989,13,13,1166,3,1,1,1,2,0,0.23,0.08,0.31,0.15,0.23,3.1,2.3,1.5,0.24,0.12,0.36,0.18,0.30,Matches
31,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,27-364,1992,8,8,693,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.7,0.7,0.4,0.09,0.05,0.14,0.09,0.14,Matches
