Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,26,25,1,0,61,15,46,76,51.9,25.1,26.8,1.03,W W W W W,53116,Mohamed Salah - 14,Alisson,,0.9653846153846154,0.38083669591505587
2,Manchester City,26,17,3,6,67,29,38,54,62.2,23.6,38.5,1.48,W D W L W,54391,Sergio Agüero - 16,Ederson,,0.9076923076923078,0.4034541987241073
3,Leicester City,26,15,5,6,54,26,28,50,42.3,31.6,10.7,0.41,L L W D D,32056,Jamie Vardy - 17,Kasper Schmeichel,,1.2153846153846155,0.296595917000972
4,Chelsea,26,12,5,9,43,36,7,41,44.7,25.1,19.6,0.75,W L D D L,40549,Tammy Abraham - 13,Kepa Arrizabalaga,,0.9653846153846154,0.38083669591505587
5,Tottenham,26,11,7,8,43,34,9,40,35.2,36.1,-0.9,-0.04,L D W W W,59485,Harry Kane - 11,Paulo Gazzaniga,,1.3884615384615384,0.24945879232291776
6,Sheffield Utd,26,10,9,7,28,24,4,39,30.9,31.4,-0.5,-0.02,W D L W W,30751,John Fleck Lys Mousset - 5,Dean Henderson,,1.2076923076923076,0.29888622162536144
7,Manchester Utd,26,10,8,8,38,29,9,38,39.4,26.1,13.3,0.51,W L L D W,72635,Marcus Rashford - 14,David de Gea,,1.0038461538461538,0.3664672377605316
8,Wolves,26,8,12,6,35,32,3,36,33.0,25.7,7.3,0.28,D W L D D,31375,Raúl Jiménez - 11,Rui Patrício,,0.9884615384615384,0.3721487874310932
9,Everton,26,10,6,10,34,38,-4,36,36.5,32.5,4.0,0.15,W D D W W,39133,Dominic Calvert-Lewin - 11,Jordan Pickford,,1.25,0.2865047968601901
10,Arsenal,26,7,13,6,36,34,2,34,33.7,36.9,-3.3,-0.13,D D D D W,60274,Pierre-Emerick Aubameyang - 15,Bernd Leno,,1.419230769230769,0.241900022287551
11,Burnley,26,10,4,12,30,39,-9,34,27.9,32.0,-4.1,-0.16,L W W D W,20398,Chris Wood - 10,Nick Pope,,1.2307692307692308,0.29206782369141415
12,Southampton,26,9,4,13,32,48,-16,31,35.4,35.3,0.1,0.0,W L W L L,29504,Danny Ings - 15,Alex McCarthy,,1.3576923076923075,0.2572537549964962
13,Newcastle Utd,26,8,7,11,24,40,-16,31,21.2,43.4,-22.1,-0.85,D W D D L,47942,Jonjo Shelvey - 5,Martin Dúbravka,,1.669230769230769,0.188391926782535
14,Crystal Palace,26,7,9,10,23,32,-9,30,24.0,35.3,-11.3,-0.43,D D L L L,24997,Jordan Ayew - 6,Vicente Guaita,,1.3576923076923075,0.2572537549964962
15,Brighton,26,6,9,11,31,38,-7,27,30.9,35.9,-4.9,-0.19,L D L D D,30376,Neal Maupay - 7,Mathew Ryan,,1.3807692307692307,0.2513851055083076
16,Bournemouth,26,7,5,14,26,40,-14,26,27.5,39.5,-12.0,-0.46,L L W W L,10498,Callum Wilson Harry Wilson - 7,Aaron Ramsdale,,1.5192307692307692,0.2188801915895087
17,Aston Villa,26,7,4,15,34,50,-16,25,30.1,51.7,-21.6,-0.83,L D W L L,41661,Jack Grealish - 7,Tom Heaton,,1.9884615384615385,0.13690588795278044
18,West Ham,26,6,6,14,30,45,-15,24,28.3,48.1,-19.8,-0.76,D L L D L,59922,Sébastien Haller - 6,Łukasz Fabiański,,1.85,0.1572371663136276
19,Watford,26,5,9,12,24,40,-16,24,31.2,40.6,-9.5,-0.36,W D L L D,20775,Troy Deeney - 5,Ben Foster,,1.5615384615384615,0.20981303349163993
20,Norwich City,26,4,6,16,24,48,-24,18,31.1,41.4,-10.3,-0.4,L W L D L,27026,Teemu Pukki - 11,Tim Krul,,1.5923076923076922,0.2034555567484147
