Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,19,12,5,2,36,13,23,41,35.3,14.6,20.6,1.09,W W W W W,,İlkay Gündoğan - 7,Ederson,,1.857894736842105,0.7684210526315789,0.46374471904397724
Manchester Utd,2,20,12,4,4,37,27,10,40,32.5,25.9,6.6,0.33,W W D W L,,Bruno Fernandes - 11,David de Gea,,1.625,1.295,0.2738978643314456
Leicester City,3,20,12,3,5,36,22,14,39,29.4,22.2,7.2,0.36,D W W W D,,Jamie Vardy - 11,Kasper Schmeichel,,1.47,1.1099999999999999,0.3295589610751891
Liverpool,4,20,10,7,3,40,23,17,37,39.2,22.5,16.7,0.83,D L D L W,600.0,Mohamed Salah - 13,Alisson,,1.9600000000000002,1.125,0.32465246735834974
West Ham,5,20,10,5,5,30,24,6,35,27.7,22.9,4.8,0.24,D W W W W,200.0,Tomáš Souček - 7,Łukasz Fabiański,,1.385,1.145,0.3182239177904191
Tottenham,6,19,9,6,4,34,20,14,33,26.5,21.4,5.1,0.27,D W D W L,200.0,Harry Kane Son Heung-min - 12,Hugo Lloris,,1.394736842105263,1.1263157894736842,0.3242255739716964
Everton,7,18,10,3,5,29,22,7,33,22.2,22.2,0.0,0.0,W W L W D,222.0,Dominic Calvert-Lewin - 11,Jordan Pickford,,1.2333333333333334,1.2333333333333334,0.291319891133471
Chelsea,8,20,8,6,6,33,23,10,30,31.3,21.2,10.1,0.51,D L W L D,200.0,Tammy Abraham - 6,Edouard Mendy,,1.565,1.06,0.3464558103300574
Arsenal,9,20,9,3,8,26,20,6,30,27.6,23.1,4.5,0.22,W W D W W,200.0,Alexandre Lacazette - 8,Bernd Leno,,1.3800000000000001,1.155,0.3150575369034133
Aston Villa,10,18,9,2,7,33,21,12,29,31.9,22.8,9.1,0.51,D L L W L,,Ollie Watkins - 8,Emiliano Martínez,,1.7722222222222221,1.2666666666666666,0.28176928909495835
Southampton,11,19,8,5,6,27,24,3,29,18.5,23.9,-5.4,-0.29,D D W L L,200.0,Danny Ings - 7,Alex McCarthy,,0.9736842105263158,1.2578947368421052,0.2842518219088819
Leeds United,12,19,8,2,9,32,35,-3,26,30.5,34.0,-3.5,-0.18,W W L L W,,Patrick Bamford - 10,Illan Meslier,,1.605263157894737,1.7894736842105263,0.1670480665692844
Wolves,13,20,6,5,9,21,29,-8,23,20.3,24.2,-3.9,-0.19,L D L L D,,Pedro Neto Raúl Jiménez - 4,Rui Patrício,,1.0150000000000001,1.21,0.2981972794298874
Crystal Palace,14,20,6,5,9,24,36,-12,23,17.8,28.4,-10.6,-0.53,D W D L L,200.0,Wilfried Zaha - 9,Vicente Guaita,,0.89,1.42,0.24171401689703645
Burnley,15,19,6,4,9,13,24,-11,22,16.5,28.6,-12.1,-0.64,W L L W W,,Chris Wood - 4,Nick Pope,,0.868421052631579,1.5052631578947369,0.22195887591521454
Newcastle Utd,16,20,5,4,11,19,34,-15,19,17.7,28.9,-11.2,-0.56,L L L L L,,Callum Wilson - 8,Karl Darlow,,0.885,1.4449999999999998,0.23574607655586358
Brighton,17,20,3,9,8,22,29,-7,18,27.2,22.1,5.1,0.26,L D L W D,200.0,Neal Maupay - 7,Mathew Ryan,,1.3599999999999999,1.105,0.331210882241981
Fulham,18,19,2,7,10,15,27,-12,13,20.3,29.1,-8.8,-0.46,D D L L D,200.0,Bobby Reid - 4,Alphonse Areola,,1.068421052631579,1.5315789473684212,0.21619403867172904
West Brom,19,20,2,5,13,15,48,-33,11,12.9,37.6,-24.7,-1.23,L L W L L,,Matheus Pereira - 4,Sam Johnstone,,0.645,1.8800000000000001,0.15259010575688386
Sheffield Utd,20,20,2,2,16,12,33,-21,8,19.3,28.9,-9.6,-0.48,L L W L W,,David McGoldrick - 5,Aaron Ramsdale,,0.9650000000000001,1.4449999999999998,0.23574607655586358
