Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,32,23,5,4,67,23,44,74,62.8,24.3,38.5,1.2,L W W W L,,İlkay Gündoğan - 12,Ederson,,1.9625,0.759375,0.4679588098869218
Manchester Utd,2,31,18,9,4,61,34,27,63,49.1,36.1,13.0,0.42,D W W W W,,Bruno Fernandes - 16,David de Gea,,1.5838709677419356,1.164516129032258,0.3120736288742755
Leicester City,3,31,17,5,9,55,37,18,56,45.2,37.8,7.4,0.24,D W W L L,,Jamie Vardy - 12,Kasper Schmeichel,,1.4580645161290324,1.2193548387096773,0.29542069945494703
West Ham,4,31,16,7,8,51,39,12,55,42.6,37.2,5.4,0.17,W L D W W,125.0,Tomáš Souček - 9,Łukasz Fabiański,,1.3741935483870968,1.2000000000000002,0.301194211912202
Chelsea,5,31,15,9,7,50,31,19,54,50.9,26.5,24.4,0.79,W W D L W,133.0,Tammy Abraham Mason Mount... - 6,Edouard Mendy,,1.6419354838709677,0.8548387096774194,0.4253517906774286
Liverpool,6,31,15,7,9,53,37,16,52,56.6,36.7,19.8,0.64,L L W W W,375.0,Mohamed Salah - 19,Alisson,,1.8258064516129033,1.1838709677419357,0.30609157174094764
Tottenham,7,31,14,7,10,52,35,17,49,42.4,38.3,4.1,0.13,W L W D L,133.0,Harry Kane - 19,Hugo Lloris,,1.367741935483871,1.2354838709677418,0.2906940699111743
Everton,8,30,14,6,10,41,38,3,48,36.7,40.7,-4.1,-0.14,W L L D D,133.0,Dominic Calvert-Lewin - 14,Jordan Pickford,,1.2233333333333334,1.3566666666666667,0.2575177403555866
Arsenal,9,31,13,6,12,43,35,8,45,43.5,37.6,5.9,0.19,D W D L W,133.0,Alexandre Lacazette - 13,Bernd Leno,,1.403225806451613,1.2129032258064516,0.2973328008882424
Leeds United,10,31,14,3,14,49,49,0,45,46.2,51.4,-5.1,-0.17,L D W W W,,Patrick Bamford - 14,Illan Meslier,,1.4903225806451614,1.6580645161290322,0.19050734740023695
Aston Villa,11,30,13,5,12,43,33,10,44,42.5,40.8,1.7,0.06,D D L W L,,Ollie Watkins - 12,Emiliano Martínez,,1.4166666666666667,1.3599999999999999,0.25666077695355594
Wolves,12,31,10,8,13,31,41,-10,38,32.9,36.0,-3.1,-0.1,L D L L W,,Rúben Neves Pedro Neto - 5,Rui Patrício,,1.0612903225806452,1.1612903225806452,0.31308194343912854
Crystal Palace,13,31,10,8,13,33,52,-19,38,24.2,47.9,-23.6,-0.76,D L W D L,125.0,Wilfried Zaha - 9,Vicente Guaita,,0.7806451612903226,1.5451612903225806,0.21327746885685434
Southampton,14,31,10,6,15,39,56,-17,36,33.3,43.1,-9.8,-0.32,W L L W L,133.0,Danny Ings - 9,Alex McCarthy,,1.0741935483870966,1.3903225806451613,0.24899497071698598
Brighton,15,31,7,12,12,33,38,-5,33,43.0,30.7,12.3,0.4,L W W L D,125.0,Neal Maupay - 8,Robert Sánchez,,1.3870967741935485,0.9903225806451613,0.37145684690406455
Burnley,16,31,8,9,14,25,42,-17,33,30.7,45.9,-15.2,-0.49,D D W L L,,Chris Wood - 7,Nick Pope,,0.9903225806451613,1.4806451612903226,0.22749087272403168
Newcastle Utd,17,31,8,8,15,32,51,-19,32,30.3,43.5,-13.2,-0.43,D D L D W,,Callum Wilson - 10,Karl Darlow,,0.9774193548387097,1.403225806451613,0.24580277150859822
Fulham,18,32,5,11,16,24,42,-18,26,35.4,42.0,-6.5,-0.2,W L L L L,118.0,Bobby Reid - 5,Alphonse Areola,,1.10625,1.3125,0.26914634872918386
West Brom,19,31,5,9,17,28,59,-31,24,25.6,52.7,-27.1,-0.87,L D L W W,,Matheus Pereira - 8,Sam Johnstone,,0.8258064516129032,1.7000000000000002,0.1826835240527346
Sheffield Utd,20,31,4,2,25,17,55,-38,14,26.0,50.9,-25.0,-0.81,W L L L L,,David McGoldrick - 6,Aaron Ramsdale,,0.8387096774193549,1.6419354838709677,0.1936049601475588
