,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-156,1990,11,10,919,10.2,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,0.8,0.07,0.08,0.15,0.07,0.15,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-122,1997,18,10,957,10.6,6,1,0,0,0,0,0.56,0.09,0.66,0.56,0.66,5.5,5.5,0.9,0.51,0.08,0.60,0.51,0.60,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-203,1996,19,18,1533,17.0,4,4,0,0,1,0,0.23,0.23,0.47,0.23,0.47,4.4,4.4,4.0,0.26,0.24,0.49,0.26,0.49,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-130,1997,16,16,1440,16.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.04,0.01,0.04,0.04,0.04,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-029,1987,2,2,180,2.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-244,1988,5,2,143,1.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.40,0.35,0.76,0.40,0.76,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-116,1996,17,17,1504,16.7,1,0,0,0,1,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.3,0.03,0.02,0.05,0.03,0.05,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-240,2001,11,8,692,7.7,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,0.04,0.10,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-084,1993,20,20,1800,20.0,2,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.5,0.5,0.1,0.02,0.00,0.03,0.02,0.03,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-349,1995,6,5,470,5.2,1,0,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-075,1989,15,11,981,10.9,0,2,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.8,0.8,2.4,0.08,0.22,0.29,0.08,0.29,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-296,1991,8,6,590,6.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,0.05,0.12,0.17,0.05,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-336,1989,12,12,1070,11.9,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.2,0.03,0.02,0.05,0.03,0.05,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-117,1998,19,18,1576,17.5,1,3,0,0,1,0,0.06,0.17,0.23,0.06,0.23,1.4,1.4,2.2,0.08,0.13,0.21,0.08,0.21,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-355,1992,18,15,1184,13.2,2,0,0,0,3,0,0.15,0.00,0.15,0.15,0.15,0.9,0.9,1.4,0.07,0.11,0.18,0.07,0.18,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-122,1992,18,18,1620,18.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Allan\Allan,br BRA,MF,Everton,30-024,1991,12,12,1028,11.4,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
18,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,24-296,1996,4,1,77,0.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches
19,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-357,1994,19,13,1190,13.2,2,1,0,0,1,0,0.15,0.08,0.23,0.15,0.23,1.6,1.6,1.9,0.12,0.14,0.27,0.12,0.27,Matches
20,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-035,1990,4,4,315,3.5,1,0,0,0,1,0,0.29,0.00,0.29,0.29,0.29,0.3,0.3,0.1,0.09,0.02,0.11,0.09,0.11,Matches
21,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-146,1998,8,5,522,5.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.04,0.06,0.10,0.04,0.10,Matches
22,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-042,1994,4,3,265,2.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-140,2000,15,14,1241,13.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.01,0.05,0.07,0.01,0.07,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-246,1996,14,14,1231,13.7,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
25,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-087,2002,1,0,4,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-292,1993,2,0,3,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
