,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21,21,1804,3,0,1,1,0,0,0.15,0.00,0.15,0.10,0.10,1.8,1.0,1.8,0.09,0.09,0.18,0.05,0.14,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,26,26,2340,0,1,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.5,0.5,3.4,0.02,0.13,0.15,0.02,0.15,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,25,23,1945,13,3,0,0,2,0,0.60,0.14,0.74,0.60,0.74,12.2,12.2,2.3,0.56,0.11,0.67,0.56,0.67,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,21,8,712,0,2,0,0,0,0,0.00,0.25,0.25,0.00,0.25,1.9,1.9,0.9,0.24,0.11,0.35,0.24,0.35,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,10,8,783,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,21,16,1342,16,3,2,3,1,0,1.07,0.20,1.27,0.94,1.14,13.3,11.0,2.5,0.89,0.17,1.06,0.74,0.91,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,8,0,127,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.08,0.04,0.12,0.08,0.12,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22,22,1925,2,1,0,0,1,0,0.09,0.05,0.14,0.09,0.14,2.3,2.3,0.6,0.11,0.03,0.14,0.11,0.14,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,13,2,387,0,1,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.2,0.2,0.9,0.06,0.20,0.25,0.06,0.25,Matches
