,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Che Adams\Che-Adams,eng ENG,FW,Southampton,24,1996,1,1,84,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.49,0.18,0.68,0.49,0.68,Matches
2,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,26,1993,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
3,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,30,1989,1,0,24,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
4,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31,1989,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
5,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,1,1,88,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.15,0.15,0.00,0.15,Matches
6,Alisson\Alisson,br BRA,GK,Liverpool,27,1992,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
7,Allan\Allan,br BRA,MF,Everton,29,1991,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
8,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24,1996,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.18,0.00,0.18,0.18,0.18,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,MF,Newcastle Utd,26,1994,1,0,6,0,1,0,0,0,0,0.00,15.00,15.00,0.00,15.00,0.1,0.1,0.1,0.97,1.32,2.28,0.97,2.28,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29,1990,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
11,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,21,1998,1,1,78,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.15,0.14,0.28,0.15,0.28,Matches
12,Felipe Anderson\Felipe-Anderson,br BRA,FW,West Ham,27,1993,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
13,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,30,1990,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.18,0.04,0.22,0.18,0.22,Matches
14,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,25,1994,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31,1989,1,1,90,1,0,0,0,1,0,1.00,0.00,1.00,1.00,1.00,0.4,0.4,0.0,0.42,0.05,0.47,0.42,0.47,Matches
16,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,28,1991,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.09,0.00,0.09,0.09,0.09,Matches
17,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,28,1991,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,César Azpilicueta\Cesar-Azpilicueta,es ESP,DFMF,Chelsea,30,1989,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
19,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27,1993,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.05,0.22,0.27,0.05,0.27,Matches
