,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-053,1994,5,3,280,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-151,2000,16,15,1331,14.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.1,0.02,0.05,0.07,0.02,0.07,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-257,1996,16,16,1411,15.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-098,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-303,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-321,1990,15,13,1068,11.9,5,3,5,0,0,1,0,0.42,0.25,0.67,0.42,0.67,5.9,5.9,1.3,7.2,0.49,0.11,0.61,0.49,0.61,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-351,1993,21,21,1890,21.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-319,1992,18,17,1484,16.5,3,2,3,0,0,1,0,0.18,0.12,0.30,0.18,0.30,1.4,1.4,1.4,2.8,0.09,0.08,0.17,0.09,0.17,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-132,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-239,1989,19,17,1576,17.5,5,1,4,1,1,2,0,0.29,0.06,0.34,0.23,0.29,6.2,5.5,1.5,7.0,0.36,0.09,0.44,0.31,0.40,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-050,1992,13,13,1075,11.9,2,1,2,0,0,0,0,0.17,0.08,0.25,0.17,0.25,1.0,1.0,1.3,2.3,0.09,0.11,0.19,0.09,0.19,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-222,1989,5,0,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,29-154,1991,19,12,1130,12.6,1,2,1,0,0,1,0,0.08,0.16,0.24,0.08,0.24,1.7,1.7,0.3,2.0,0.13,0.03,0.16,0.13,0.16,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-171,1991,22,22,1959,21.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.9,2.7,0.04,0.09,0.12,0.04,0.12,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-168,1989,13,11,1041,11.6,1,1,1,0,0,4,0,0.09,0.09,0.17,0.09,0.17,0.6,0.6,0.6,1.2,0.05,0.05,0.11,0.05,0.11,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-306,1994,7,6,548,6.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-173,1991,12,12,1080,12.0,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-340,1993,19,19,1663,18.5,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,1.0,1.0,1.3,2.3,0.06,0.07,0.13,0.06,0.13,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-211,1989,6,2,232,2.6,1,0,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,0.6,0.6,0.3,0.9,0.25,0.11,0.36,0.25,0.36,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-160,1993,22,22,1874,20.8,12,5,11,1,1,1,0,0.58,0.24,0.82,0.53,0.77,12.2,11.4,2.5,13.9,0.58,0.12,0.71,0.55,0.67,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-229,1985,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-069,1993,12,12,916,10.2,3,1,3,0,0,0,0,0.29,0.10,0.39,0.29,0.39,2.8,2.8,2.6,5.4,0.28,0.25,0.53,0.28,0.53,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-069,1993,2,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.06,0.16,0.22,0.06,0.22,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-105,1989,16,13,1113,12.4,2,0,1,1,1,4,0,0.16,0.00,0.16,0.08,0.08,3.4,2.7,0.6,3.2,0.28,0.05,0.32,0.22,0.26,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-065,1997,22,19,1715,19.1,7,3,7,0,0,0,0,0.37,0.16,0.52,0.37,0.52,5.1,5.1,0.9,6.1,0.27,0.05,0.32,0.27,0.32,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-266,1991,15,13,1240,13.8,2,1,2,0,0,2,0,0.15,0.07,0.22,0.15,0.22,1.5,1.5,0.0,1.5,0.11,0.00,0.11,0.11,0.11,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-207,1988,23,23,1896,21.1,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-133,1993,15,6,641,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,1.1,1.1,1.4,2.5,0.15,0.20,0.35,0.15,0.35,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-306,1996,22,22,1885,20.9,1,1,1,0,0,2,1,0.05,0.05,0.10,0.05,0.10,0.9,0.9,0.2,1.1,0.04,0.01,0.05,0.04,0.05,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-300,1997,12,2,310,3.4,1,0,1,0,0,1,0,0.29,0.00,0.29,0.29,0.29,0.3,0.3,0.1,0.3,0.08,0.02,0.10,0.08,0.10,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-330,1995,20,20,1730,19.2,0,2,0,0,0,7,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,2.3,2.6,0.02,0.12,0.14,0.02,0.14,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-186,1995,15,9,843,9.4,0,3,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,1.6,1.6,1.8,3.4,0.17,0.19,0.36,0.17,0.36,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-069,1999,6,2,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-071,1990,16,8,725,8.1,3,1,3,0,0,2,1,0.37,0.12,0.50,0.37,0.50,3.5,3.5,0.8,4.3,0.43,0.10,0.54,0.43,0.54,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-108,1990,11,7,641,7.1,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.9,0.9,0.2,1.1,0.13,0.03,0.16,0.13,0.16,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22-364,1998,13,12,1016,11.3,1,1,0,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,1.7,0.11,0.11,0.22,0.04,0.15,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-127,1997,16,11,1021,11.3,0,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,1.7,1.7,1.0,2.7,0.15,0.09,0.24,0.15,0.24,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-157,1992,6,2,274,3.0,1,0,1,0,0,2,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.5,0.6,0.05,0.15,0.20,0.05,0.20,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-274,1995,3,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-191,1989,20,20,1788,19.9,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,0.6,1.2,0.03,0.03,0.06,0.03,0.06,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-166,1996,21,20,1763,19.6,1,0,1,0,0,6,1,0.05,0.00,0.05,0.05,0.05,0.6,0.6,0.3,1.0,0.03,0.02,0.05,0.03,0.05,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-200,2000,8,6,615,6.8,2,0,2,0,0,1,0,0.29,0.00,0.29,0.29,0.29,0.9,0.9,0.2,1.1,0.14,0.03,0.16,0.14,0.16,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-009,1991,16,16,1440,16.0,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.4,1.4,0.06,0.02,0.09,0.06,0.09,Matches
