,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,Apps,Starts,Min,Mn/Ap,Gls,Ast,PK,PKatt,SoT,Fls,CrdY,CrdR,xG,npxG,xA,Gls,G+A,G-PK,G+A-PK,SoT,xG,xG+xA,npxG,npxG+xA
105,Max Aarons\Max-Aarons,eng ENG,MF,Norwich City,19,2000,10,10,900,90,0,0,0,0,0,13,3,0,0.2,0.2,1.5,0.00,0.00,0.00,0.00,0.00,0.02,0.16,0.02,0.16
106,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,10,10,900,90,0,0,0,0,1,5,1,0,0.5,0.5,0.0,0.00,0.00,0.00,0.00,0.10,0.05,0.06,0.05,0.06
107,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,10,10,900,90,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,10,10,900,90,1,3,0,0,2,8,1,0,0.3,0.3,1.5,0.10,0.40,0.10,0.40,0.20,0.03,0.18,0.03,0.18
109,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,10,10,900,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,10,10,900,90,0,1,0,0,3,17,2,0,0.7,0.7,0.8,0.00,0.10,0.00,0.10,0.30,0.07,0.15,0.07,0.15
112,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,12,11,897,75,10,2,0,0,20,8,2,0,7.2,7.2,1.9,1.00,1.20,1.00,1.20,2.01,0.72,0.90,0.72,0.90
113,Jack Grealish\Jack-Grealish,eng ENG,MF,Aston Villa,23,1995,10,10,894,89,2,3,0,0,6,10,3,0,2.3,2.3,2.2,0.20,0.50,0.20,0.50,0.60,0.23,0.46,0.23,0.46
114,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,10,10,891,89,0,0,0,0,0,5,3,0,0.3,0.3,0.5,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.03,0.08
115,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,27,1991,11,11,885,80,4,0,0,0,9,19,3,0,3.1,3.1,0.4,0.41,0.41,0.41,0.41,0.92,0.32,0.36,0.32,0.36
116,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,11,11,884,80,5,0,0,0,11,21,3,0,4.4,4.4,0.5,0.51,0.51,0.51,0.51,1.12,0.45,0.50,0.45,0.50
117,Nathan Redmond\Nathan-Redmond,eng ENG,MF,Southampton,25,1994,10,10,880,88,1,0,0,0,5,7,0,0,1.7,1.7,0.7,0.10,0.10,0.10,0.10,0.51,0.18,0.25,0.18,0.25
118,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,11,10,877,80,3,8,0,0,4,8,0,0,2.6,2.6,6.1,0.31,1.13,0.31,1.13,0.41,0.27,0.89,0.27,0.89
119,Neal Maupay\Neal-Maupay,fr FRA,MFFW,Brighton,22,1996,12,10,875,73,4,0,1,1,11,10,1,0,5.0,4.3,1.3,0.41,0.41,0.31,0.31,1.13,0.52,0.65,0.44,0.57
120,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,10,10,874,87,0,2,0,0,1,15,4,0,0.2,0.2,1.2,0.00,0.21,0.00,0.21,0.10,0.02,0.14,0.02,0.14
121,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,12,10,872,73,2,0,0,0,4,11,4,0,0.4,0.4,0.8,0.21,0.21,0.21,0.21,0.41,0.04,0.12,0.04,0.12
122,Todd Cantwell\Todd-Cantwell,eng ENG,,Norwich City,21,1998,12,10,849,71,2,2,0,0,7,9,1,0,2.9,2.9,1.4,0.21,0.42,0.21,0.42,0.74,0.31,0.45,0.31,0.45
123,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,10,10,847,85,5,0,0,0,13,6,1,0,5.2,5.2,0.3,0.53,0.53,0.53,0.53,1.38,0.56,0.59,0.56,0.59
124,Jack Cork\Jack-Cork,eng ENG,MFDF,Burnley,30,1989,10,10,843,84,0,0,0,0,3,7,0,0,0.3,0.3,0.6,0.00,0.00,0.00,0.00,0.32,0.03,0.10,0.03,0.10
125,John Fleck\John-Fleck,sco SCO,MFFW,Sheffield Utd,27,1991,10,10,839,84,1,0,0,0,5,7,3,0,1.2,1.2,1.4,0.11,0.11,0.11,0.11,0.54,0.13,0.29,0.13,0.29
126,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,10,10,835,84,0,0,0,0,1,10,1,0,0.6,0.6,0.3,0.00,0.00,0.00,0.00,0.11,0.06,0.09,0.06,0.09
127,Adama Traoré\Adama-Traore,es ESP,MFFW,Wolves,23,1996,11,9,832,76,2,2,0,0,2,9,0,0,1.4,1.4,2.1,0.22,0.43,0.22,0.43,0.22,0.15,0.38,0.15,0.38
128,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,11,9,831,76,1,0,0,0,3,9,2,0,0.4,0.4,0.6,0.11,0.11,0.11,0.11,0.32,0.04,0.11,0.04,0.11
129,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,10,9,830,83,1,0,0,0,4,13,3,0,0.2,0.2,0.5,0.11,0.11,0.11,0.11,0.43,0.03,0.08,0.03,0.08
130,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,10,10,830,83,0,0,0,0,0,5,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,10,9,823,82,0,0,0,0,0,8,5,0,0.2,0.2,0.1,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.03,0.04
132,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,10,10,819,82,1,2,0,0,2,9,2,0,0.6,0.6,1.2,0.11,0.33,0.11,0.33,0.22,0.07,0.20,0.07,0.20
133,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,9,9,810,90,1,0,0,0,1,5,2,0,0.1,0.1,0.2,0.11,0.11,0.11,0.11,0.11,0.01,0.03,0.01,0.03
134,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,11,11,808,73,0,3,0,0,7,6,1,0,2.0,2.0,2.6,0.00,0.33,0.00,0.33,0.78,0.22,0.52,0.22,0.52
135,Ryan Fraser\Ryan-Fraser,sco SCO,MF,Bournemouth,25,1994,11,8,807,73,1,2,0,0,6,6,2,0,1.7,1.7,1.6,0.11,0.33,0.11,0.33,0.67,0.19,0.37,0.19,0.37
136,Andreas Pereira\Andreas-Pereira,br BRA,MF,Manchester Utd,23,1996,11,10,797,72,1,1,0,0,9,13,1,0,0.9,0.9,1.6,0.11,0.23,0.11,0.23,1.02,0.11,0.29,0.11,0.29
137,José Holebas\Jose-Holebas,gr GRE,DFMF,Watford,35,1984,9,9,796,88,0,0,0,0,2,11,5,0,0.3,0.3,0.6,0.00,0.00,0.00,0.00,0.23,0.04,0.10,0.04,0.10
138,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,27,1991,9,9,795,88,1,0,0,0,2,14,2,0,0.6,0.6,0.0,0.11,0.11,0.11,0.11,0.23,0.07,0.07,0.07,0.07
139,Danny Rose\Danny-Rose,eng ENG,MFDF,Tottenham,29,1990,9,9,794,88,0,0,0,0,0,14,5,0,0.1,0.1,0.8,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.02,0.11
140,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,12,8,791,66,0,1,0,0,1,2,2,0,0.3,0.3,1.0,0.00,0.11,0.00,0.11,0.11,0.04,0.15,0.04,0.15
141,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,12,9,789,66,1,1,0,0,9,6,0,0,1.6,1.6,2.0,0.11,0.23,0.11,0.23,1.03,0.18,0.41,0.18,0.41
142,Son Heung-min\Son-Heung-min,kr KOR,MFFW,Tottenham,27,1992,10,9,789,79,3,3,0,0,12,6,0,1,2.4,2.4,1.8,0.34,0.68,0.34,0.68,1.37,0.28,0.48,0.28,0.48
143,Marco Stiepermann\Marco-Stiepermann,de GER,FWMF,Norwich City,28,1991,11,10,788,72,0,0,0,0,4,14,3,0,1.1,1.1,0.5,0.00,0.00,0.00,0.00,0.46,0.13,0.18,0.13,0.18
144,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,9,9,786,87,0,2,0,0,1,6,2,0,0.1,0.1,1.4,0.00,0.23,0.00,0.23,0.11,0.01,0.17,0.01,0.17
145,Gerard Deulofeu\Gerard-Deulofeu,es ESP,MFFW,Watford,25,1994,12,9,785,65,2,2,1,1,12,9,2,0,2.6,1.8,1.8,0.23,0.46,0.11,0.34,1.38,0.30,0.51,0.21,0.42
146,Pascal Groß\Pascal-Gross,de GER,MF,Brighton,28,1991,12,9,781,65,1,2,0,0,3,7,0,0,0.8,0.8,2.4,0.12,0.35,0.12,0.35,0.35,0.10,0.37,0.10,0.37
147,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,11,9,777,71,1,0,0,0,3,5,3,0,1.6,1.6,1.5,0.12,0.12,0.12,0.12,0.35,0.18,0.35,0.18,0.35
148,Ashley Young\Ashley-Young,eng ENG,DFMFFW,Manchester Utd,34,1985,9,8,772,86,0,0,0,0,0,14,5,0,0.1,0.1,1.3,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.02,0.17
149,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,11,9,770,70,0,0,0,0,2,8,3,0,0.3,0.3,0.3,0.00,0.00,0.00,0.00,0.23,0.03,0.07,0.03,0.07
150,Isaac Hayden\Isaac-Hayden,eng ENG,DF,Newcastle Utd,24,1995,9,9,762,85,0,1,0,0,1,7,2,1,0.2,0.2,1.2,0.00,0.12,0.00,0.12,0.12,0.02,0.16,0.02,0.16
151,Willian\Willian,br BRA,MF,Chelsea,30,1988,11,8,757,69,2,3,0,0,7,4,2,0,1.5,1.5,2.6,0.24,0.59,0.24,0.59,0.83,0.18,0.50,0.18,0.50
152,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,12,9,755,63,5,1,0,0,10,8,0,0,5.0,5.0,0.4,0.60,0.72,0.60,0.72,1.19,0.59,0.64,0.59,0.64
153,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,MFFW,Aston Villa,24,1995,11,9,750,68,2,3,0,0,10,7,1,0,2.7,2.7,1.7,0.24,0.60,0.24,0.60,1.20,0.32,0.52,0.32,0.52
154,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,9,8,745,83,1,2,0,0,5,4,0,0,0.4,0.4,0.9,0.12,0.36,0.12,0.36,0.60,0.05,0.16,0.05,0.16
155,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,11,8,742,67,1,2,1,1,8,5,1,0,3.2,2.5,1.5,0.12,0.36,0.00,0.24,0.97,0.39,0.57,0.30,0.48
156,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,9,9,742,82,0,1,0,0,2,22,4,0,0.1,0.1,0.4,0.00,0.12,0.00,0.12,0.24,0.01,0.06,0.01,0.06
157,Roberto Pereyra\Roberto-Pereyra,ar ARG,MF,Watford,28,1991,11,7,739,67,1,0,1,1,4,7,3,0,1.8,1.1,1.2,0.12,0.12,0.00,0.00,0.49,0.22,0.37,0.13,0.28
158,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,10,10,737,74,1,0,1,1,3,13,2,0,1.1,0.3,0.3,0.12,0.12,0.00,0.00,0.37,0.13,0.17,0.04,0.07
159,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,11,8,736,67,9,2,2,2,12,3,0,0,7.6,6.1,2.1,1.10,1.35,0.86,1.10,1.47,0.93,1.18,0.74,1.00
160,Manuel Lanzini\Manuel-Lanzini,ar ARG,MF,West Ham,26,1993,11,7,732,67,0,2,0,0,3,1,0,0,1.3,1.3,1.4,0.00,0.25,0.00,0.25,0.37,0.16,0.34,0.16,0.34
161,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,11,8,728,66,5,2,0,0,10,9,2,0,3.3,3.3,2.0,0.62,0.87,0.62,0.87,1.24,0.41,0.66,0.41,0.66
162,Diogo Jota\Diogo-Jota,pt POR,MF,Wolves,22,1996,10,8,725,73,1,0,0,0,8,17,2,0,2.7,2.7,1.3,0.12,0.12,0.12,0.12,0.99,0.34,0.50,0.34,0.50
163,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,11,9,724,66,1,1,0,0,2,9,0,0,0.4,0.4,0.5,0.12,0.25,0.12,0.25,0.25,0.04,0.11,0.04,0.11
164,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,8,8,720,90,0,0,0,0,2,6,2,0,0.3,0.3,0.1,0.00,0.00,0.00,0.00,0.25,0.04,0.05,0.04,0.05
165,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,8,8,719,90,0,1,0,0,0,10,2,1,0.0,0.0,0.4,0.00,0.13,0.00,0.13,0.00,0.00,0.05,0.00,0.05
166,Harry Wilson\Harry-Wilson,wal WAL,MF,Bournemouth,22,1997,11,9,719,65,4,0,0,0,8,3,1,0,1.5,1.5,1.3,0.50,0.50,0.50,0.50,1.00,0.19,0.36,0.19,0.36
167,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,FWDFMF,Crystal Palace,26,1992,10,8,714,71,0,1,0,0,5,13,2,0,1.2,1.2,1.1,0.00,0.13,0.00,0.13,0.63,0.15,0.30,0.15,0.30
168,Ayoze Pérez\Ayoze-Perez,es ESP,FW,Leicester City,26,1993,11,9,710,65,3,1,0,0,8,10,0,0,1.6,1.6,0.6,0.38,0.51,0.38,0.51,1.01,0.21,0.28,0.21,0.28
169,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,11,8,710,65,1,0,0,0,4,8,0,0,1.9,1.9,0.2,0.13,0.13,0.13,0.13,0.51,0.24,0.27,0.24,0.27
170,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,11,8,708,64,3,1,0,0,9,12,1,0,1.3,1.3,2.7,0.38,0.51,0.38,0.51,1.14,0.16,0.51,0.16,0.51
171,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,9,7,703,78,0,0,0,0,1,3,2,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.13,0.01,0.01,0.01,0.01
172,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,11,9,700,64,2,4,0,0,6,8,0,0,3.4,3.4,1.5,0.26,0.77,0.26,0.77,0.77,0.44,0.63,0.44,0.63
173,Trézéguet\Trezeguet,eg EGY,MF,Aston Villa,24,1994,11,8,696,63,2,1,0,0,7,14,4,1,1.7,1.7,0.4,0.26,0.39,0.26,0.39,0.91,0.22,0.28,0.22,0.28
174,Christian Eriksen\Christian-Eriksen,dk DEN,MFDF,Tottenham,27,1992,10,7,693,69,1,1,0,0,6,7,3,0,1.5,1.5,1.4,0.13,0.26,0.13,0.26,0.78,0.19,0.37,0.19,0.37
175,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,9,7,685,76,0,0,0,0,0,9,1,0,0.2,0.2,0.4,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.03,0.08
176,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,8,8,685,86,0,0,0,0,1,7,1,0,0.1,0.1,0.2,0.00,0.00,0.00,0.00,0.13,0.01,0.04,0.01,0.04
177,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,8,7,681,85,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Fernandinho\Fernandinho,br BRA,MF,Manchester City,34,1985,8,7,679,85,0,0,0,0,0,6,3,1,0.3,0.3,0.0,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04
179,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,8,8,675,84,0,0,0,0,1,8,2,0,0.5,0.5,0.0,0.00,0.00,0.00,0.00,0.13,0.06,0.06,0.06,0.06
180,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,8,7,675,84,1,0,0,0,1,12,3,0,0.5,0.5,0.8,0.13,0.13,0.13,0.13,0.13,0.07,0.17,0.07,0.17
181,Sead Kolašinac\Sead-Kolasinac,ba BIH,MFDF,Arsenal,26,1993,10,7,667,67,0,1,0,0,0,5,2,0,0.6,0.6,0.8,0.00,0.13,0.00,0.13,0.00,0.08,0.19,0.08,0.19
182,Séamus Coleman\Seamus-Coleman,ie IRL,MFDF,Everton,30,1988,8,8,666,83,0,1,0,0,2,7,4,1,0.5,0.5,0.5,0.00,0.14,0.00,0.14,0.27,0.06,0.13,0.06,0.13
183,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,8,8,666,83,1,0,0,0,1,4,1,0,0.3,0.3,0.3,0.14,0.14,0.14,0.14,0.14,0.04,0.07,0.04,0.07
184,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,11,7,664,60,0,2,0,0,3,5,0,0,0.4,0.4,0.7,0.00,0.27,0.00,0.27,0.41,0.06,0.15,0.06,0.15
185,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,8,8,660,83,0,1,0,0,1,9,2,0,0.6,0.6,0.6,0.00,0.14,0.00,0.14,0.14,0.09,0.16,0.09,0.16
186,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,9,7,659,73,2,0,0,0,5,6,3,0,0.8,0.8,0.2,0.27,0.27,0.27,0.27,0.68,0.10,0.13,0.10,0.13
187,Alex Iwobi\Alex-Iwobi,ng NGA,FW,Everton,23,1996,10,6,652,65,1,0,0,0,8,0,0,0,1.8,1.8,0.9,0.14,0.14,0.14,0.14,1.10,0.25,0.38,0.25,0.38
188,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,9,8,647,72,1,0,0,0,4,7,0,0,1.5,1.5,0.6,0.14,0.14,0.14,0.14,0.56,0.21,0.29,0.21,0.29
189,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,9,8,647,72,0,1,0,0,9,11,1,0,2.9,2.9,0.8,0.00,0.14,0.00,0.14,1.25,0.40,0.51,0.40,0.51
190,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,11,8,643,58,1,4,0,0,8,10,0,0,1.7,1.7,1.3,0.14,0.70,0.14,0.70,1.12,0.23,0.41,0.23,0.41
191,Joël Matip\Joel-Matip,cm CMR,MFDF,Liverpool,27,1991,7,7,630,90,1,0,0,0,1,6,0,0,0.3,0.3,0.0,0.14,0.14,0.14,0.14,0.14,0.04,0.04,0.04,0.04
192,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,7,7,624,89,2,0,0,0,4,4,1,0,0.7,0.7,0.0,0.29,0.29,0.29,0.29,0.58,0.11,0.11,0.11,0.11
193,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,7,7,623,89,0,0,0,0,1,12,2,0,0.2,0.2,0.2,0.00,0.00,0.00,0.00,0.14,0.02,0.06,0.02,0.06
194,Will Hughes\Will-Hughes,eng ENG,MF,Watford,24,1995,10,7,623,62,1,1,0,0,2,14,2,0,1.8,1.8,0.8,0.14,0.29,0.14,0.29,0.29,0.25,0.37,0.25,0.37
195,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,8,7,614,77,0,1,0,0,3,9,1,1,0.2,0.2,0.6,0.00,0.15,0.00,0.15,0.44,0.03,0.12,0.03,0.12
196,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,8,6,613,77,0,0,0,0,0,6,1,0,0.3,0.3,0.1,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.04,0.06
197,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,8,7,608,76,0,1,0,0,0,5,1,0,0.3,0.3,0.5,0.00,0.15,0.00,0.15,0.00,0.04,0.12,0.04,0.12
198,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,9,7,607,67,2,1,0,0,4,11,2,0,1.0,1.0,1.5,0.30,0.44,0.30,0.44,0.59,0.15,0.37,0.15,0.37
199,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,7,7,604,86,0,0,0,0,0,6,3,1,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
200,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,8,7,603,75,1,0,0,0,4,8,2,0,1.6,1.6,0.0,0.15,0.15,0.15,0.15,0.60,0.25,0.25,0.25,0.25
201,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,9,8,603,67,1,0,0,0,3,13,6,1,0.7,0.7,0.1,0.15,0.15,0.15,0.15,0.45,0.11,0.13,0.11,0.13
202,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DF,Norwich City,26,1993,7,6,594,85,0,0,0,0,0,6,1,0,1.0,1.0,0.0,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.15,0.15
203,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,8,7,585,73,0,0,0,0,0,18,3,0,0.1,0.1,0.5,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.02,0.10
204,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,MF,Manchester City,22,1996,7,6,585,84,0,0,0,0,2,7,0,0,0.2,0.2,0.7,0.00,0.00,0.00,0.00,0.31,0.03,0.14,0.03,0.14
205,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,11,6,581,53,2,0,0,0,5,4,0,0,2.5,2.5,1.6,0.31,0.31,0.31,0.31,0.77,0.38,0.63,0.38,0.63
206,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,10,7,577,58,2,1,0,0,3,7,2,0,0.4,0.4,1.0,0.31,0.47,0.31,0.47,0.47,0.06,0.21,0.06,0.21
207,Martin Kelly\Martin-Kelly,eng ENG,DFMF,Crystal Palace,29,1990,7,6,575,82,0,1,0,0,0,4,0,0,0.0,0.0,0.6,0.00,0.16,0.00,0.16,0.00,0.00,0.10,0.00,0.10
208,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,7,7,574,82,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
209,Kiko Femenía\Kiko-Femenia,es ESP,MFFW,Watford,28,1991,8,6,574,72,0,0,0,0,0,7,3,0,0.1,0.1,1.2,0.00,0.00,0.00,0.00,0.00,0.01,0.19,0.01,0.19
210,Christian Pulisic\Christian-Pulisic,us USA,MF,Chelsea,20,1998,9,6,566,63,5,2,0,0,12,3,0,0,3.6,3.6,1.9,0.80,1.11,0.80,1.11,1.91,0.57,0.87,0.57,0.87
211,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,7,7,565,81,0,0,0,0,0,13,4,1,0.1,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.02,0.04
212,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,7,6,558,80,0,0,0,0,0,9,2,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.03
213,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,7,7,558,80,0,1,0,0,0,7,2,1,0.3,0.3,0.6,0.00,0.16,0.00,0.16,0.00,0.05,0.15,0.05,0.15
214,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,7,7,555,79,0,0,0,0,4,2,1,0,0.3,0.3,0.5,0.00,0.00,0.00,0.00,0.65,0.05,0.13,0.05,0.13
215,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,7,6,553,79,0,0,0,0,3,3,1,0,0.4,0.4,0.0,0.00,0.00,0.00,0.00,0.49,0.06,0.06,0.06,0.06
216,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,7,7,548,78,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,10,6,547,55,2,0,0,0,4,5,1,0,0.3,0.3,0.5,0.33,0.33,0.33,0.33,0.66,0.06,0.13,0.06,0.13
218,Steven Alzate\Steven-Alzate,eng ENG,MF,Brighton,20,1998,7,6,547,78,0,0,0,0,2,7,1,0,0.6,0.6,0.2,0.00,0.00,0.00,0.00,0.33,0.09,0.13,0.09,0.13
219,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,10,8,546,55,1,0,0,0,4,7,0,0,2.0,2.0,0.0,0.16,0.16,0.16,0.16,0.66,0.32,0.32,0.32,0.32
220,Yann Valery\Yann-Valery,fr FRA,DF,Southampton,20,1999,7,7,544,78,0,0,0,0,1,3,1,0,0.3,0.3,0.8,0.00,0.00,0.00,0.00,0.17,0.04,0.18,0.04,0.18
221,Tom Trybull\Tom-Trybull,de GER,MFDF,Norwich City,26,1993,7,6,542,77,0,0,0,0,0,13,0,0,0.3,0.3,0.1,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.04,0.05
222,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,6,6,540,90,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
223,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,6,5,532,89,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07
224,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,7,6,531,76,3,3,0,1,9,6,1,0,3.2,2.5,1.1,0.51,1.02,0.51,1.02,1.53,0.55,0.74,0.42,0.61
225,Shane Duffy\Shane-Duffy,ie IRL,MFDF,Brighton,27,1992,7,5,524,75,1,0,0,0,1,5,0,0,1.1,1.1,0.0,0.17,0.17,0.17,0.17,0.17,0.19,0.19,0.19,0.19
