,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,Apps,Starts,Min,Mn/Ap,Gls,Ast,PK,PKatt,SoT,Fls,CrdY,CrdR,xG,npxG,xA,Gls,G+A,G-PK,G+A-PK,SoT,xG,xG+xA,npxG,npxG+xA
26,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,12,12,1080,90,0,1,0,0,0,7,2,0,0.3,0.3,0.3,0.00,0.08,0.00,0.08,0.00,0.03,0.06,0.03,0.06
27,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,12,12,1080,90,0,0,0,0,4,6,1,0,0.3,0.3,0.2,0.00,0.00,0.00,0.00,0.33,0.03,0.04,0.03,0.04
28,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,12,12,1080,90,3,2,0,0,14,14,1,0,2.7,2.7,1.9,0.25,0.42,0.25,0.42,1.17,0.23,0.39,0.23,0.39
29,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,12,12,1080,90,0,0,0,0,3,15,4,0,0.4,0.4,0.3,0.00,0.00,0.00,0.00,0.25,0.03,0.06,0.03,0.06
30,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,12,12,1080,90,0,0,0,0,0,14,1,0,0.5,0.5,0.6,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.04,0.09
31,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,MFDF,Liverpool,20,1998,12,12,1080,90,1,3,0,0,5,9,3,0,1.3,1.3,4.4,0.08,0.33,0.08,0.33,0.42,0.11,0.47,0.11,0.47
32,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,12,12,1080,90,0,0,0,0,1,1,0,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.08,0.01,0.01,0.01,0.01
33,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,MFFW,Arsenal,30,1989,12,12,1080,90,8,0,0,0,13,7,2,0,5.2,5.2,1.0,0.67,0.67,0.67,0.67,1.08,0.44,0.52,0.44,0.52
34,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,12,12,1080,90,0,0,0,0,4,7,1,0,0.8,0.8,0.4,0.00,0.00,0.00,0.00,0.33,0.07,0.10,0.07,0.10
35,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,12,12,1080,90,1,0,0,0,3,5,1,0,0.2,0.2,0.6,0.08,0.08,0.08,0.08,0.25,0.02,0.07,0.02,0.07
