,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-173,1990,14,13,1144,12.7,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,0.8,1.6,0.06,0.06,0.12,0.06,0.12,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-139,1997,19,11,976,10.8,6,1,6,0,0,0,0,0.55,0.09,0.65,0.55,0.65,5.6,5.6,0.9,6.5,0.52,0.08,0.60,0.52,0.60,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-220,1996,22,20,1735,19.3,4,4,4,0,0,1,0,0.21,0.21,0.41,0.21,0.41,5.1,5.1,4.3,9.4,0.26,0.22,0.49,0.26,0.49,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-147,1997,20,20,1800,20.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-046,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-261,1988,5,2,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.40,0.35,0.76,0.40,0.76,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-133,1996,20,20,1774,19.7,2,1,2,0,0,2,0,0.10,0.05,0.15,0.10,0.15,0.9,0.9,1.2,2.1,0.04,0.06,0.11,0.04,0.11,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-257,2001,11,8,692,7.7,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,1.1,0.04,0.10,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-101,1993,23,23,2070,23.0,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-000,1995,6,5,470,5.2,1,0,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-092,1989,18,12,1114,12.4,0,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.9,0.9,2.6,3.5,0.07,0.21,0.28,0.07,0.28,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-313,1991,11,8,821,9.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.2,0.04,0.09,0.13,0.04,0.13,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-353,1989,14,14,1250,13.9,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.2,0.7,0.03,0.02,0.05,0.03,0.05,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-000,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-134,1998,22,21,1846,20.5,1,3,1,0,0,1,0,0.05,0.15,0.20,0.05,0.20,1.6,1.6,3.1,4.7,0.08,0.15,0.23,0.08,0.23,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-006,1992,21,18,1403,15.6,2,0,2,0,0,3,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,1.5,2.5,0.06,0.10,0.16,0.06,0.16,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-139,1992,20,20,1800,20.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Allan\Allan,br BRA,MF,Everton,30-041,1991,12,12,1028,11.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-313,1996,5,1,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.16,0.00,0.16,0.16,0.16,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-008,1994,22,16,1460,16.2,4,1,4,0,0,1,0,0.25,0.06,0.31,0.25,0.31,2.1,2.1,1.9,4.0,0.13,0.12,0.25,0.13,0.25,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-052,1990,7,6,524,5.8,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.5,0.5,0.4,0.9,0.09,0.06,0.15,0.09,0.15,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-163,1998,10,7,673,7.5,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.5,0.5,0.4,0.9,0.07,0.05,0.13,0.07,0.13,Matches
