Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,38,32,3,3,85,33,52,99,70.2,39.9,30.3,0.8,W D L W W,41955,Mohamed Salah - 19,Alisson,,1.05,0.3499377491111553
2,Manchester City,38,26,3,9,102,35,67,81,93.0,34.3,58.7,1.54,W W W W W,37097,Raheem Sterling - 20,Ederson,,0.9026315789473683,0.40550114613897636
3,Manchester Utd,38,18,12,8,66,36,30,66,59.7,37.2,22.5,0.59,W D W D W,57415,Marcus Rashford Anthony Martial - 17,David de Gea,,0.9789473684210527,0.3757063711675432
4,Chelsea,38,20,6,12,69,54,15,66,66.7,37.1,29.6,0.78,W L W L W,33802,Tammy Abraham - 15,Kepa Arrizabalaga,,0.9763157894736842,0.3766963742085488
5,Leicester City,38,18,8,12,67,41,26,62,60.6,44.6,16.0,0.42,D L W L L,25312,Jamie Vardy - 23,Kasper Schmeichel,,1.1736842105263159,0.3092255878975047
6,Tottenham,38,16,11,11,61,47,14,59,45.5,51.7,-6.2,-0.16,D W W W D,43757,Harry Kane - 18,Hugo Lloris,,1.3605263157894738,0.2565257278764549
7,Wolves,38,15,14,9,51,40,11,59,46.6,34.7,11.9,0.31,L W D W L,24758,Raúl Jiménez - 17,Rui Patrício,,0.9131578947368422,0.40125509984008795
8,Arsenal,38,14,14,10,56,48,8,56,49.1,56.0,-6.9,-0.18,D L W L W,47589,Pierre-Emerick Aubameyang - 22,Bernd Leno,,1.4736842105263157,0.22907994981548765
9,Sheffield Utd,38,14,12,12,39,39,0,54,41.6,47.8,-6.2,-0.16,W W L L L,24370,Oliver McBurnie Lys Mousset - 6,Dean Henderson,,1.2578947368421052,0.2842518219088819
10,Burnley,38,15,9,14,43,50,-7,54,44.2,47.8,-3.5,-0.09,W D D W L,15995,Chris Wood - 14,Nick Pope,,1.2578947368421052,0.2842518219088819
11,Southampton,38,15,7,16,51,60,-9,52,53.7,52.9,0.8,0.02,D D D W W,23428,Danny Ings - 22,Alex McCarthy,,1.3921052631578947,0.24855148714957803
12,Everton,38,13,10,15,44,56,-12,49,48.3,47.3,1.0,0.03,D L D W L,28848,Dominic Calvert-Lewin Richarlison - 13,Jordan Pickford,,1.2447368421052631,0.2880166920250903
13,Newcastle Utd,38,11,11,16,38,58,-20,44,32.9,58.5,-25.6,-0.67,L L L D L,35551,Jonjo Shelvey - 6,Martin Dúbravka,,1.5394736842105263,0.21449396328350698
14,Crystal Palace,38,11,10,17,31,50,-19,43,33.8,50.8,-17.1,-0.45,L L L L D,19784,Jordan Ayew - 9,Vicente Guaita,,1.3368421052631578,0.26267385661607556
15,Brighton,38,9,14,15,39,54,-15,41,40.8,55.5,-14.6,-0.39,L L D D W,22369,Neal Maupay - 10,Mathew Ryan,,1.4605263157894737,0.23211407727152666
16,West Ham,38,10,9,19,49,62,-13,39,46.4,61.9,-15.5,-0.41,L W W D D,46608,Michail Antonio - 10,Łukasz Fabiański,,1.6289473684210527,0.19613592437022268
17,Aston Villa,38,9,8,21,41,67,-26,35,40.2,66.1,-25.9,-0.68,L W D W D,28505,Jack Grealish - 8,Tom Heaton,,1.739473684210526,0.17561280408978672
18,Bournemouth,38,9,7,22,40,65,-25,34,42.7,56.8,-14.0,-0.37,D W L L W,7745,Callum Wilson - 8,Aaron Ramsdale,,1.4947368421052631,0.22430762528677595
19,Watford,38,8,10,20,36,64,-28,34,45.7,57.3,-11.6,-0.31,W W L L L,15353,Troy Deeney - 10,Ben Foster,,1.5078947368421052,0.22137554149211072
20,Norwich City,38,5,6,27,26,75,-49,21,38.1,61.9,-23.8,-0.63,L L L L L,19913,Teemu Pukki - 11,Tim Krul,,1.6289473684210527,0.19613592437022268
