,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-089,1990,4,3,289,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.16,0.05,0.21,0.16,0.21,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-055,1997,8,5,469,3,1,0,0,0,0,0.58,0.19,0.77,0.58,0.77,3.0,3.0,0.9,0.57,0.17,0.73,0.57,0.73,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-136,1996,9,9,765,3,3,0,0,1,0,0.35,0.35,0.71,0.35,0.71,2.5,2.5,2.7,0.30,0.32,0.62,0.30,0.62,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-063,1997,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.01,0.04,0.03,0.04,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-328,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-177,1988,2,2,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.14,0.46,0.60,0.14,0.60,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-049,1996,6,6,540,1,0,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-173,2001,3,3,255,1,0,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.1,0.1,0.3,0.02,0.12,0.14,0.02,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-017,1993,8,8,720,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-282,1995,4,3,290,1,0,0,0,2,0,0.31,0.00,0.31,0.31,0.31,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFMF,Leicester City,31-008,1989,6,2,263,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.04,0.29,0.32,0.04,0.32,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-229,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-269,1989,6,6,530,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-050,1998,8,8,690,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.2,0.09,0.15,0.24,0.09,0.24,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-288,1992,7,4,347,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.0,0.08,0.26,0.35,0.08,0.35,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-055,1992,7,7,630,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Allan\Allan,br BRA,MF,Everton,29-323,1991,8,8,720,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
18,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-229,1996,2,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.25,0.00,0.25,0.25,0.25,Matches
19,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-290,1994,8,4,418,0,1,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.2,0.2,0.8,0.04,0.17,0.20,0.04,0.20,Matches
