Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,20,19,1,0,49,14,35,58,38.7,18.4,20.3,1.01,W W W W W,53118,Sadio ManÃ© - 11,Alisson,,0.9199999999999999,0.3985190410845142
2,Leicester City,21,14,3,4,46,19,27,45,34.2,25.0,9.1,0.44,D L L W W,32046,Jamie Vardy - 17,Kasper Schmeichel,,1.1904761904761905,0.30407643128483336
3,Manchester City,21,14,2,5,56,24,32,44,49.8,21.1,28.7,1.37,W W L W W,54386,Raheem Sterling - 11,Ederson,,1.0047619047619047,0.36613179866473083
4,Chelsea,21,11,3,7,36,29,7,36,35.2,21.2,13.9,0.66,L W L W D,40567,Tammy Abraham - 12,Kepa Arrizabalaga,,1.0095238095238095,0.36439245848206747
5,Manchester Utd,21,8,7,6,32,25,7,31,32.5,20.3,12.2,0.58,D L W W L,72442,Marcus Rashford - 12,David de Gea,,0.9666666666666667,0.38034875658925854
6,Tottenham,21,8,6,7,36,30,6,30,26.3,25.6,0.7,0.03,W L W D L,59308,Harry Kane - 11,Paulo Gazzaniga,,1.2190476190476192,0.2955114724453083
7,Wolves,21,7,9,5,30,27,3,30,26.9,21.7,5.2,0.25,L W W L L,31287,RaÃºl JimÃ©nez - 8,Rui PatrÃ­cio,,1.0333333333333332,0.355818918537342
8,Sheffield Utd,21,7,8,6,23,21,2,29,25.0,24.0,1.0,0.05,W W D L L,30799,Lys Mousset - 5,Dean Henderson,,1.1428571428571428,0.31890655732397044
9,Crystal Palace,21,7,7,7,19,23,-4,28,20.2,28.0,-7.8,-0.37,D L W D D,25058,Jordan Ayew - 5,Vicente Guaita,,1.3333333333333333,0.26359713811572677
10,Arsenal,21,6,9,6,28,30,-2,27,27.4,30.0,-2.6,-0.13,L D D L W,60278,Pierre-Emerick Aubameyang - 13,Bernd Leno,,1.4285714285714286,0.2396510364417758
11,Everton,21,7,4,10,24,32,-8,25,27.3,27.3,0.0,0.0,D D W W L,39215,Dominic Calvert-Lewin - 8,Jordan Pickford,,1.3,0.2725317930340126
12,Southampton,21,7,4,10,25,38,-13,25,29.4,28.3,1.1,0.05,L W W D W,29646,Danny Ings - 13,Alex McCarthy,,1.3476190476190477,0.2598582347532383
13,Newcastle Utd,21,7,4,10,20,33,-13,25,17.7,35.0,-17.3,-0.82,L W L L L,47166,Jonjo Shelvey - 5,Martin DÃºbravka,,1.6666666666666667,0.18887560283756183
14,Brighton,21,6,6,9,25,29,-4,24,24.5,30.2,-5.7,-0.27,D L L W D,30353,Neal Maupay - 7,Mathew Ryan,,1.438095238095238,0.23737947972498233
15,Burnley,21,7,3,11,24,34,-10,24,22.5,23.3,-0.8,-0.04,W W L L L,20395,Chris Wood - 8,Nick Pope,,1.1095238095238096,0.3297159312846895
16,West Ham,20,6,4,10,25,32,-7,22,22.9,35.4,-12.5,-0.62,L W L L W,59916,SÃ©bastien Haller - 6,Åukasz FabiaÅski,,1.77,0.17033298882540943
17,Aston Villa,21,6,3,12,27,37,-10,21,24.2,41.7,-17.6,-0.84,L L W L W,41703,Jack Grealish - 6,Tom Heaton,,1.9857142857142858,0.13728252014460293
18,Bournemouth,21,5,5,11,20,32,-12,20,21.2,30.8,-9.6,-0.46,W L D L L,10531,Harry Wilson - 6,Aaron Ramsdale,,1.4666666666666668,0.2306931822549628
19,Watford,21,4,7,10,17,34,-17,19,24.9,34.7,-9.8,-0.46,L W D W W,20680,Gerard Deulofeu - 4,Ben Foster,,1.6523809523809525,0.1915931908609392
20,Norwich City,21,3,5,13,22,41,-19,14,24.9,33.4,-8.5,-0.41,D L L D D,27041,Teemu Pukki - 9,Tim Krul,,1.5904761904761904,0.20382852741720242
