Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,28,26,1,1,64,20,44,79,55.0,27.8,27.2,0.97,W W W W L,53130,Mohamed Salah - 15,Alisson,,0.9928571428571429,0.370516558529579
2,Manchester City,27,18,3,6,68,29,39,57,64.7,24.8,39.9,1.48,D W L W W,54219,Sergio Agüero - 16,Ederson,,0.9185185185185185,0.39910987721222624
3,Leicester City,28,15,5,8,54,28,26,50,44.9,34.8,10.1,0.36,W D D L L,32057,Jamie Vardy - 17,Kasper Schmeichel,,1.2428571428571427,0.28855858592375816
4,Chelsea,28,13,6,9,47,39,8,45,48.3,27.6,20.7,0.74,D D L W D,40554,Tammy Abraham - 13,Kepa Arrizabalaga,,0.9857142857142858,0.37317257987413693
5,Manchester Utd,28,11,9,8,42,30,12,42,42.8,28.9,14.0,0.5,L D W W D,72686,Marcus Rashford - 14,David de Gea,,1.032142857142857,0.356242764727323
6,Wolves,28,10,12,6,41,34,7,42,38.3,27.6,10.7,0.38,L D D W W,31351,Raúl Jiménez - 13,Rui Patrício,,0.9857142857142858,0.37317257987413693
7,Tottenham,28,11,7,10,46,39,7,40,37.2,40.3,-3.1,-0.11,W W W L L,59384,Harry Kane - 11,Paulo Gazzaniga,,1.4392857142857143,0.23709705325061411
8,Sheffield Utd,27,10,10,7,29,25,4,40,32.6,32.5,0.2,0.01,D L W W D,30832,John Fleck Lys Mousset - 5,Dean Henderson,,1.2037037037037037,0.30008074104991583
9,Burnley,28,11,5,12,33,39,-6,38,30.9,34.8,-3.9,-0.14,W D W W D,20243,Chris Wood - 10,Nick Pope,,1.2428571428571427,0.28855858592375816
10,Arsenal,27,8,13,6,39,36,3,37,35.0,38.9,-3.9,-0.15,D D D W W,60275,Pierre-Emerick Aubameyang - 17,Bernd Leno,,1.4407407407407407,0.2367523216233638
11,Everton,28,10,7,11,37,42,-5,37,41.0,35.0,6.0,0.21,D W W L D,39150,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.25,0.2865047968601901
12,Crystal Palace,28,9,9,10,25,32,-7,36,27.7,37.3,-9.6,-0.34,L L L W W,25032,Jordan Ayew - 7,Vicente Guaita,,1.332142857142857,0.2639111310960313
13,Southampton,28,10,4,14,35,51,-16,34,39.4,37.9,1.4,0.05,W L L W L,29645,Danny Ings - 15,Alex McCarthy,,1.3535714285714284,0.2583160539236654
14,Newcastle Utd,28,8,8,12,24,41,-17,32,22.5,45.4,-22.9,-0.82,D D L L D,48248,Jonjo Shelvey - 5,Martin Dúbravka,,1.6214285714285714,0.19761618849767407
15,Brighton,28,6,10,12,32,40,-8,28,33.8,39.9,-6.1,-0.22,L D D D L,30376,Neal Maupay - 8,Mathew Ryan,,1.425,0.24050846320834213
16,West Ham,28,7,6,15,35,49,-14,27,31.3,52.0,-20.7,-0.74,L D L L W,59925,Sébastien Haller - 7,Łukasz Fabiański,,1.8571428571428572,0.15611804531597107
17,Watford,28,6,9,13,27,43,-16,27,33.6,43.2,-9.7,-0.35,L L D L W,20837,Troy Deeney - 6,Ben Foster,,1.542857142857143,0.21376945818647108
18,Bournemouth,28,7,6,15,28,45,-17,27,31.2,44.1,-12.9,-0.46,W W L L D,10510,Callum Wilson Harry Wilson - 7,Aaron Ramsdale,,1.575,0.20700755268115265
19,Aston Villa,27,7,4,16,34,52,-18,25,30.6,54.7,-24.1,-0.89,D W L L L,41661,Jack Grealish - 7,Tom Heaton,,2.025925925925926,0.13187168323062343
20,Norwich City,28,5,6,17,25,51,-26,21,32.4,45.6,-13.3,-0.47,L D L L W,27025,Teemu Pukki - 11,Tim Krul,,1.6285714285714286,0.19620967354189398
