Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,29,21,5,3,61,21,40,68,55.9,23.4,32.5,1.12,W W W L W,,İlkay Gündoğan - 12,Ederson,,1.9275862068965517,0.8068965517241379,0.44624080474049044
Manchester Utd,2,28,15,9,4,55,32,23,54,44.1,33.6,10.5,0.38,D W D D W,,Bruno Fernandes - 16,David de Gea,,1.575,1.2,0.30119421191220214
Leicester City,3,28,16,5,7,48,32,16,53,40.0,34.4,5.5,0.2,W W L D W,,Jamie Vardy - 12,Kasper Schmeichel,,1.4285714285714286,1.2285714285714284,0.29271043690592835
Chelsea,4,28,14,8,6,44,25,19,50,44.6,24.0,20.5,0.73,W D D W W,143.0,Tammy Abraham Jorginho - 6,Edouard Mendy,,1.592857142857143,0.8571428571428571,0.42437284567695
West Ham,5,27,14,6,7,42,31,11,48,37.4,30.9,6.5,0.24,D W W L W,143.0,Tomáš Souček - 8,Łukasz Fabiański,,1.385185185185185,1.1444444444444444,0.31840075797358297
Everton,6,27,14,4,9,39,35,4,46,31.9,37.4,-5.5,-0.2,L W W W L,154.0,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.1814814814814814,1.385185185185185,0.2502774478244567
Tottenham,7,27,13,6,8,46,28,18,45,36.9,31.5,5.4,0.2,L L W W W,143.0,Harry Kane - 16,Hugo Lloris,,1.3666666666666667,1.1666666666666667,0.3114032239145977
Liverpool,8,28,12,7,9,47,36,11,43,50.7,34.8,15.9,0.57,L L W L L,400.0,Mohamed Salah - 17,Alisson,,1.8107142857142857,1.2428571428571427,0.28855858592375816
Aston Villa,9,26,12,4,10,38,27,11,40,38.8,33.4,5.4,0.21,D L W L D,,Ollie Watkins - 10,Emiliano Martínez,,1.4923076923076921,1.2846153846153845,0.276757008167546
Arsenal,10,27,11,5,11,35,28,7,38,37.5,32.0,5.5,0.2,L W L W D,154.0,Alexandre Lacazette Pierre-Emerick Aubameyang - 9,Bernd Leno,,1.3888888888888888,1.1851851851851851,0.30568956507807943
Leeds United,11,27,11,2,14,43,46,-3,35,41.7,44.9,-3.2,-0.12,L L W L L,,Patrick Bamford - 13,Illan Meslier,,1.5444444444444445,1.662962962962963,0.18957643915121716
Wolves,12,28,9,8,11,28,37,-9,35,29.2,32.7,-3.5,-0.13,W W D L D,,Rúben Neves Pedro Neto - 5,Rui Patrício,,1.042857142857143,1.167857142857143,0.3110327263689
Crystal Palace,13,28,9,7,12,30,47,-17,34,22.0,41.9,-20.0,-0.71,L W D D L,143.0,Wilfried Zaha - 9,Vicente Guaita,,0.7857142857142857,1.4964285714285714,0.22392847829710172
Southampton,14,28,9,6,13,35,49,-14,33,28.5,37.7,-9.2,-0.33,D L L W L,154.0,Danny Ings - 8,Alex McCarthy,,1.0178571428571428,1.3464285714285715,0.26016777400760993
Burnley,15,28,7,9,12,20,36,-16,30,25.5,41.2,-15.7,-0.56,D D L D D,,Chris Wood - 5,Nick Pope,,0.9107142857142857,1.4714285714285715,0.22959725471404477
Newcastle Utd,16,27,7,6,14,27,44,-17,27,25.3,38.0,-12.8,-0.47,W L L D D,,Callum Wilson - 10,Karl Darlow,,0.9370370370370371,1.4074074074074074,0.24477706843938987
Brighton,17,27,5,11,11,27,35,-8,26,38.7,27.4,11.3,0.42,D D L L L,143.0,Neal Maupay - 7,Robert Sánchez,,1.4333333333333333,1.0148148148148148,0.36246954760798744
Fulham,18,28,5,11,12,22,33,-11,26,31.3,36.2,-4.9,-0.18,D W D L W,143.0,Bobby Reid - 5,Alphonse Areola,,1.1178571428571429,1.292857142857143,0.2744854176229963
West Brom,19,28,3,9,16,20,56,-36,18,20.2,46.9,-26.7,-0.96,D D W L D,,Matheus Pereira - 5,Sam Johnstone,,0.7214285714285714,1.675,0.18730817948195702
Sheffield Utd,20,28,4,2,22,16,45,-29,14,24.4,42.1,-17.7,-0.63,L L L W L,,David McGoldrick - 6,Aaron Ramsdale,,0.8714285714285713,1.5035714285714286,0.22233468805074416
