Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,30,27,2,1,66,21,45,83,57.3,30.8,26.5,0.88,W W L W D,53143,Mohamed Salah - 16,Alisson,,1.0266666666666666,0.35819896934863205
2,Manchester City,30,20,3,7,76,31,45,63,71.5,26.4,45.2,1.51,W W L W W,54219,Sergio Agüero - 16,Ederson,,0.88,0.4147829116815814
3,Leicester City,30,16,6,8,59,29,30,54,48.1,36.6,11.6,0.39,D L L W D,32061,Jamie Vardy - 19,Kasper Schmeichel,,1.22,0.2952301669240142
4,Chelsea,30,15,6,9,53,40,13,51,51.6,29.3,22.3,0.74,L W D W W,40563,Tammy Abraham - 13,Kepa Arrizabalaga,,0.9766666666666667,0.37656422322789823
5,Manchester Utd,30,12,10,8,45,31,14,46,45.9,29.8,16.0,0.53,W W D W D,72726,Marcus Rashford - 14,David de Gea,,0.9933333333333334,0.37034016407514914
6,Wolves,30,11,13,6,43,34,9,46,39.6,28.2,11.4,0.38,D W W D W,31360,Raúl Jiménez - 14,Rui Patrício,,0.94,0.39062783535852114
7,Sheffield Utd,30,11,11,8,30,28,2,44,34.6,36.8,-2.2,-0.07,W D W D L,30869,Lys Mousset John Fleck - 5,Dean Henderson,,1.2266666666666666,0.2932685119265625
8,Tottenham,30,11,9,10,48,41,7,42,38.8,44.3,-5.4,-0.18,W L L D D,59384,Harry Kane - 11,Paulo Gazzaniga,,1.4766666666666666,0.2283977467385925
9,Crystal Palace,30,11,9,10,28,32,-4,42,28.8,38.7,-9.8,-0.33,L W W W W,25060,Jordan Ayew - 9,Vicente Guaita,,1.29,0.27527078308975234
10,Arsenal,30,9,13,8,41,41,0,40,37.7,45.2,-7.6,-0.25,W W W L L,60279,Pierre-Emerick Aubameyang - 17,Bernd Leno,,1.5066666666666668,0.22164757319501038
11,Burnley,30,11,6,13,34,45,-11,39,33.4,38.7,-5.3,-0.18,W W D D L,20260,Chris Wood - 11,Nick Pope,,1.29,0.27527078308975234
12,Everton,30,10,8,12,37,46,-9,38,42.9,37.9,5.0,0.17,W L D L D,39150,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.2633333333333332,0.2827100871843147
13,Newcastle Utd,30,10,8,12,28,41,-13,38,26.8,46.1,-19.3,-0.64,L L D W W,48248,Jonjo Shelvey - 5,Martin Dúbravka,,1.5366666666666666,0.2150968974289639
14,Southampton,30,11,4,15,38,52,-14,37,41.5,41.8,-0.3,-0.01,L W L L W,29675,Danny Ings - 16,Alex McCarthy,,1.3933333333333333,0.24824643583170022
15,Brighton,30,7,11,12,34,41,-7,32,35.0,41.8,-6.8,-0.23,D D L D W,30358,Neal Maupay - 9,Mathew Ryan,,1.3933333333333333,0.24824643583170022
16,Watford,30,6,10,14,28,45,-17,28,35.6,44.8,-9.3,-0.31,D L W L D,20837,Troy Deeney - 6,Ben Foster,,1.4933333333333332,0.22462266403458517
17,West Ham,30,7,6,17,35,52,-17,27,33.4,54.0,-20.6,-0.69,L L W L L,59925,Sébastien Haller - 7,Łukasz Fabiański,,1.8,0.16529888822158653
18,Bournemouth,30,7,6,17,29,49,-20,27,33.4,46.0,-12.5,-0.42,L L D L L,10510,Callum Wilson - 8,Aaron Ramsdale,,1.5333333333333334,0.21581508339868974
19,Aston Villa,30,7,5,18,35,58,-23,26,33.7,58.8,-25.1,-0.84,L L L D L,41661,Jack Grealish - 7,Tom Heaton,,1.96,0.140858420921045
20,Norwich City,30,5,6,19,25,55,-30,21,34.6,48.3,-13.7,-0.46,L L W L L,27025,Teemu Pukki - 11,Tim Krul,,1.6099999999999999,0.19988761407514452
