,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,22,1997,2,1,102,1,0,0,0,0,0,0.88,0.00,0.88,0.88,0.88,1.3,1.3,0.0,1.18,0.00,1.18,1.18,1.18,Matches
2,Che Adams\Che-Adams,eng ENG,FW,Southampton,24,1996,3,3,239,0,1,0,0,1,0,0.00,0.38,0.38,0.00,0.38,0.8,0.8,0.6,0.30,0.23,0.53,0.30,0.53,Matches
3,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,26,1993,3,3,270,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
4,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25,1995,2,2,180,1,0,0,0,1,0,0.50,0.00,0.50,0.50,0.50,0.1,0.1,0.0,0.03,0.00,0.03,0.03,0.03,Matches
5,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,30,1989,2,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29,1991,1,0,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches
7,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31,1989,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
8,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,3,3,268,0,1,0,0,1,0,0.00,0.34,0.34,0.00,0.34,0.2,0.2,0.6,0.05,0.19,0.25,0.05,0.25,Matches
9,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,MFFW,Leeds United,28,1992,2,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.32,0.00,0.32,0.32,0.32,Matches
10,Alisson\Alisson,br BRA,GK,Liverpool,27,1992,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
11,Allan\Allan,br BRA,MF,Everton,29,1991,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
