Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,21,20,1,0,50,14,36,61,40.6,20.8,19.8,0.94,W W W W W,53118,Sadio Mané - 11,Alisson,,0.9904761904761905,0.3713997918627968
2,Manchester City,22,15,2,5,62,25,37,47,52.2,22.1,30.1,1.37,W L W W W,54386,Sergio Agüero - 13,Ederson,,1.0045454545454546,0.36621105654918473
3,Leicester City,22,14,3,5,47,21,26,45,35.0,27.3,7.7,0.35,L L W W L,32052,Jamie Vardy - 17,Kasper Schmeichel,,1.240909090909091,0.289121260921315
4,Chelsea,22,12,3,7,39,29,10,39,37.9,21.8,16.1,0.73,W L W D W,40551,Tammy Abraham - 13,Kepa Arrizabalaga,,0.990909090909091,0.3712390475277767
5,Manchester Utd,22,9,7,6,36,25,11,34,34.6,20.7,13.9,0.63,L W W L W,72518,Marcus Rashford - 14,David de Gea,,0.9409090909090909,0.3902728805121167
6,Sheffield Utd,22,8,8,6,24,21,3,32,26.9,24.8,2.1,0.09,W D L L W,30738,Lys Mousset - 5,Dean Henderson,,1.1272727272727272,0.32391545866873933
7,Wolves,22,7,10,5,31,28,3,31,28.6,22.0,6.6,0.3,W W L L D,31313,Raúl Jiménez - 8,Rui Patrício,,1.0,0.36787944117144233
8,Tottenham,22,8,6,8,36,31,5,30,28.0,27.5,0.5,0.02,L W D L L,59464,Harry Kane - 11,Paulo Gazzaniga,,1.25,0.2865047968601901
9,Crystal Palace,22,7,8,7,20,24,-4,29,20.6,29.3,-8.7,-0.39,L W D D D,25095,Jordan Ayew - 6,Vicente Guaita,,1.3318181818181818,0.2639968304396836
10,Arsenal,22,6,10,6,29,31,-2,28,28.7,30.4,-1.8,-0.08,D D L W D,60278,Pierre-Emerick Aubameyang - 14,Bernd Leno,,1.3818181818181818,0.2511215530891528
11,Everton,22,8,4,10,25,32,-7,28,29.2,28.5,0.7,0.03,D W W L W,39175,Dominic Calvert-Lewin Richarlison - 8,Jordan Pickford,,1.2954545454545454,0.2737733935931513
12,Southampton,22,8,4,10,27,39,-12,28,31.6,29.1,2.6,0.12,W W D W W,29646,Danny Ings - 14,Alex McCarthy,,1.3227272727272728,0.2664077437181562
13,Newcastle Utd,22,7,5,10,21,34,-13,26,18.0,36.0,-18.0,-0.82,W L L L D,47166,Jonjo Shelvey - 5,Martin Dúbravka,,1.6363636363636365,0.19468670833151014
14,Brighton,22,6,6,10,25,30,-5,24,25.8,32.2,-6.4,-0.29,L L W D L,30353,Neal Maupay - 7,Mathew Ryan,,1.4636363636363638,0.23139331277227493
15,Burnley,22,7,3,12,24,37,-13,24,23.1,26.0,-3.0,-0.13,W L L L L,20395,Chris Wood - 8,Nick Pope,,1.1818181818181819,0.30672055757655675
16,West Ham,21,6,4,11,25,33,-8,22,23.7,37.2,-13.5,-0.64,W L L W L,59916,Sébastien Haller - 6,�?ukasz Fabia�?ski,,1.7714285714285716,0.1700898297106658
17,Watford,22,5,7,10,20,34,-14,22,26.9,35.0,-8.1,-0.37,W D W W W,20680,Gerard Deulofeu Troy Deeney - 4,Ben Foster,,1.5909090909090908,0.2037403090557072
18,Aston Villa,22,6,3,13,28,43,-15,21,25.1,44.1,-19.1,-0.87,L W L W L,41714,Jack Grealish - 6,Tom Heaton,,2.0045454545454544,0.13472151883411757
19,Bournemouth,22,5,5,12,20,35,-15,20,21.5,32.8,-11.2,-0.51,L D L L L,10517,Harry Wilson - 6,Aaron Ramsdale,,1.4909090909090907,0.22516786440811212
20,Norwich City,22,3,5,14,22,45,-23,14,25.3,35.5,-10.2,-0.46,L L D D L,27041,Teemu Pukki - 9,Tim Krul,,1.6136363636363635,0.1991620699945153
