Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,33,29,2,2,72,25,47,89,62.0,34.5,27.5,0.83,W D W L W,53143,Mohamed Salah - 17,Alisson,,1.0454545454545454,0.3515319957864631
2,Manchester City,33,21,3,9,81,34,47,66,78.1,31.7,46.4,1.41,W W L W L,54219,Sergio Agüero - 16,Ederson,,0.9606060606060606,0.38266089998646696
3,Leicester City,33,17,7,9,63,31,32,58,52.8,39.2,13.7,0.41,W D D L W,32061,Jamie Vardy - 21,Kasper Schmeichel,,1.187878787878788,0.30486726681177306
4,Chelsea,33,17,6,10,60,44,16,57,59.0,33.0,26.0,0.79,W W W L W,40563,Tammy Abraham - 13,Kepa Arrizabalaga,,1.0,0.36787944117144233
5,Manchester Utd,33,15,10,8,56,33,23,55,51.4,31.6,19.8,0.6,W D W W W,72726,Marcus Rashford Anthony Martial - 15,David de Gea,,0.9575757575757576,0.38382223718440184
6,Wolves,33,13,13,7,45,36,9,52,42.1,29.9,12.2,0.37,D W W W L,31360,Raúl Jiménez - 15,Rui Patrício,,0.906060606060606,0.4041130529790833
7,Arsenal,33,12,13,8,49,41,8,49,43.5,47.2,-3.8,-0.11,L L W W W,60279,Pierre-Emerick Aubameyang - 19,Bernd Leno,,1.4303030303030304,0.23923641537497317
8,Tottenham,33,13,9,11,52,44,8,48,42.2,47.3,-5.1,-0.15,D D W L W,59384,Harry Kane - 13,Paulo Gazzaniga,,1.4333333333333333,0.23851255385430242
9,Sheffield Utd,33,12,12,9,34,33,1,48,37.4,41.8,-4.4,-0.13,D L L W D,30869,Lys Mousset - 6,Dean Henderson,,1.2666666666666666,0.28176928909495835
10,Burnley,33,13,7,13,37,46,-9,46,36.8,41.6,-4.8,-0.15,D L W W D,20260,Chris Wood - 11,Nick Pope,,1.2606060606060607,0.2834821670524392
11,Everton,33,12,8,13,40,48,-8,44,45.4,40.5,4.9,0.15,L D W W L,39150,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.2272727272727273,0.2930908272837557
12,Newcastle Utd,33,11,10,12,35,45,-10,43,30.1,50.0,-19.8,-0.6,W W D W D,48248,Jonjo Shelvey - 6,Martin Dúbravka,,1.5151515151515151,0.2197748831002536
13,Southampton,33,13,4,16,42,55,-13,43,44.4,47.9,-3.5,-0.11,L W L W W,29675,Danny Ings - 18,Alex McCarthy,,1.4515151515151514,0.23421514768009163
14,Crystal Palace,33,11,9,13,28,40,-12,42,30.8,44.3,-13.6,-0.41,W W L L L,25060,Jordan Ayew - 9,Vicente Guaita,,1.3424242424242423,0.26121166000769214
15,Brighton,33,8,12,13,35,44,-9,36,37.4,43.8,-6.5,-0.2,D W D L W,30358,Neal Maupay - 9,Mathew Ryan,,1.3272727272727272,0.2651995474094569
16,West Ham,33,8,7,18,40,58,-18,31,38.4,58.7,-20.2,-0.61,L L L W D,59925,Sébastien Haller - 7,Łukasz Fabiański,,1.7787878787878788,0.16884268107891523
17,Watford,33,6,10,17,29,52,-23,28,36.9,49.7,-12.8,-0.39,L D L L L,20837,Troy Deeney - 6,Ben Foster,,1.506060606060606,0.22178194577240265
18,Aston Villa,33,7,6,20,36,62,-26,27,35.7,61.0,-25.3,-0.77,D L D L L,41661,Jack Grealish - 7,Tom Heaton,,1.8484848484848484,0.15747558501902606
19,Bournemouth,33,7,6,20,32,59,-27,27,35.9,50.7,-14.8,-0.45,L L L L L,10510,Callum Wilson - 8,Aaron Ramsdale,,1.5363636363636364,0.21516208818386093
20,Norwich City,33,5,6,22,25,61,-36,21,35.8,51.7,-15.9,-0.48,L L L L L,27025,Teemu Pukki - 11,Tim Krul,,1.5666666666666667,0.20873982339007963
