,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,15,15,1289,2,0,1,1,0,0,0.14,0.00,0.14,0.07,0.07,1.3,0.6,0.4,0.09,0.03,0.12,0.04,0.07,Matches
2,Max Aarons\Max-Aarons,eng ENG,MF,Norwich City,19,2000,14,14,1260,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.7,0.02,0.12,0.14,0.02,0.14,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,15,14,1143,11,3,0,0,2,0,0.87,0.24,1.10,0.87,1.10,8.7,8.7,2.2,0.69,0.17,0.86,0.69,0.86,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,11,6,485,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,0.27,0.04,0.31,0.27,0.31,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,10,8,783,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,12,9,813,9,2,2,2,0,0,1.00,0.22,1.22,0.77,1.00,7.9,6.4,2.4,0.88,0.26,1.14,0.71,0.97,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,FW,West Ham,22,1997,5,0,101,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.06,0.06,0.00,0.06,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DFMF,Bournemouth,24,1995,16,16,1385,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.9,0.9,0.7,0.06,0.05,0.10,0.06,0.10,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,8,1,205,0,1,0,0,1,0,0.00,0.44,0.44,0.00,0.44,0.1,0.1,1.0,0.04,0.43,0.47,0.04,0.47,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,15,15,1350,0,2,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.3,0.3,0.5,0.02,0.04,0.06,0.02,0.06,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DFMF,Liverpool,20,1998,16,15,1393,1,6,0,0,4,0,0.06,0.39,0.45,0.06,0.45,1.6,1.6,5.2,0.10,0.33,0.43,0.10,0.43,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,8,8,654,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
13,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,23,1996,9,8,716,5,3,0,0,1,0,0.63,0.38,1.01,0.63,1.01,2.1,2.1,1.0,0.26,0.13,0.39,0.26,0.39,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MF,Newcastle Utd,25,1994,16,16,1346,0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07,2.7,2.7,0.4,0.18,0.03,0.21,0.18,0.21,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,7,5,498,1,2,0,0,3,0,0.18,0.36,0.54,0.18,0.54,0.4,0.4,0.8,0.08,0.15,0.23,0.08,0.23,Matches
16,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,20,1998,10,8,746,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.5,0.09,0.06,0.14,0.09,0.14,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DF,Norwich City,26,1993,10,8,731,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,0.13,0.01,0.14,0.13,0.14,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,26,1993,15,15,1084,0,3,0,0,1,0,0.00,0.25,0.25,0.00,0.25,2.1,2.1,2.9,0.17,0.24,0.41,0.17,0.41,Matches
19,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,26,1993,3,1,71,1,0,0,0,0,1,1.27,0.00,1.27,1.27,1.27,0.1,0.1,0.0,0.18,0.04,0.22,0.18,0.22,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,6,4,422,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,0.04,0.26,0.30,0.04,0.30,Matches
21,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,6,3,336,1,0,0,0,0,0,0.27,0.00,0.27,0.27,0.27,1.8,1.8,0.2,0.48,0.05,0.53,0.48,0.53,Matches
22,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,10,3,351,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.11,0.00,0.11,0.11,0.11,Matches
23,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,16,16,1440,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
24,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,13,4,482,0,3,0,0,1,0,0.00,0.56,0.56,0.00,0.56,0.2,0.2,0.8,0.04,0.16,0.20,0.04,0.20,Matches
25,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FWMF,Arsenal,30,1989,16,16,1440,11,1,1,1,2,0,0.69,0.06,0.75,0.62,0.69,7.7,7.0,2.1,0.48,0.13,0.61,0.44,0.57,Matches
26,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,11,11,908,0,2,0,0,2,1,0.00,0.20,0.20,0.00,0.20,0.4,0.4,1.0,0.04,0.10,0.14,0.04,0.14,Matches
27,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,27,1991,15,15,1223,4,0,0,0,3,0,0.29,0.00,0.29,0.29,0.29,3.6,3.6,0.5,0.27,0.03,0.30,0.27,0.30,Matches
28,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,14,14,1260,0,2,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.3,0.3,2.0,0.02,0.14,0.17,0.02,0.17,Matches
29,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,1,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,8,7,630,1,0,0,0,2,0,0.14,0.00,0.14,0.14,0.14,1.3,1.3,0.0,0.18,0.00,0.18,0.18,0.18,Matches
31,George Baldock\George-Baldock,eng ENG,DFMF,Sheffield Utd,26,1993,16,16,1440,2,3,0,0,4,0,0.12,0.19,0.31,0.12,0.31,0.6,0.6,1.3,0.03,0.08,0.12,0.03,0.12,Matches
32,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,4,4,360,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.08,0.10,0.01,0.10,Matches
33,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,6,5,339,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.2,0.32,0.31,0.62,0.32,0.62,Matches
34,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,14,13,1067,6,0,1,1,3,0,0.51,0.00,0.51,0.42,0.42,5.6,4.8,0.5,0.47,0.04,0.51,0.41,0.45,Matches
35,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,15,11,909,1,4,0,0,0,0,0.10,0.40,0.50,0.10,0.50,3.3,3.3,1.4,0.33,0.14,0.47,0.33,0.47,Matches
36,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,31,1988,16,16,1386,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.03,0.03,0.06,0.03,0.06,Matches
37,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,10,0,96,1,1,0,0,0,0,0.94,0.94,1.87,0.94,1.87,1.6,1.6,0.2,1.49,0.17,1.66,1.49,1.66,Matches
38,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,16,16,1438,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,Matches
39,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,3,3,263,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.02,0.03,0.05,0.02,0.05,Matches
40,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,8,5,460,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
41,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,13,2,306,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.9,0.21,0.25,0.46,0.21,0.46,Matches
42,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,FWMF,Burnley,28,1990,4,4,312,1,0,0,0,0,0,0.29,0.00,0.29,0.29,0.29,0.4,0.4,0.3,0.10,0.10,0.20,0.10,0.20,Matches
43,Bernard\Bernard,br BRA,FWMF,Everton,26,1992,10,6,509,2,1,0,0,2,0,0.35,0.18,0.53,0.35,0.53,0.2,0.2,0.6,0.04,0.10,0.15,0.04,0.15,Matches
44,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,2,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
45,Ryan Bertrand\Ryan-Bertrand,eng ENG,DFMF,Southampton,29,1989,11,10,853,1,1,0,0,2,1,0.11,0.11,0.21,0.11,0.21,1.5,1.5,0.8,0.16,0.08,0.24,0.16,0.24,Matches
46,Muhamed Bešić\Muhamed-Besic,ba BIH,DFMF,Sheffield Utd,26,1992,2,0,34,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.17,0.17,0.00,0.17,Matches
47,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,15,15,1219,0,1,0,0,6,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.5,0.06,0.04,0.10,0.06,0.10,Matches
48,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,5,2,145,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches
49,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,8,8,719,0,1,0,0,2,1,0.00,0.13,0.13,0.00,0.13,0.0,0.0,0.4,0.00,0.05,0.05,0.00,0.05,Matches
50,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,31,1988,4,0,56,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.25,0.25,0.00,0.25,Matches
51,Sofiane Boufal\Sofiane-Boufal,ma MAR,MF,Southampton,25,1993,12,4,483,0,2,0,0,1,0,0.00,0.37,0.37,0.00,0.37,0.9,0.9,2.3,0.16,0.42,0.58,0.16,0.58,Matches
