Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,25,18,5,2,50,15,35,59,48.7,17.9,30.8,1.23,W W W W W,,İlkay Gündoğan - 11,Ederson,,1.9480000000000002,0.716,0.4887031641990795
Manchester Utd,2,25,14,7,4,53,32,21,49,41.0,30.2,10.8,0.43,D W D D W,,Bruno Fernandes - 15,David de Gea,,1.64,1.208,0.29879427078110127
Leicester City,3,25,15,4,6,44,27,17,49,37.0,29.6,7.5,0.3,L W D W W,,Jamie Vardy - 12,Kasper Schmeichel,,1.48,1.1840000000000002,0.3060520786022706
West Ham,4,25,13,6,6,39,29,10,45,33.9,28.7,5.2,0.21,L W D W W,154.0,Tomáš Souček - 8,Łukasz Fabiański,,1.3559999999999999,1.148,0.31727067661374364
Chelsea,5,25,12,7,6,41,25,16,43,39.5,23.0,16.5,0.66,W W W W D,167.0,Tammy Abraham - 6,Edouard Mendy,,1.58,0.92,0.39851904108451414
Liverpool,6,25,11,7,7,45,34,11,40,46.5,31.8,14.7,0.59,W L L L L,462.0,Mohamed Salah - 17,Alisson,,1.86,1.272,0.28027051982381157
Everton,7,24,12,4,8,37,33,4,40,28.9,32.4,-3.5,-0.15,W D L L W,167.0,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.2041666666666666,1.3499999999999999,0.25924026064589156
Aston Villa,8,23,11,3,9,37,26,11,36,35.6,29.9,5.7,0.25,W L W D L,,Ollie Watkins - 10,Emiliano Martínez,,1.547826086956522,1.3,0.2725317930340126
Tottenham,9,24,10,6,8,37,27,10,36,30.5,30.0,0.5,0.02,L L W L L,167.0,Harry Kane Son Heung-min - 13,Hugo Lloris,,1.2708333333333333,1.25,0.2865047968601901
Leeds United,10,25,11,2,12,43,43,0,35,39.3,42.1,-2.7,-0.11,L W L L W,,Patrick Bamford - 13,Illan Meslier,,1.5719999999999998,1.6840000000000002,0.18562996914105792
Arsenal,11,25,10,4,11,31,26,5,34,33.1,29.9,3.1,0.13,D L L W L,154.0,Alexandre Lacazette Pierre-Emerick Aubameyang - 8,Bernd Leno,,1.324,1.196,0.3024014015294998
Wolves,12,25,9,6,10,26,32,-6,33,26.0,28.3,-2.3,-0.09,L W D W W,,Pedro Neto - 5,Rui Patrício,,1.04,1.1320000000000001,0.3223878355454255
Crystal Palace,13,25,9,5,11,29,43,-14,32,20.8,37.3,-16.5,-0.66,W W L L W,167.0,Wilfried Zaha - 9,Vicente Guaita,,0.8320000000000001,1.492,0.22492236067332425
Southampton,14,25,8,6,11,31,43,-12,30,24.1,32.6,-8.6,-0.34,L L L D L,154.0,Danny Ings - 8,Alex McCarthy,,0.9640000000000001,1.304,0.27144384321211973
Burnley,15,25,7,7,11,18,30,-12,28,22.0,35.4,-13.4,-0.54,L D W D D,,Chris Wood - 4,Nick Pope,,0.88,1.416,0.24268280925762298
Brighton,16,25,5,11,9,26,32,-6,26,35.0,25.7,9.3,0.37,W W D D L,154.0,Neal Maupay - 7,Robert Sánchez,,1.4,1.028,0.3577216889804542
Newcastle Utd,17,25,7,4,14,26,43,-17,25,23.4,36.0,-12.6,-0.5,W L W L L,,Callum Wilson - 10,Karl Darlow,,0.9359999999999999,1.44,0.23692775868212176
Fulham,18,25,4,10,11,21,32,-11,22,28.1,33.9,-5.8,-0.23,L D W D W,154.0,Bobby Reid - 5,Alphonse Areola,,1.124,1.3559999999999999,0.2576894760880406
West Brom,19,25,2,8,15,19,55,-36,14,17.6,42.8,-25.2,-1.01,D L L D D,,Matheus Pereira - 5,Sam Johnstone,,0.7040000000000001,1.712,0.18050442252243923
Sheffield Utd,20,25,3,2,20,15,41,-26,11,22.4,35.9,-13.5,-0.54,L W L L L,,David McGoldrick - 5,Aaron Ramsdale,,0.8959999999999999,1.436,0.2378773676686784
