,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,18,18,1534,2,0,1,1,0,0,0.12,0.00,0.12,0.06,0.06,1.6,0.8,0.9,0.09,0.05,0.15,0.05,0.10,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,23,23,2070,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,3.4,0.02,0.15,0.17,0.02,0.17,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24,23,1926,13,3,0,0,2,0,0.61,0.14,0.75,0.61,0.75,11.7,11.7,2.3,0.55,0.11,0.65,0.55,0.65,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,19,8,691,0,1,0,0,0,0,0.00,0.13,0.13,0.00,0.13,1.5,1.5,0.6,0.20,0.08,0.28,0.20,0.28,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,10,8,783,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,19,14,1175,16,3,2,2,1,0,1.23,0.23,1.46,1.07,1.30,11.7,10.1,2.3,0.89,0.18,1.07,0.78,0.95,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,8,0,127,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.08,0.04,0.12,0.08,0.12,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,20,20,1745,2,1,0,0,1,0,0.10,0.05,0.15,0.10,0.15,2.1,2.1,0.6,0.11,0.03,0.14,0.11,0.14,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,11,2,353,0,1,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.2,0.2,0.9,0.06,0.22,0.27,0.06,0.27,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,24,24,2160,0,2,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.9,0.02,0.04,0.06,0.02,0.06,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,25,24,2190,2,10,0,0,4,0,0.08,0.41,0.49,0.08,0.49,1.8,1.8,7.3,0.07,0.30,0.38,0.07,0.38,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,17,17,1464,0,1,0,0,0,1,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.4,0.00,0.02,0.02,0.00,0.02,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,18,17,1489,7,3,0,0,2,0,0.42,0.18,0.60,0.42,0.60,4.7,4.7,2.1,0.28,0.13,0.41,0.28,0.41,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,24,24,2039,2,1,0,0,4,0,0.09,0.04,0.13,0.09,0.13,4.4,4.4,0.5,0.19,0.02,0.22,0.19,0.22,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,8,6,588,1,2,0,0,3,0,0.15,0.31,0.46,0.15,0.46,0.4,0.4,0.8,0.06,0.12,0.19,0.06,0.19,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,17,12,1146,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.7,0.09,0.05,0.14,0.09,0.14,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,11,8,756,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,0.12,0.01,0.13,0.12,0.13,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,19,18,1347,1,4,0,0,1,0,0.07,0.27,0.33,0.07,0.33,2.4,2.4,2.9,0.16,0.19,0.35,0.16,0.35,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,3,1,71,1,0,0,0,0,1,1.27,0.00,1.27,1.27,1.27,0.2,0.2,0.0,0.19,0.05,0.24,0.19,0.24,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,6,4,422,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,0.05,0.25,0.30,0.05,0.30,Matches
21,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,11,6,670,1,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,3.1,3.1,1.0,0.41,0.13,0.55,0.41,0.55,Matches
22,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFDF,Southampton,27,1992,18,9,870,2,0,0,0,2,0,0.21,0.00,0.21,0.21,0.21,1.1,1.1,0.7,0.11,0.08,0.19,0.11,0.19,Matches
23,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,24,24,2160,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
24,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,18,6,733,0,3,0,0,2,0,0.00,0.37,0.37,0.00,0.37,0.2,0.2,1.0,0.03,0.12,0.14,0.03,0.14,Matches
25,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,23,23,2034,14,1,1,1,3,1,0.62,0.04,0.66,0.58,0.62,10.5,9.7,1.8,0.46,0.08,0.54,0.43,0.51,Matches
26,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,20,20,1718,0,4,0,0,3,1,0.00,0.21,0.21,0.00,0.21,0.4,0.4,2.2,0.02,0.12,0.14,0.02,0.14,Matches
27,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,24,24,2033,6,1,0,0,4,0,0.27,0.04,0.31,0.27,0.31,4.9,4.9,1.6,0.21,0.07,0.28,0.21,0.28,Matches
28,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,23,23,2060,2,3,0,0,0,0,0.09,0.13,0.22,0.09,0.22,1.8,1.8,4.1,0.08,0.18,0.26,0.08,0.26,Matches
29,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,3,1,153,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.08,0.11,0.03,0.11,Matches
30,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13,12,1080,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.7,1.7,0.0,0.14,0.00,0.14,0.14,0.14,Matches
31,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,25,25,2250,2,3,0,0,6,0,0.08,0.12,0.20,0.08,0.20,0.5,0.5,1.6,0.02,0.06,0.08,0.02,0.08,Matches
32,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,10,10,900,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
33,Ross Barkley\Ross-Barkley,eng ENG,MFFW,Chelsea,25,1993,10,6,482,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,1.1,0.25,0.20,0.44,0.25,0.44,Matches
34,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,19,17,1361,6,0,1,1,4,0,0.40,0.00,0.40,0.33,0.33,5.4,4.6,0.5,0.35,0.03,0.39,0.30,0.34,Matches
35,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,23,17,1404,4,6,0,0,0,0,0.26,0.38,0.64,0.26,0.64,5.9,5.9,2.1,0.38,0.13,0.51,0.38,0.51,Matches
36,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,25,25,2170,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,0.02,0.03,0.05,0.02,0.05,Matches
37,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,14,0,139,1,1,0,0,0,0,0.65,0.65,1.29,0.65,1.29,1.9,1.9,0.2,1.23,0.11,1.33,1.23,1.33,Matches
38,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,24,24,2158,1,0,0,0,3,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.1,0.03,0.00,0.04,0.03,0.04,Matches
39,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,5,5,443,1,0,0,0,2,0,0.20,0.00,0.20,0.20,0.20,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
40,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,11,7,604,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
41,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.13,0.13,0.00,0.13,Matches
42,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,16,5,563,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,1.2,0.24,0.19,0.43,0.24,0.43,Matches
43,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,7,4,401,1,0,0,0,0,0,0.22,0.00,0.22,0.22,0.22,0.6,0.6,0.5,0.14,0.11,0.24,0.14,0.24,Matches
44,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,1,1,68,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
45,Steven Bergwijn\Steven-Bergwijn,nl NED,FW,Tottenham,21,1997,1,1,70,1,0,0,0,0,0,1.29,0.00,1.29,1.29,1.29,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
46,Bernard\Bernard,br BRA,FWMF,Everton,26,1992,15,11,856,2,2,0,0,2,0,0.21,0.21,0.42,0.21,0.42,0.8,0.8,1.3,0.08,0.14,0.22,0.08,0.22,Matches
47,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,9,6,541,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.06,0.03,0.09,0.06,0.09,Matches
48,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,20,19,1663,1,1,0,0,3,1,0.05,0.05,0.11,0.05,0.11,1.6,1.6,2.1,0.09,0.11,0.20,0.09,0.20,Matches
49,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,9,2,245,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.06,0.03,0.08,0.06,0.08,Matches
50,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,23,21,1806,1,1,0,0,7,0,0.05,0.05,0.10,0.05,0.10,1.2,1.2,1.0,0.06,0.05,0.10,0.06,0.10,Matches
51,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,10,5,405,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
52,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,9,9,809,0,1,0,0,2,1,0.00,0.11,0.11,0.00,0.11,0.0,0.0,0.3,0.00,0.04,0.04,0.00,0.04,Matches
53,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,4,0,56,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.21,0.21,0.00,0.21,Matches
54,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,16,5,581,0,2,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.9,0.9,2.2,0.14,0.34,0.48,0.14,0.48,Matches
55,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,13,5,396,1,2,0,0,1,0,0.23,0.45,0.68,0.23,0.68,0.9,0.9,0.2,0.21,0.05,0.26,0.21,0.26,Matches
56,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,4,3,346,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
57,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,24,20,1798,0,7,0,0,3,0,0.00,0.35,0.35,0.00,0.35,2.0,2.0,6.4,0.10,0.32,0.42,0.10,0.42,Matches
58,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,21,21,1822,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.0,0.04,0.05,0.08,0.04,0.08,Matches
59,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,16,14,1266,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,0.09,0.04,0.13,0.09,0.13,Matches
60,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
61,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,16,16,1440,0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,0.3,0.04,0.02,0.06,0.04,0.06,Matches
62,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,23,18,1566,10,0,0,0,6,0,0.57,0.00,0.57,0.57,0.57,9.0,9.0,0.8,0.52,0.04,0.56,0.52,0.56,Matches
63,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
64,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,10,7,692,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.0,0.03,0.13,0.16,0.03,0.16,Matches
65,Todd Cantwell\Todd-Cantwell,eng ENG,FW,Norwich City,21,1998,25,21,1793,6,2,0,0,4,0,0.30,0.10,0.40,0.30,0.40,5.6,5.6,2.4,0.28,0.12,0.40,0.28,0.40,Matches
66,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,20,20,1780,0,1,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.7,0.7,1.4,0.04,0.07,0.11,0.04,0.11,Matches
67,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,13,4,508,0,3,0,0,1,0,0.00,0.53,0.53,0.00,0.53,0.5,0.5,1.6,0.08,0.28,0.36,0.08,0.36,Matches
68,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,24,23,2027,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,1.0,1.0,0.8,0.05,0.04,0.08,0.05,0.08,Matches
69,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,23,23,1995,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.00,0.00,0.01,0.00,0.01,Matches
70,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,11,7,664,0,2,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.3,0.3,0.7,0.05,0.09,0.14,0.05,0.14,Matches
71,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,14,9,777,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,0.7,0.04,0.08,0.12,0.04,0.12,Matches
72,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,14,13,1103,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.6,0.6,0.8,0.05,0.06,0.12,0.05,0.12,Matches
73,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,20,20,1790,2,3,0,0,1,0,0.10,0.15,0.25,0.10,0.25,0.7,0.7,2.7,0.04,0.13,0.17,0.04,0.17,Matches
74,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,2,0,24,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,14,7,639,1,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,0.3,0.3,0.1,0.05,0.01,0.06,0.05,0.06,Matches
76,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,12,12,1032,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.04,0.04,0.08,0.04,0.08,Matches
77,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13,13,1105,2,0,0,0,3,0,0.16,0.00,0.16,0.16,0.16,0.8,0.8,0.0,0.07,0.00,0.07,0.07,0.07,Matches
78,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,2.83,0.00,2.83,2.83,2.83,Matches
79,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,9,8,647,1,0,0,0,0,0,0.14,0.00,0.14,0.14,0.14,1.5,1.5,0.4,0.20,0.06,0.26,0.20,0.26,Matches
80,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,25,25,2250,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.02,0.02,0.00,0.02,Matches
81,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,16,12,1074,0,1,0,0,5,1,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.6,0.05,0.05,0.09,0.05,0.09,Matches
82,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,16,9,819,2,0,0,0,0,0,0.22,0.00,0.22,0.22,0.22,2.4,2.4,0.2,0.27,0.02,0.29,0.27,0.29,Matches
83,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,18,9,833,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.02,0.08,0.10,0.02,0.10,Matches
84,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,19,19,1650,1,0,0,0,3,1,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.3,0.04,0.02,0.05,0.04,0.05,Matches
85,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,23,23,2008,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.7,0.07,0.03,0.10,0.07,0.10,Matches
86,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,19,19,1665,3,0,0,0,6,0,0.16,0.00,0.16,0.16,0.16,1.0,1.0,0.9,0.05,0.05,0.10,0.05,0.10,Matches
87,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,12,3,292,2,0,0,0,0,0,0.62,0.00,0.62,0.62,0.62,2.3,2.3,0.0,0.71,0.01,0.73,0.71,0.73,Matches
88,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,3,1,65,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.20,0.00,0.20,0.20,0.20,Matches
