,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-222,1990,19,18,1594,17.7,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,0.8,2.0,0.07,0.04,0.11,0.07,0.11,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-188,1997,20,12,1021,11.3,6,1,6,0,0,0,0,0.53,0.09,0.62,0.53,0.62,5.6,5.6,0.9,6.5,0.49,0.08,0.57,0.49,0.57,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-269,1996,29,24,2170,24.1,7,4,7,0,0,1,0,0.29,0.17,0.46,0.29,0.46,6.9,6.9,4.6,11.5,0.28,0.19,0.48,0.28,0.48,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-196,1997,27,27,2430,27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-095,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-310,1988,9,5,374,4.2,1,0,0,1,1,0,0,0.24,0.00,0.24,0.00,0.00,1.7,0.9,0.6,1.5,0.41,0.13,0.55,0.23,0.36,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-182,1996,27,27,2340,26.0,2,1,2,0,0,2,0,0.08,0.04,0.12,0.08,0.12,0.9,0.9,1.4,2.2,0.03,0.05,0.09,0.03,0.09,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-306,2001,14,9,791,8.8,1,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,0.4,0.4,0.7,1.1,0.04,0.08,0.13,0.04,0.13,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-150,1993,25,25,2189,24.3,2,0,2,0,0,3,1,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-049,1995,6,5,470,5.2,1,0,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-141,1989,23,13,1317,14.6,0,4,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,1.0,1.0,3.4,4.4,0.07,0.23,0.30,0.07,0.30,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-362,1991,16,13,1217,13.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.2,1.6,0.03,0.09,0.12,0.03,0.12,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-037,1989,18,18,1610,17.9,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.2,0.7,0.02,0.01,0.04,0.02,0.04,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-049,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-183,1998,28,26,2311,25.7,1,4,1,0,0,1,0,0.04,0.16,0.19,0.04,0.19,1.9,1.9,4.9,6.8,0.08,0.19,0.27,0.08,0.27,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-055,1992,28,21,1798,20.0,2,0,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,1.3,1.3,1.9,3.3,0.07,0.10,0.16,0.07,0.16,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-188,1992,25,25,2250,25.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Allan\Allan,br BRA,MF,Everton,30-090,1991,16,15,1331,14.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-362,1996,9,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.19,0.07,0.25,0.19,0.25,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-057,1994,26,20,1748,19.4,4,1,4,0,0,2,0,0.21,0.05,0.26,0.21,0.26,2.8,2.8,2.2,5.0,0.15,0.11,0.26,0.15,0.26,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-101,1990,10,9,794,8.8,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,1.1,1.1,1.1,2.2,0.13,0.12,0.25,0.13,0.25,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-212,1998,12,8,741,8.2,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-108,1994,11,7,677,7.5,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.0,0.4,0.05,0.00,0.05,0.05,0.05,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-206,2000,23,21,1917,21.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.3,0.02,0.04,0.06,0.02,0.06,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-312,1996,25,25,2221,24.7,1,1,1,0,0,5,1,0.04,0.04,0.08,0.04,0.08,0.7,0.7,0.5,1.2,0.03,0.02,0.05,0.03,0.05,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-153,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
